<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YAAS.US,D,20241220,000000,326.4,340,278.4,316,8315,0
YAAS.US,D,20241223,000000,312.8,316,264,276,2323.53,0
YAAS.US,D,20241224,000000,279.2,286.4,264,268,2033.66,0
YAAS.US,D,20241226,000000,271.2,293.6,263.2,268,920.4,0
YAAS.US,D,20241227,000000,273.6,280,264,264,626.225,0
YAAS.US,D,20241230,000000,280,298.4,256,290.56,343.737,0
YAAS.US,D,20241231,000000,295.224,335.784,295.224,322.112,2190.83,0
YAAS.US,D,20250102,000000,320,327.2,296.8,312.8,1283.61,0
YAAS.US,D,20250103,000000,320,320,308,309.6,223.15,0
YAAS.US,D,20250106,000000,321.016,321.016,284,304.8,1525.56,0
YAAS.US,D,20250107,000000,315.2,315.2,288.016,297.6,417.975,0
YAAS.US,D,20250108,000000,298.4,299.064,286.4,286.4,417.212,0
YAAS.US,D,20250110,000000,286.4,290.4,280,288,473.237,0
YAAS.US,D,20250113,000000,280.8,284,268.8,277.6,328.55,0
YAAS.US,D,20250114,000000,288,310.4,272.688,299.84,1775.1,0
YAAS.US,D,20250115,000000,304,308.8,284.8,300,519.237,0
YAAS.US,D,20250116,000000,300,300,284,299.2,419.537,0
YAAS.US,D,20250117,000000,293.6,293.6,293.6,293.6,85.875,0
YAAS.US,D,20250121,000000,296,296,268,292,167.462,0
YAAS.US,D,20250122,000000,274.4,313.776,274.4,308.8,5868.77,0
YAAS.US,D,20250123,000000,298.4,319.2,296.8,307.2,383.112,0
YAAS.US,D,20250124,000000,304.8,308.8,296,308.8,1335.95,0
YAAS.US,D,20250127,000000,296,303.2,288,303.2,1327.7,0
YAAS.US,D,20250128,000000,293.76,316.792,288,296,526.725,0
YAAS.US,D,20250129,000000,290.4,304,290.4,304,1812.77,0
YAAS.US,D,20250130,000000,296,312,295.36,304.8,1142.21,0
YAAS.US,D,20250131,000000,304,312,284.008,308.8,787.45,0
YAAS.US,D,20250203,000000,304,304,292.8,292.8,96.5375,0
YAAS.US,D,20250204,000000,288.8,294.44,281.672,290.4,147.262,0
YAAS.US,D,20250205,000000,284,302.4,271.2,302.4,434.662,0
YAAS.US,D,20250206,000000,285.6,300,280,294.4,1561.16,0
YAAS.US,D,20250207,000000,288.8,300.8,264.8,276.8,1829.77,0
YAAS.US,D,20250210,000000,272,291.2,272,291.2,996.287,0
YAAS.US,D,20250211,000000,280,284,268.8,268.8,315.337,0
YAAS.US,D,20250212,000000,264.8,271.2,248,259.2,2202.17,0
YAAS.US,D,20250213,000000,256,259.2,240.8,244,607.287,0
YAAS.US,D,20250214,000000,240,289.6,228,241.84,2270.33,0
YAAS.US,D,20250218,000000,252,252,206.4,222.4,1014.71,0
YAAS.US,D,20250219,000000,237.6,237.6,160.96,193.504,1931.05,0
YAAS.US,D,20250220,000000,204.8,221.6,183.2,183.2,502.975,0
YAAS.US,D,20250221,000000,192.8,219.488,191.2,209.6,1573.08,0
YAAS.US,D,20250224,000000,194.4,217.6,191.2,210.4,512.7,0
YAAS.US,D,20250225,000000,196,215.2,196,204,90.775,0
YAAS.US,D,20250226,000000,202.4,214.4,199.2,200.8,435.725,0
YAAS.US,D,20250227,000000,184,212.952,184,192.8,53,0
YAAS.US,D,20250228,000000,192.8,192.8,190.984,190.984,30.2375,0
YAAS.US,D,20250303,000000,185.6,185.6,180,184.8,95.375,0
YAAS.US,D,20250304,000000,181.736,208,176,180.8,1080.12,0
YAAS.US,D,20250305,000000,192.8,204,166.4,166.4,2551.91,0
YAAS.US,D,20250306,000000,173.6,190.4,154.4,159.2,574.525,0
YAAS.US,D,20250307,000000,152,156.8,136,146.4,456.975,0
YAAS.US,D,20250310,000000,136.8,146.4,126.4,132,189.275,0
YAAS.US,D,20250311,000000,133.6,152.8,132,149.6,720.137,0
YAAS.US,D,20250312,000000,136.8,196,136.8,188.48,1559.56,0
YAAS.US,D,20250313,000000,188.8,204.8,177.6,180.8,1763.07,0
YAAS.US,D,20250314,000000,188.8,207.864,183.504,204.8,351.762,0
YAAS.US,D,20250317,000000,210.8,210.8,183.2,184.8,318.55,0
YAAS.US,D,20250318,000000,192,203.2,188,192,375.562,0
YAAS.US,D,20250319,000000,204.8,216,174.44,184.8,1327.53,0
YAAS.US,D,20250320,000000,188,196,175.2,185.6,140.9,0
YAAS.US,D,20250321,000000,190.544,199.176,188,196.8,154.375,0
YAAS.US,D,20250324,000000,193.6,194.4,192,192,39.75,0
YAAS.US,D,20250325,000000,188.8,200,188.8,191.52,246.9,0
YAAS.US,D,20250326,000000,190.864,200,190.864,192.8,54.425,0
YAAS.US,D,20250327,000000,193.072,196,188,193.12,339.812,0
YAAS.US,D,20250328,000000,196,204.8,192,192,81.9625,0
YAAS.US,D,20250401,000000,181.6,195.2,168.8,176,566.4,0
YAAS.US,D,20250402,000000,178.8,191.2,170.4,172.8,435.725,0
YAAS.US,D,20250403,000000,179.2,184.8,165.6,168,1212.22,0
YAAS.US,D,20250404,000000,172.8,176.8,164.8,168.8,781.162,0
YAAS.US,D,20250407,000000,172,189.744,167.2,185.6,207.875,0
YAAS.US,D,20250408,000000,175.2,188.8,166.4,166.4,583.425,0
YAAS.US,D,20250409,000000,170.4,172,168,172,60.2125,0
YAAS.US,D,20250410,000000,168,185.6,160.824,162.4,174.5,0
YAAS.US,D,20250411,000000,164,173.6,144.8,145.6,463.937,0
YAAS.US,D,20250414,000000,148,165.6,148,165.6,141.4,0
YAAS.US,D,20250415,000000,151.2,163.2,150.4,154.4,160.762,0
YAAS.US,D,20250416,000000,147.208,154.384,144,144,115.55,0
YAAS.US,D,20250417,000000,144,145.6,128.84,140,329.037,0
YAAS.US,D,20250421,000000,140,168.8,140,149.6,242.287,0
YAAS.US,D,20250422,000000,142.4,172,142.4,155.2,181.212,0
YAAS.US,D,20250423,000000,149.6,156.8,149.6,156,134.7,0
YAAS.US,D,20250424,000000,142.4,200,140,178.4,1114.27,0
YAAS.US,D,20250425,000000,175.2,193.6,172,189.6,328.075,0
YAAS.US,D,20250428,000000,180,198.4,176.8,196,278.237,0
YAAS.US,D,20250429,000000,197.6,237.6,181.168,231.2,227.012,0
YAAS.US,D,20250430,000000,220.8,229.2,192.8,200,402.187,0
YAAS.US,D,20250501,000000,195.2,206.4,168.8,170.4,2753.76,0
YAAS.US,D,20250502,000000,166.4,199.2,166.4,182,424.075,0
YAAS.US,D,20250505,000000,188.8,198.4,184.8,184.8,314.087,0
YAAS.US,D,20250506,000000,188,205.6,160,160,775.187,0
YAAS.US,D,20250507,000000,185.6,187.2,129.6,129.6,2112.98,0
YAAS.US,D,20250508,000000,129.6,150.4,126.8,128.8,1638.93,0
YAAS.US,D,20250509,000000,131.2,144,131.2,136.8,242.875,0
YAAS.US,D,20250512,000000,148,159.2,140,142.4,307.687,0
YAAS.US,D,20250513,000000,150.4,150.4,135.2,136,98.6875,0
YAAS.US,D,20250514,000000,140.8,144.8,140.8,144,116.875,0
YAAS.US,D,20250515,000000,144,144,135.2,137.6,246.862,0
YAAS.US,D,20250516,000000,132.8,150.4,128,135.2,191,0
YAAS.US,D,20250519,000000,140,150.4,128.8,133.6,151.337,0
YAAS.US,D,20250520,000000,139.2,140.8,139.2,139.2,58.1625,0
YAAS.US,D,20250521,000000,145.6,145.6,128,129.6,280.037,0
YAAS.US,D,20250522,000000,138,141.6,130.4,136.8,305.287,0
YAAS.US,D,20250523,000000,138,138.4,132.8,135.208,93.175,0
YAAS.US,D,20250527,000000,140.8,140.8,140.8,140.8,5.9625,0
YAAS.US,D,20250528,000000,144.8,155.504,139.48,155.2,645.587,0
YAAS.US,D,20250529,000000,149.6,158.36,146.4,146.4,100.475,0
YAAS.US,D,20250530,000000,150.176,160,146.4,152,219.55,0
YAAS.US,D,20250602,000000,156.4,184,151.768,178.4,656,0
YAAS.US,D,20250603,000000,171.2,174.4,167.2,167.2,79.95,0
YAAS.US,D,20250604,000000,167.2,198.4,165.6,193.592,404.087,0
YAAS.US,D,20250605,000000,180.8,191.2,174.4,191.2,213.212,0
YAAS.US,D,20250606,000000,188,192.8,188,188,97.9125,0
YAAS.US,D,20250609,000000,184,223.192,184,220,905.637,0
YAAS.US,D,20250610,000000,216,248,216,232,555.937,0
YAAS.US,D,20250611,000000,240,240,233.6,239.2,218.612,0
YAAS.US,D,20250612,000000,240,244,232,236,199.6,0
YAAS.US,D,20250613,000000,236,239.2,232.8,235.2,874.075,0
YAAS.US,D,20250616,000000,230.4,240,181.6,239.2,1552.76,0
YAAS.US,D,20250617,000000,232,237.6,218.4,224,2225.37,0
YAAS.US,D,20250618,000000,236.8,236.8,206.4,232,920.237,0
YAAS.US,D,20250620,000000,208,243.2,208,242.4,738.325,0
YAAS.US,D,20250623,000000,241.6,241.6,216.8,228.4,599.012,0
YAAS.US,D,20250624,000000,232,539.2,227.2,446.4,286771,0
YAAS.US,D,20250625,000000,434.8,496,365.6,384.8,10103.1,0
YAAS.US,D,20250626,000000,425.6,488.8,288,297.6,10266.3,0
YAAS.US,D,20250627,000000,320,400,320,360,3951.06,0
YAAS.US,D,20250630,000000,360,560,304.008,333.6,25433,0
YAAS.US,D,20250701,000000,314.4,339.464,32.032,40,312454,0
YAAS.US,D,20250702,000000,33.6,36.672,32.08,36.352,67771.7,0
YAAS.US,D,20250703,000000,36.088,44.528,36.08,36.4,187386,0
YAAS.US,D,20250707,000000,38.8,47.504,34.88,35.928,109223,0
YAAS.US,D,20250708,000000,34.848,35.928,30.4,32.8,35102.7,0
YAAS.US,D,20250709,000000,31.544,37.2,31.544,35.096,35343.1,0
YAAS.US,D,20250710,000000,35.096,35.2,32.048,33.256,15655.3,0
YAAS.US,D,20250711,000000,32.4,34.64,32,33.08,11995.7,0
YAAS.US,D,20250714,000000,34,34,30.6,31.912,27292.5,0
YAAS.US,D,20250715,000000,33.368,33.368,30.808,32.64,12367.4,0
YAAS.US,D,20250716,000000,32,37.608,32,35.272,35545,0
YAAS.US,D,20250717,000000,35.296,39.2,34.4,35.608,18196.6,0
YAAS.US,D,20250718,000000,36.664,36.664,33.112,34.024,8110.77,0
YAAS.US,D,20250721,000000,34.4,36.744,34.4,34.5681,12326.5,0
YAAS.US,D,20250722,000000,36.088,37.2,34.4,35.032,10699.8,0
YAAS.US,D,20250723,000000,36.352,36.352,33.232,33.52,13871.3,0
YAAS.US,D,20250724,000000,34.024,50.728,33.52,46.4,312030,0
YAAS.US,D,20250725,000000,36.416,38.408,33.36,34.368,75373.1,0
YAAS.US,D,20250728,000000,35.2,36.8,34.32,35.12,16085.3,0
YAAS.US,D,20250729,000000,35.024,35.92,31.896,32.608,17266.6,0
YAAS.US,D,20250730,000000,32.608,34.8207,32.112,32.72,5366.61,0
YAAS.US,D,20250731,000000,33.6,33.6,28.96,29.992,6738.45,0
YAAS.US,D,20250801,000000,29.84,31.7999,28.872,30.792,5118.58,0
YAAS.US,D,20250804,000000,30.504,30.8,28.184,28.448,7163.22,0
YAAS.US,D,20250805,000000,28.736,31.6,28.736,30.256,7677.96,0
YAAS.US,D,20250806,000000,30.456,33.2,29.768,33.184,8544.95,0
YAAS.US,D,20250807,000000,31.384,33.944,31.2,33.04,4171.72,0
YAAS.US,D,20250808,000000,32.968,33.304,30.408,31.12,4478.36,0
YAAS.US,D,20250811,000000,30.48,31.1682,29.608,30.4,3461.15,0
YAAS.US,D,20250812,000000,30.512,31.384,28.664,31.384,1983.98,0
YAAS.US,D,20250813,000000,31.2,32.8,30.112,31.448,1984.55,0
YAAS.US,D,20250814,000000,31.552,32.656,30.816,32.016,2022.66,0
YAAS.US,D,20250815,000000,31.8,32.4512,31.12,31.6,3961.71,0
YAAS.US,D,20250818,000000,30.68,32,30.408,31.688,2217.6,0
YAAS.US,D,20250819,000000,31.44,32.048,28.48,29.52,3876.96,0
YAAS.US,D,20250820,000000,28.936,30.912,28.512,28.848,7211.06,0
YAAS.US,D,20250821,000000,28.848,28.848,24.648,24.808,10050.9,0
YAAS.US,D,20250822,000000,24,27.192,23.68,26.6603,7647.78,0
YAAS.US,D,20250825,000000,25.864,27.856,25.6,26.88,3207.26,0
YAAS.US,D,20250826,000000,26.488,27.688,25.6,25.992,2910.4,0
YAAS.US,D,20250827,000000,25.96,26.96,25.704,26.265,1747,0
YAAS.US,D,20250828,000000,26.28,26.4,25.2,25.432,2937.3,0
YAAS.US,D,20250829,000000,25.744,25.744,23.744,24.144,5090.01,0
YAAS.US,D,20250902,000000,24.8,25.824,23.888,25.704,5090.58,0
YAAS.US,D,20250903,000000,25.68,26.6,25.192,25.728,3856.45,0
YAAS.US,D,20250904,000000,25.608,26.104,22.096,22.768,10774.6,0
YAAS.US,D,20250905,000000,8.8,9.52,7.2,8.2,1164784,0
YAAS.US,D,20250908,000000,8.32,8.32,5.576,6.46424,603670,0
YAAS.US,D,20250909,000000,5.76,6.28,5.616,5.792,355321,0
YAAS.US,D,20250910,000000,5.984,7.096,5.216,5.576,405412,0
YAAS.US,D,20250911,000000,5.84,6.344,5.52,5.96,1075630,0
YAAS.US,D,20250912,000000,7.192,7.6552,5.0008,6.328,1492585,0
YAAS.US,D,20250915,000000,6.384,6.384,5.624,5.88,318242,0
YAAS.US,D,20250916,000000,5.52,5.624,5.304,5.528,252123,0
YAAS.US,D,20250917,000000,5.56,5.6,5.2,5.296,282554,0
YAAS.US,D,20250918,000000,5.2,6.56,4.592,6.04,1035854,0
YAAS.US,D,20250919,000000,7.152,11.84,6.656,6.96,8129461,0
YAAS.US,D,20250922,000000,7.936,8.696,6.4,6.696,1778476,0
YAAS.US,D,20250923,000000,5.504,6.4,5.504,5.976,1931626,0
YAAS.US,D,20250924,000000,9.92,10.48,7.776,8.496,8594588,0
YAAS.US,D,20250925,000000,7.592,8.3352,7.04,7.8,1215637,0
YAAS.US,D,20250926,000000,8,8.768,5.2,5.376,2118197,0
YAAS.US,D,20250929,000000,4.36,4.64,3.6,3.608,1016948,0
YAAS.US,D,20250930,000000,3.33,3.49,2.82,3.15,680553,0
YAAS.US,D,20251001,000000,3.12,3.23,2.5,2.64,624171,0
YAAS.US,D,20251002,000000,2.57,2.64,2.495,2.56,350236,0
YAAS.US,D,20251003,000000,2.58,3.3399,2.5,2.58,2412925,0
YAAS.US,D,20251006,000000,3,3.23,2.9,3.05,3337010,0
YAAS.US,D,20251007,000000,2.89,2.9699,2.74,2.75,556068,0
YAAS.US,D,20251008,000000,2.77,3.21,2.76,3.01,699143,0
YAAS.US,D,20251009,000000,3.01,3.21,3.01,3.12,256083,0
YAAS.US,D,20251010,000000,3.1,3.28,2.93,2.94,258726,0
YAAS.US,D,20251013,000000,2.94,3.105,2.8501,2.95,180559,0
YAAS.US,D,20251014,000000,2.94,2.97,2.79,2.81,158477,0
YAAS.US,D,20251015,000000,2.77,2.902,2.616767,2.64,141909,0
