<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YDES.US,D,20250902,000000,12.69,14.75,12.5101,13.65,268489,0
YDES.US,D,20250903,000000,14,23.9426,14,18.16,578172,0
YDES.US,D,20250904,000000,15.86,17.9,14.364,14.73,130715,0
YDES.US,D,20250905,000000,14.8,16.409,14.795,15.575,58160,0
YDES.US,D,20250908,000000,15.5,17,15.5,15.925,47385,0
YDES.US,D,20250909,000000,15.79,16.6,15.301,15.55,35017,0
YDES.US,D,20250910,000000,16.53,17,15.8,16.39,28765,0
YDES.US,D,20250911,000000,16.5,20.5,16.5,20.5,59598,0
YDES.US,D,20250912,000000,19,25,19,23.11,187353,0
YDES.US,D,20250915,000000,21,23,16.31,17.1,231199,0
YDES.US,D,20250916,000000,17.44,19.74,16.557,17.05,114650,0
YDES.US,D,20250917,000000,17.43,18.62,17,18.4,45543,0
YDES.US,D,20250918,000000,18.5,19.49,18.5,19.31,69998,0
YDES.US,D,20250919,000000,19,20.15,17,19.78,198471,0
YDES.US,D,20250922,000000,18.25,19.45,18.1736,18.75,23567,0
YDES.US,D,20250923,000000,19,21.5,18.6364,21.06,69875,0
YDES.US,D,20250924,000000,19.04,20,17.11,17.11,106733,0
YDES.US,D,20250925,000000,17,17.11,14.12,14.245,206851,0
YDES.US,D,20250926,000000,13.5,20.88,12.9,16,355150,0
YDES.US,D,20250929,000000,14.9,18.4,14.5485,18.065,68782,0
YDES.US,D,20250930,000000,18,19.8,17.23,19.47,106053,0
YDES.US,D,20251001,000000,19.46,19.94,17,17.92,61187,0
YDES.US,D,20251002,000000,18.37,19.6,17,19.275,67255,0
YDES.US,D,20251003,000000,19.5,19.5,17.55,18.6,26245,0
YDES.US,D,20251006,000000,18.34,18.52,18.05,18.2,21969,0
YDES.US,D,20251007,000000,18,18.1,17.31,18,39273,0
YDES.US,D,20251008,000000,17.6,17.6,17.03,17.06,42858,0
YDES.US,D,20251009,000000,17,19.49,17,18.71,110853,0
YDES.US,D,20251010,000000,18.7,18.7,17.41,17.41,66825,0
YDES.US,D,20251013,000000,17.61,18.484223,17.61,18.46,29335,0
YDES.US,D,20251014,000000,18.4,18.62,17.65,18.505,36275,0
YDES.US,D,20251015,000000,18.5,18.98,18.25,18.9274,26323,0
