<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YDESW.US,D,20250902,000000,0.48,0.65,0.48,0.6,77113,0
YDESW.US,D,20250903,000000,0.65,1.2,0.63,1.16,608753,0
YDESW.US,D,20250904,000000,1,1.045,0.8106,0.935,80711,0
YDESW.US,D,20250905,000000,1,1.05,0.88,0.9,55801,0
YDESW.US,D,20250908,000000,0.98,1.29,0.98,1.21,212870,0
YDESW.US,D,20250909,000000,1.2,1.28,1.132,1.22,108416,0
YDESW.US,D,20250910,000000,1.29,1.31,1.22,1.22,130656,0
YDESW.US,D,20250911,000000,1.22,1.64,1.22,1.51,389315,0
YDESW.US,D,20250912,000000,1.65,2.27,1.6,2.235,210474,0
YDESW.US,D,20250915,000000,2.22,2.3001,2,2.2,131300,0
YDESW.US,D,20250916,000000,2.41,2.41,2.03,2.3,67731,0
YDESW.US,D,20250917,000000,2.21,2.42,2.0963,2.4,19706,0
YDESW.US,D,20250918,000000,2.43,2.57,2.3,2.37,1544066,0
YDESW.US,D,20250919,000000,2.49,2.62,2.35,2.62,64801,0
YDESW.US,D,20250922,000000,2.85,2.85,2.33,2.57,74933,0
YDESW.US,D,20250923,000000,2.7,2.71,2.51,2.695,5108,0
YDESW.US,D,20250924,000000,2.7,2.71,2,2.2806,117260,0
YDESW.US,D,20250925,000000,2.4,2.45,1.75,1.75,105806,0
YDESW.US,D,20250926,000000,1.6,2.6,1.41,1.79,238835,0
YDESW.US,D,20250929,000000,1.86,2.12,1.6,1.85,213534,0
YDESW.US,D,20250930,000000,1.9,2.19,1.85,2.13,59213,0
YDESW.US,D,20251001,000000,2.1199,2.1199,1.85,2,34205,0
YDESW.US,D,20251002,000000,2.11,2.15,1.82,2.05,43633,0
YDESW.US,D,20251003,000000,2.05,2.05,2.02,2.05,13928,0
YDESW.US,D,20251006,000000,2.05,2.2234,1.95,2.0248,27919,0
YDESW.US,D,20251007,000000,1.92,2.15,1.92,2.01,7010,0
YDESW.US,D,20251008,000000,2.02,2.19,1.95,2.08,54906,0
YDESW.US,D,20251009,000000,2.14,2.24,2,2.2,67032,0
YDESW.US,D,20251010,000000,2.12,2.1783,1.8,1.8,94938,0
YDESW.US,D,20251013,000000,1.73,2.25,1.6815,2.07,169727,0
YDESW.US,D,20251014,000000,1.95,2.13,1.85,2.13,29694,0
YDESW.US,D,20251015,000000,2.14,2.2249,2.07,2.2143,57623,0
