<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YDKG.US,D,20071106,000000,300,300,300,300,0,0
YDKG.US,D,20071107,000000,390,454.2,384,418,595452,0
YDKG.US,D,20071108,000000,390,407,370,380,162107,0
YDKG.US,D,20071109,000000,370,394.6,364,388,84804.75,0
YDKG.US,D,20071112,000000,360,386,360,371.2,62675.25,0
YDKG.US,D,20071113,000000,366.2,377.6,360,360,90489.25,0
YDKG.US,D,20071114,000000,380,397,364.2,382,37762.75,0
YDKG.US,D,20071115,000000,376,381.6,370,370,19377.25,0
YDKG.US,D,20071116,000000,394.4,394.4,356.6,359.8,64431.25,0
YDKG.US,D,20071119,000000,355.4,365.4,345.6,363.4,21090.5,0
YDKG.US,D,20071120,000000,328.2,359.4,327,345,36279,0
YDKG.US,D,20071121,000000,330,330.2,312,325,75565.25,0
YDKG.US,D,20071123,000000,325,368.4,314.6,331.2,39687.5,0
YDKG.US,D,20071126,000000,338.8,357,326.2,338,42091.75,0
YDKG.US,D,20071127,000000,330,336.2,329.8,333,25424.25,0
YDKG.US,D,20071128,000000,338,359.6,325.2,344.6,50003.75,0
YDKG.US,D,20071129,000000,336,345.4,331.4,340,23080.5,0
YDKG.US,D,20071130,000000,340,370,340,352.8,23668.5,0
YDKG.US,D,20071203,000000,340,365,334.6,358.2,8449.75,0
YDKG.US,D,20071204,000000,346,367,346,351,5979,0
YDKG.US,D,20071205,000000,346,365.4,344.8,359.8,17562.5,0
YDKG.US,D,20071206,000000,350,378,350,370.6,13023.25,0
YDKG.US,D,20071207,000000,360,410,360,395.2,12098,0
YDKG.US,D,20071210,000000,385,415.8,379.6,412,13594.5,0
YDKG.US,D,20071211,000000,405,439.2,390,407.2,7493,0
YDKG.US,D,20071212,000000,414,416.8,393,395.8,5741.75,0
YDKG.US,D,20071213,000000,390,391.4,363.8,386,4798.25,0
YDKG.US,D,20071214,000000,390,400,386.8,387.2,5249.25,0
YDKG.US,D,20071217,000000,376.8,395,370,372.4,6011.5,0
YDKG.US,D,20071218,000000,367.8,394.4,367.8,382,12486.75,0
YDKG.US,D,20071219,000000,388.2,449.6,375.4,409,13617.5,0
YDKG.US,D,20071220,000000,392,420,382.6,409.4,4950.5,0
YDKG.US,D,20071221,000000,410,438.8,410,432.6,6730.25,0
YDKG.US,D,20071224,000000,434,448,433,443,3894.75,0
YDKG.US,D,20071226,000000,441.8,448.8,432.2,438.4,2072.25,0
YDKG.US,D,20071227,000000,412.6,444.8,412.2,436.2,10462,0
YDKG.US,D,20071228,000000,434.4,503,432,468.4,9324.75,0
YDKG.US,D,20071231,000000,469.6,469.6,438.6,447.6,25842.5,0
YDKG.US,D,20080102,000000,440.2,449,429.8,435.2,35242.25,0
YDKG.US,D,20080103,000000,441.2,469.2,425.8,457.6,29856.5,0
YDKG.US,D,20080104,000000,444.2,490.6,430.2,472,7599.75,0
YDKG.US,D,20080107,000000,452.2,475.6,450,460,13332.5,0
YDKG.US,D,20080108,000000,454.4,474.4,450.8,460,12904.25,0
YDKG.US,D,20080109,000000,499.4,499.4,459,465.2,1354.75,0
YDKG.US,D,20080110,000000,466.6,478,456.4,477,10207.5,0
YDKG.US,D,20080111,000000,477.6,483.8,453.6,483.6,14322.5,0
YDKG.US,D,20080114,000000,490.4,530.2,472.2,500.8,14017.75,0
YDKG.US,D,20080115,000000,496,515.4,478,510,11621.25,0
YDKG.US,D,20080116,000000,484.8,500,482.4,488,21801,0
YDKG.US,D,20080117,000000,490.4,497.6,470.2,481.8,40076.5,0
YDKG.US,D,20080118,000000,480,488,470,480.2,19889.75,0
YDKG.US,D,20080122,000000,430.2,454,396,443.2,36553.25,0
YDKG.US,D,20080123,000000,432,442.6,371.4,413.2,60583.25,0
YDKG.US,D,20080124,000000,419.4,469,400,459.4,31704.25,0
YDKG.US,D,20080125,000000,456.4,468.4,436,465.8,5212.5,0
YDKG.US,D,20080128,000000,455.2,473.2,450,464.2,20624.75,0
YDKG.US,D,20080129,000000,460,460,427.2,447,18034.25,0
YDKG.US,D,20080130,000000,440.2,446,426.4,440,20688.75,0
YDKG.US,D,20080131,000000,421.6,458,420.4,457.8,4472,0
YDKG.US,D,20080201,000000,454.8,455,433.4,448.6,6714,0
YDKG.US,D,20080204,000000,448,455.8,432.8,445.4,13899.75,0
YDKG.US,D,20080205,000000,438,438,420,421,4815.25,0
YDKG.US,D,20080206,000000,420.2,438,401.8,404.6,7563.25,0
YDKG.US,D,20080207,000000,404.6,404.6,363,377,10058.25,0
YDKG.US,D,20080208,000000,372.4,388,369.6,384.2,7457.75,0
YDKG.US,D,20080211,000000,387.8,388.4,375,378.8,13687,0
YDKG.US,D,20080212,000000,375.6,381,369.2,370,5445,0
YDKG.US,D,20080213,000000,375.2,375.8,369.2,370,6245.5,0
YDKG.US,D,20080214,000000,371.2,379.6,371.2,371.6,12957.5,0
YDKG.US,D,20080215,000000,374,376.6,371.2,372.8,2660,0
YDKG.US,D,20080219,000000,379.6,382.6,374,381.8,13702.25,0
YDKG.US,D,20080220,000000,380,388.6,378.2,380,19573,0
YDKG.US,D,20080221,000000,386.6,386.6,375.4,379.2,10431.75,0
YDKG.US,D,20080222,000000,376,380,361.6,367.6,14604.75,0
YDKG.US,D,20080225,000000,360.2,368.2,350.2,354,14197.5,0
YDKG.US,D,20080226,000000,361,387.4,360,367,34293.25,0
YDKG.US,D,20080227,000000,372.4,372.4,359.8,362,13006.75,0
YDKG.US,D,20080228,000000,360.6,365,356.4,364.2,4165.5,0
YDKG.US,D,20080229,000000,368.8,370,356,358.8,6068.75,0
YDKG.US,D,20080303,000000,365.6,366.8,360.4,366.2,2908,0
YDKG.US,D,20080304,000000,376.4,380,369.4,375,7433.75,0
YDKG.US,D,20080305,000000,375,408.6,370.4,402.4,19858,0
YDKG.US,D,20080306,000000,409.4,409.4,380,399.8,4654,0
YDKG.US,D,20080307,000000,402.8,402.8,366,367.2,11260,0
YDKG.US,D,20080310,000000,367.2,369,346,350.4,7650.25,0
YDKG.US,D,20080311,000000,361.6,363.4,350,350,3937.25,0
YDKG.US,D,20080312,000000,365.2,369.4,354.2,359.6,8258.75,0
YDKG.US,D,20080313,000000,359.6,359.6,341.2,343.8,6245,0
YDKG.US,D,20080314,000000,352.2,352.2,320,333.6,10047.75,0
YDKG.US,D,20080317,000000,320.6,321,300.2,312.2,16658.5,0
YDKG.US,D,20080318,000000,319.6,320,311.2,318.6,6926.25,0
YDKG.US,D,20080319,000000,320,325.4,313.2,314.2,5270.75,0
YDKG.US,D,20080320,000000,313,319.8,308.8,318,3229.5,0
YDKG.US,D,20080324,000000,324.4,329.4,302.4,329.4,13186,0
YDKG.US,D,20080325,000000,334,345,327.8,338,7068.25,0
YDKG.US,D,20080326,000000,332,341,330.6,336.6,3187.75,0
YDKG.US,D,20080327,000000,342,342,330.4,337.2,8199.25,0
YDKG.US,D,20080328,000000,342.2,342.2,334,334,1426,0
YDKG.US,D,20080331,000000,334,334,311.6,318,6753.75,0
YDKG.US,D,20080401,000000,319.6,335.4,311.4,330.8,9830,0
YDKG.US,D,20080402,000000,320,351.4,319.6,345.8,6393.5,0
YDKG.US,D,20080403,000000,345.4,359.2,338,358.8,3284.75,0
YDKG.US,D,20080404,000000,356.8,365.2,345.8,360.4,4440.25,0
YDKG.US,D,20080407,000000,365.6,369.6,357.2,358,6905,0
YDKG.US,D,20080408,000000,358,362.8,326.8,337.8,7218.75,0
YDKG.US,D,20080409,000000,346.8,357.6,315.2,318,8075,0
YDKG.US,D,20080410,000000,315.2,339.4,301.4,325.2,20677,0
YDKG.US,D,20080411,000000,325.2,325.2,311,312.6,2943.75,0
YDKG.US,D,20080414,000000,310,322.4,295,296.6,17460,0
YDKG.US,D,20080415,000000,301,316.8,298.8,313.8,4116,0
YDKG.US,D,20080416,000000,325.4,350,325.4,339.8,23591.75,0
YDKG.US,D,20080417,000000,340,347,330.2,338,6457,0
YDKG.US,D,20080418,000000,340,357.4,338.6,346.8,7886.75,0
YDKG.US,D,20080421,000000,345,360,345,356,7993,0
YDKG.US,D,20080422,000000,352.6,370,350,360,10987,0
YDKG.US,D,20080423,000000,354.6,368,354.6,358,2836.5,0
YDKG.US,D,20080424,000000,362.4,364.8,356,360.2,3349.75,0
YDKG.US,D,20080425,000000,360,375,358.6,373.2,9758.5,0
YDKG.US,D,20080428,000000,374,396,370.8,391.2,20521.5,0
YDKG.US,D,20080429,000000,392,399.2,388.2,399.2,8802.25,0
YDKG.US,D,20080430,000000,390.6,402.8,390.6,397.2,7130.5,0
YDKG.US,D,20080501,000000,401.2,405.8,395.8,403,5531.75,0
YDKG.US,D,20080502,000000,410.8,439.2,394.6,434.2,12740.5,0
YDKG.US,D,20080505,000000,430.4,437,419.2,419.2,13171.5,0
YDKG.US,D,20080506,000000,416,418.2,409,409.2,19202.25,0
YDKG.US,D,20080507,000000,413.2,417.6,400,405,8489,0
YDKG.US,D,20080508,000000,397.4,397.4,341.4,378,71578.25,0
YDKG.US,D,20080509,000000,378,378,354.8,359.8,23388,0
YDKG.US,D,20080512,000000,355.4,360.2,342.6,342.6,8030.75,0
YDKG.US,D,20080513,000000,344,355.8,339,341.4,24807.5,0
YDKG.US,D,20080514,000000,342,362.4,342,356.6,38614.5,0
YDKG.US,D,20080515,000000,358.6,393.6,358.6,384,21874.25,0
YDKG.US,D,20080516,000000,379.8,389.8,372.2,379,26653.5,0
YDKG.US,D,20080519,000000,379,419.6,379,399,32306.5,0
YDKG.US,D,20080520,000000,399,399,364.4,367,15795.25,0
YDKG.US,D,20080521,000000,367,383.8,363.8,371,14073.75,0
YDKG.US,D,20080522,000000,371,379.4,356.2,360,9595.5,0
YDKG.US,D,20080523,000000,364.4,370.6,346,354.4,4787.25,0
YDKG.US,D,20080527,000000,350,352.4,332.2,348.4,11127,0
YDKG.US,D,20080528,000000,350,353.4,341.2,344.4,17728,0
YDKG.US,D,20080529,000000,347.6,354.6,337.4,353.8,11430,0
YDKG.US,D,20080530,000000,331.2,352.4,331.2,350.4,9066,0
YDKG.US,D,20080602,000000,348.4,353.2,342.4,349.8,4429.25,0
YDKG.US,D,20080603,000000,348.2,351.6,344.8,351.6,25886.25,0
YDKG.US,D,20080604,000000,346.8,359.4,341.2,357,5708.25,0
YDKG.US,D,20080605,000000,359,373,356.4,371.2,10309.75,0
YDKG.US,D,20080606,000000,365,371.6,350.8,364,13531.75,0
YDKG.US,D,20080609,000000,365,365,346.8,350.8,11181.25,0
YDKG.US,D,20080610,000000,347,347.6,325.8,338.8,12640.75,0
YDKG.US,D,20080611,000000,342,343.8,320,330,25180,0
YDKG.US,D,20080612,000000,332.6,334.4,326,330,8597.75,0
