<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YGMZ.US,D,20201021,000000,35.2,41.76,34,34,88150,0
YGMZ.US,D,20201022,000000,34,34.72,31.28,31.28,18998.125,0
YGMZ.US,D,20201023,000000,31.2808,32,31.2,31.2,5655.25,0
YGMZ.US,D,20201026,000000,31.2,32.112,31.2,31.2,4642.75,0
YGMZ.US,D,20201027,000000,31.2,31.548,30.8,30.8,2371.875,0
YGMZ.US,D,20201028,000000,30.8,31.0376,30.8,30.84,1351,0
YGMZ.US,D,20201029,000000,30.8,31.1024,30.8,30.9168,1474.5,0
YGMZ.US,D,20201030,000000,30.8,31.04,30.4,30.4,2267.875,0
YGMZ.US,D,20201102,000000,30.4008,30.72,30.4,30.4,834.5,0
YGMZ.US,D,20201103,000000,30.4,30.7592,30.4,30.48,523,0
YGMZ.US,D,20201104,000000,30.4,31.3544,30.4,30.4008,252.25,0
YGMZ.US,D,20201105,000000,31.2,32,30.4,30.48,2048,0
YGMZ.US,D,20201106,000000,30.56,30.56,29.68,29.92,669.25,0
YGMZ.US,D,20201109,000000,31.84,31.84,30.4,30.96,857.375,0
YGMZ.US,D,20201110,000000,31.6056,32.96,30.6408,31.28,2662.625,0
YGMZ.US,D,20201111,000000,30.8,32.4,30.8,31.9032,3739.875,0
YGMZ.US,D,20201112,000000,32.4984,35.92,32,32,8741.875,0
YGMZ.US,D,20201113,000000,32,32,29.7736,29.7736,4618.625,0
YGMZ.US,D,20201116,000000,31.28,31.28,29.9608,30.52,319.5,0
YGMZ.US,D,20201117,000000,30.8,31.2,29.68,30.2,707.625,0
YGMZ.US,D,20201118,000000,29.7608,30.08,29.7608,29.96,229,0
YGMZ.US,D,20201119,000000,31.36,31.36,29.6,29.6,701.625,0
YGMZ.US,D,20201120,000000,29.68,31.36,29.68,30.4,1613.25,0
YGMZ.US,D,20201123,000000,31.0936,31.4,30.16,30.16,2265.375,0
YGMZ.US,D,20201124,000000,30.64,32,30.56,30.88,1949.125,0
YGMZ.US,D,20201125,000000,30.988,34.4,30.96,32.08,8701.75,0
YGMZ.US,D,20201127,000000,32.2512,33.3808,32.08,33.3808,452.75,0
YGMZ.US,D,20201130,000000,33.44,34.224,33.2,33.2,2808.25,0
YGMZ.US,D,20201201,000000,33.6736,34.0512,33.52,33.5208,1316,0
YGMZ.US,D,20201202,000000,33.44,34.08,32.8,33.2072,917.25,0
YGMZ.US,D,20201203,000000,34.7688,35.2,33.52,33.7944,8571.5,0
YGMZ.US,D,20201204,000000,33.76,33.92,29.268,32.08,29683.125,0
YGMZ.US,D,20201207,000000,32.48,32.6,32,32,1954.875,0
YGMZ.US,D,20201208,000000,31.92,32.692,31.92,32.32,1492.75,0
YGMZ.US,D,20201209,000000,33.6976,33.6976,31.6,32.48,3014,0
YGMZ.US,D,20201210,000000,32.4,32.56,32,32.44,1053.875,0
YGMZ.US,D,20201211,000000,32.6456,33.2,32.24,33.2,847.75,0
YGMZ.US,D,20201214,000000,33.2,35.2,31.2,31.2008,18037,0
YGMZ.US,D,20201215,000000,31.2,32.08,31.2,32,619,0
YGMZ.US,D,20201216,000000,32.2552,32.6712,32,32.32,737,0
YGMZ.US,D,20201217,000000,34.4,150.72,34.4,140,2992643.25,0
YGMZ.US,D,20201218,000000,136,139.12,84.16,89.92,432091.875,0
YGMZ.US,D,20201221,000000,79.12,79.6,66.96,73.84,81939.625,0
YGMZ.US,D,20201222,000000,69.92,110.8,69.92,82.4,395240.625,0
