<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YHC.US,D,20230810,000000,7000,10150,5082,5460,2479.603578867375,0
YHC.US,D,20230811,000000,4494,6034,2828,4200,3765.1471541525757,0
YHC.US,D,20230814,000000,3710,5516,2730,2842,3071.6221520719077,0
YHC.US,D,20230815,000000,2828,3416,2828,2926,768.3650023051079,0
YHC.US,D,20230816,000000,2856,2939.86,2282,2380,905.7471455743757,0
YHC.US,D,20230817,000000,2548,3360,2184,2296,4179.057869679915,0
YHC.US,D,20230818,000000,2128,2226,1568,1694,3529.8321534466895,0
YHC.US,D,20230821,000000,1820,2002,1680,1778,2736.1835796371265,0
YHC.US,D,20230822,000000,1638,1722,1540,1708,1508.8471473836757,0
YHC.US,D,20230823,000000,1638,1666,1568,1596,933.9657170876229,0
YHC.US,D,20230824,000000,1372,1484,1274,1274.14,1327.1107182670537,0
YHC.US,D,20230825,000000,1309.7,1820,1309.7,1428,6159.6364470502085,0
YHC.US,D,20230828,000000,1960,1960,1470,1596,10900.469318415613,0
YHC.US,D,20230829,000000,1582,1596,1387.96,1428,2004.5207202992638,0
YHC.US,D,20230830,000000,1316,1470,1288,1442,973.6971457782399,0
YHC.US,D,20230831,000000,1470,1610,1442,1526,1989.0828631101112,0
YHC.US,D,20230901,000000,1568,1582,1442,1582,945.0085742636086,0
YHC.US,D,20230905,000000,1680,2310,1484,1624,12454.407894506121,0
YHC.US,D,20230906,000000,1750,1764,1374.8,1526,7698.737165953309,0
YHC.US,D,20230907,000000,1442,1807.68,1442,1680,4949.664300563379,0
YHC.US,D,20230908,000000,1694,1834,1540,1610,4433.840727587269,0
YHC.US,D,20230911,000000,1554,1568,1331.4,1366.82,4513.265013539836,0
YHC.US,D,20230912,000000,1320.2,1321.6,1057,1059.8,4069.662155066234,0
YHC.US,D,20230913,000000,1048.6,1071,924.14,980.98,3775.480725612052,0
YHC.US,D,20230914,000000,952,1015,945,979.58,1728.9864337583865,0
YHC.US,D,20230915,000000,977.76,1006.6,933.8,946.4,1166.9514320722942,0
YHC.US,D,20230918,000000,945,959,859.6,895.58,1163.9178606346036,0
YHC.US,D,20230919,000000,911.68,911.68,784,812.14,1138.105003414305,0
YHC.US,D,20230920,000000,805,963.2,757.4,947.8,3243.906438303049,0
YHC.US,D,20230921,000000,875.14,937.86,785.4,795.06,1442.6221471850222,0
YHC.US,D,20230922,000000,784,797.72,742,751.52,1051.4500031543357,0
YHC.US,D,20230925,000000,722.54,728,602,628.18,1894.5028628263601,0
YHC.US,D,20230926,000000,624.26,685.72,623.14,651.14,715.171430716943,0
YHC.US,D,20230927,000000,631.12,651.14,602,615.3,581.2271446008272,0
YHC.US,D,20230928,000000,596.82,601.72,532.28,546,1580.7257190278972,0
YHC.US,D,20230929,000000,588.14,650.72,533.4,557.2,2936.629294524058,0
YHC.US,D,20231002,000000,534.94,575.4,525,525.14,861.0492882974207,0
YHC.US,D,20231003,000000,531.72,574,509.6,540.4,492.1900014765614,0
YHC.US,D,20231004,000000,529.62,614.6,526.54,543.76,833.9478596446908,0
YHC.US,D,20231005,000000,546.14,562.52,525,532.14,325.18285811841145,0
YHC.US,D,20231006,000000,536.9,560,525,541.8,1147.967146301053,0
YHC.US,D,20231009,000000,420,427,364.42,378,2009.6814346004815,0
YHC.US,D,20231010,000000,378,390.88,350,356.58,819.6771453161629,0
YHC.US,D,20231011,000000,353.08,355.6,308,319.2,951.8778599984779,0
YHC.US,D,20231012,000000,312.9,331.66,308,331.66,835.4264310777121,0
YHC.US,D,20231013,000000,261.8,261.8,232.4,241.22,3728.3264397563266,0
YHC.US,D,20231016,000000,600.32,648.48,217.28,226.8,123710.53465684483,0
YHC.US,D,20231017,000000,236.6,237.58,210.14,219.8,21569.134350421704,0
YHC.US,D,20231018,000000,210,210,179.2,189.7,12336.657894152944,0
YHC.US,D,20231019,000000,175,180.6,154,175,8730.1721690476,0
YHC.US,D,20231020,000000,159.6,175,159.6,171.64,3864.8264401659694,0
YHC.US,D,20231023,000000,170.8,170.8,151.2,154.979,4652.02144252745,0
YHC.US,D,20231024,000000,155.54,188.58,152.6,183.4,8004.877881157449,0
YHC.US,D,20231025,000000,177.66,181.02,155.54,167.44,2847.752865686124,0
YHC.US,D,20231026,000000,161.98,171.626,158.48,162.54,2380.080721425966,0
YHC.US,D,20231027,000000,158.06,163.8,152.6,161,1929.641434360356,0
YHC.US,D,20231030,000000,158.9,162.4,143.5,145.6,3166.6514380715084,0
YHC.US,D,20231031,000000,144.62,148.4,129.5,136.08,5744.085017232371,0
YHC.US,D,20231101,000000,145.46,158.2,140.14,150.5,5433.060730584775,0
YHC.US,D,20231102,000000,148.68,192.22,144.48,188.3,9111.701455906557,0
YHC.US,D,20231103,000000,184.52,197.68,175.98,177.66,4205.89501261761,0
YHC.US,D,20231106,000000,177.66,177.66,149.1,158.9,3894.2821545399966,0
YHC.US,D,20231107,000000,159.6,159.6,154,158.06,4210.579298346008,0
YHC.US,D,20231108,000000,135.8,135.8,110.6,116.9,4408.670727511814,0
YHC.US,D,20231109,000000,119,119.7,106.12,116.76,3068.361437776647,0
YHC.US,D,20231110,000000,115.78,134.68,114.38,126,14519.161472128877,0
YHC.US,D,20231113,000000,156.8,168.28,90.3,91,65899.30234055645,0
YHC.US,D,20231114,000000,91,92.26,70.7,87.36,18356.107197925536,0
YHC.US,D,20231115,000000,83.72,86.66,77.98,85.96,4463.3885848188165,0
YHC.US,D,20231116,000000,84,92.5414,80.92,87.64,8255.534310480962,0
YHC.US,D,20231117,000000,87.64,90.72,75.6,78.54,4878.631443207202,0
YHC.US,D,20231120,000000,81.2,90.86,79.1,85.96,23132.407926540123,0
YHC.US,D,20231121,000000,107.38,116.06,65.94,70,123749.67037124967,0
YHC.US,D,20231122,000000,70,73.22,54.74,57.54,38869.49368803806,0
YHC.US,D,20231124,000000,56,57.54,42.7,45.01,36005.59510801703,0
YHC.US,D,20231127,000000,41.86,45.36,41.86,42.42,18763.594342005024,0
YHC.US,D,20231128,000000,38.22,43.4,35,41.44,20251.549346468975,0
YHC.US,D,20231129,000000,41.44,42.14,34.3,34.58,26378.629364850058,0
YHC.US,D,20231130,000000,42.4665,43.6334,28.4667,32.6667,89289.3429464322,0
YHC.US,D,20231201,000000,32.6667,38.2665,30.8,34.0667,61037.4000610374,0
YHC.US,D,20231204,000000,34.3,36.3975,28.7,30.8,29140.6286005692,0
YHC.US,D,20231205,000000,30.3333,30.3333,26.1333,26.6,29805.3000298053,0
YHC.US,D,20231206,000000,26.8333,28.7,24.9807,25.6667,29190.428600619,0
YHC.US,D,20231207,000000,26.1333,28,24.0333,24.0333,26737.2428838801,0
YHC.US,D,20231208,000000,24.9667,24.9667,23.3333,23.8,18663.9428758068,0
YHC.US,D,20231211,000000,23.8,25.6667,22.1667,25.2,22979.5285944081,0
YHC.US,D,20231212,000000,25.2,30.5667,24.2667,30.1,96853.02866828161,0
YHC.US,D,20231213,000000,31.5,56,30.94,49.9334,266875.0716954465,0
YHC.US,D,20231214,000000,52.2665,66.5,39.4404,59.2665,150588.9858648747,0
YHC.US,D,20231215,000000,59.0334,64.8665,47.1334,59.9665,51949.5000519495,0
