<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YHGJ.US,D,20050225,000000,16.83,16.929,16.038,16.038,131.3,0
YHGJ.US,D,20050228,000000,16.038,16.038,16.038,16.038,414.1,0
YHGJ.US,D,20050301,000000,16.137,16.137,15.84,15.84,833.3000000000001,0
YHGJ.US,D,20050302,000000,15.84,15.84,15.84,15.84,101,0
YHGJ.US,D,20050303,000000,15.345,16.236,15.345,15.444,1464.6000000000001,0
YHGJ.US,D,20050304,000000,15.84,18.414,15.84,18.216,6459.1,0
YHGJ.US,D,20050307,000000,18.216,24.75,17.919,18.414,33487.4,0
YHGJ.US,D,20050308,000000,19.404,20.592,17.424,17.721,5648.900000000001,0
YHGJ.US,D,20050309,000000,18.711,19.008,17.325,17.721,3038.8,0
YHGJ.US,D,20050310,000000,17.325,23.265,17.325,19.8,16632.9,0
YHGJ.US,D,20050311,000000,19.404,25.047,18.018,19.8,43064.4,0
YHGJ.US,D,20050314,000000,20.79,20.79,18.612,18.909,8424.2,0
YHGJ.US,D,20050315,000000,18.711,20.592,18.711,19.404,3698,0
YHGJ.US,D,20050316,000000,19.8,20.394,18.216,18.315,4032.7000000000003,0
YHGJ.US,D,20050317,000000,18.315,18.513,18.216,18.513,1000,0
YHGJ.US,D,20050318,000000,19.107,19.107,17.523,18.018,594.4,0
YHGJ.US,D,20050321,000000,17.82,17.82,17.028,17.325,803,0
YHGJ.US,D,20050322,000000,17.028,18.117,17.028,17.424,1887.3000000000002,0
YHGJ.US,D,20050323,000000,17.523,19.503,17.424,17.424,4967.700000000001,0
YHGJ.US,D,20050324,000000,17.028,18.315,17.028,17.424,948.5,0
YHGJ.US,D,20050328,000000,17.127,17.523,15.939,16.434,5745.6,0
YHGJ.US,D,20050329,000000,15.939,16.335,15.84,15.84,3257.6000000000004,0
YHGJ.US,D,20050330,000000,15.84,16.236,15.84,16.236,838.4000000000001,0
YHGJ.US,D,20050331,000000,15.84,16.236,15.444,15.84,2096,0
YHGJ.US,D,20050401,000000,16.236,16.236,16.236,16.236,262.6,0
YHGJ.US,D,20050404,000000,15.84,16.335,15.345,15.345,642,0
YHGJ.US,D,20050405,000000,15.444,19.602,14.949,19.503,16312.300000000001,0
YHGJ.US,D,20050406,000000,18.81,19.206,15.939,15.939,5193.3,0
YHGJ.US,D,20050407,000000,16.038,16.83,15.84,16.335,1737.4,0
YHGJ.US,D,20050408,000000,17.028,23.76,16.632,18.81,53789.5,0
YHGJ.US,D,20050411,000000,17.82,22.77,17.82,20.295,25971.7,0
YHGJ.US,D,20050412,000000,21.681,21.681,18.414,18.711,3603.9,0
YHGJ.US,D,20050413,000000,18.711,20.889,17.424,18.315,5711,0
YHGJ.US,D,20050414,000000,20.097,20.097,17.523,17.919,2357.6,0
YHGJ.US,D,20050415,000000,18.315,18.612,17.523,17.523,3465.8,0
YHGJ.US,D,20050418,000000,17.325,18.216,16.731,16.929,1977.3000000000002,0
YHGJ.US,D,20050419,000000,17.028,19.8,16.83,17.424,1777.8000000000002,0
YHGJ.US,D,20050420,000000,17.325,21.285,17.325,17.424,14280.800000000001,0
YHGJ.US,D,20050421,000000,19.602,19.602,17.919,18.612,336.40000000000003,0
YHGJ.US,D,20050422,000000,17.919,17.919,14.949,15.246,9551.300000000001,0
YHGJ.US,D,20050425,000000,15.642,16.533,14.85,15.246,4085.9,0
YHGJ.US,D,20050426,000000,15.543,15.543,12.375,13.662,6231.3,0
YHGJ.US,D,20050427,000000,13.662,14.454,12.474,14.058,1332.3000000000002,0
YHGJ.US,D,20050428,000000,12.969,13.761,12.573,12.573,90.9,0
YHGJ.US,D,20050429,000000,12.87,14.85,12.87,14.157,700.8000000000001,0
YHGJ.US,D,20050502,000000,14.85,14.85,12.474,13.761,797.5,0
YHGJ.US,D,20050503,000000,12.87,15.642,12.87,14.256,979.8000000000001,0
YHGJ.US,D,20050505,000000,13.86,13.86,11.781,13.761,1277,0
YHGJ.US,D,20050506,000000,13.266,13.464,12.375,12.87,555.6,0
YHGJ.US,D,20050509,000000,12.87,12.87,11.88,12.87,1096,0
YHGJ.US,D,20050510,000000,11.385,11.385,4.95,9.702,5413.900000000001,0
YHGJ.US,D,20050511,000000,9.9,10.89,8.415,8.91,1308.1000000000001,0
YHGJ.US,D,20050512,000000,8.118,9.603,8.118,9.603,121.10000000000001,0
YHGJ.US,D,20050513,000000,8.811,10.395,8.811,10.395,812.8000000000001,0
YHGJ.US,D,20050516,000000,9.108,10.395,9.108,9.603,232.3,0
YHGJ.US,D,20050517,000000,8.514,9.306,7.029,9.306,2137.7000000000003,0
YHGJ.US,D,20050518,000000,8.316,9.801,8.316,9.801,483.3,0
YHGJ.US,D,20050519,000000,9.9,13.563,9.9,12.87,4608.3,0
YHGJ.US,D,20050520,000000,13.266,16.632,10.296,15.84,19809.600000000002,0
YHGJ.US,D,20050523,000000,17.721,17.721,15.543,16.038,3230.3,0
YHGJ.US,D,20050524,000000,15.543,17.226,14.256,16.632,6471,0
YHGJ.US,D,20050525,000000,17.226,17.226,14.949,15.84,573.7,0
YHGJ.US,D,20050526,000000,15.84,16.335,13.959,15.246,3514.7000000000003,0
YHGJ.US,D,20050527,000000,17.325,17.325,14.355,16.335,2813.8,0
YHGJ.US,D,20050531,000000,12.969,16.335,12.969,14.652,569.5,0
YHGJ.US,D,20050601,000000,15.345,15.345,13.86,14.85,964.6,0
YHGJ.US,D,20050602,000000,15.246,15.345,13.167,13.959,2974,0
YHGJ.US,D,20050603,000000,14.454,14.454,13.365,14.454,2161.4,0
YHGJ.US,D,20050606,000000,14.454,14.454,13.266,13.365,1272.7,0
YHGJ.US,D,20050607,000000,13.365,14.652,13.365,13.662,1601,0
YHGJ.US,D,20050608,000000,14.454,14.454,13.167,13.86,1852,0
YHGJ.US,D,20050609,000000,13.86,14.85,13.761,14.85,1233.7,0
YHGJ.US,D,20050610,000000,15.345,15.345,14.058,14.454,383.8,0
YHGJ.US,D,20050613,000000,13.365,15.147,13.365,15.147,75.8,0
YHGJ.US,D,20050614,000000,14.85,15.246,13.761,13.86,804.5,0
YHGJ.US,D,20050615,000000,14.751,14.751,13.464,13.464,80.80000000000001,0
YHGJ.US,D,20050616,000000,14.058,14.85,13.464,14.256,845.7,0
YHGJ.US,D,20050617,000000,14.85,14.85,14.85,14.85,10.100000000000001,0
YHGJ.US,D,20050620,000000,14.058,20.295,14.058,17.82,15352.300000000001,0
YHGJ.US,D,20050621,000000,17.82,46.926,16.533,29.7,225035.1,0
YHGJ.US,D,20050622,000000,26.235,28.512,22.572,24.255,57580.100000000006,0
YHGJ.US,D,20050623,000000,24.057,25.443,20.295,20.295,13901.5,0
YHGJ.US,D,20050624,000000,23.661,23.661,19.008,21.285,8051.6,0
YHGJ.US,D,20050627,000000,21.186,21.285,19.8,20.592,4838.5,0
YHGJ.US,D,20050628,000000,20.394,21.087,18.216,18.216,3470.1000000000004,0
YHGJ.US,D,20050629,000000,18.216,19.8,18.216,19.503,2252.6,0
YHGJ.US,D,20050630,000000,21.681,21.681,18.117,18.315,1666.4,0
YHGJ.US,D,20050701,000000,18.315,20.196,16.533,18.81,6475.5,0
YHGJ.US,D,20050705,000000,18.315,19.305,17.424,18.018,2961.7000000000003,0
YHGJ.US,D,20050706,000000,18.909,24.255,17.919,19.998,33146.9,0
YHGJ.US,D,20050707,000000,19.899,20.493,17.919,19.602,5536.400000000001,0
YHGJ.US,D,20050708,000000,20.196,20.592,18.612,19.305,1878.8000000000002,0
YHGJ.US,D,20050711,000000,21.78,21.78,19.404,19.701,1981.7,0
YHGJ.US,D,20050712,000000,18.81,19.206,18.414,18.414,2686.1000000000004,0
YHGJ.US,D,20050713,000000,18.909,19.503,18.315,18.81,808.1,0
YHGJ.US,D,20050714,000000,18.711,19.701,18.711,19.503,1964.6000000000001,0
YHGJ.US,D,20050715,000000,19.503,19.701,18.81,18.81,551.5,0
YHGJ.US,D,20050718,000000,18.909,19.8,18.909,19.701,560.6,0
YHGJ.US,D,20050719,000000,19.404,20.196,19.008,19.8,908.1,0
YHGJ.US,D,20050720,000000,20.097,25.641,20.097,24.75,65618.7,0
YHGJ.US,D,20050721,000000,26.433,26.73,21.384,22.176,18273.100000000002,0
YHGJ.US,D,20050722,000000,21.483,22.275,20.295,20.79,6522.6,0
YHGJ.US,D,20050725,000000,20.79,22.77,20.295,20.493,2313.1,0
YHGJ.US,D,20050726,000000,20.493,21.087,19.8,21.087,3613.4,0
YHGJ.US,D,20050727,000000,20.394,20.79,19.305,19.8,3464.6000000000004,0
YHGJ.US,D,20050728,000000,19.8,20.394,19.404,19.503,4181.8,0
YHGJ.US,D,20050729,000000,19.602,19.701,18.612,19.008,3127.8,0
YHGJ.US,D,20050801,000000,18.414,19.206,18.018,18.513,2842,0
YHGJ.US,D,20050802,000000,18.315,19.701,18.315,19.107,1381.3000000000002,0
YHGJ.US,D,20050803,000000,18.81,19.701,18.414,19.206,1262.6000000000001,0
YHGJ.US,D,20050804,000000,19.305,19.305,18.513,18.81,873.1,0
YHGJ.US,D,20050805,000000,18.612,19.305,18.612,18.711,60.6,0
YHGJ.US,D,20050808,000000,18.612,19.206,18.414,18.612,868.7,0
YHGJ.US,D,20050809,000000,18.81,19.404,18.513,19.404,1156.6000000000001,0
YHGJ.US,D,20050810,000000,18.612,20.592,18.612,19.8,1313.1000000000001,0
YHGJ.US,D,20050811,000000,19.305,19.701,18.513,19.701,702,0
YHGJ.US,D,20050812,000000,19.008,19.107,18.414,18.414,2202.7000000000003,0
