<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YHNA.US,D,20241111,000000,10.01,10.01,10,10.01,751996,0
YHNA.US,D,20241113,000000,10,10.01,10,10,415817,0
YHNA.US,D,20241114,000000,10,10,9.99,9.9999,87893,0
YHNA.US,D,20241118,000000,10,10,9.99,9.99,51055,0
YHNA.US,D,20241119,000000,10,10.01,10,10,360809,0
YHNA.US,D,20241120,000000,10,10,10,10,108,0
YHNA.US,D,20241121,000000,10.01,10.01,10,10.01,119193,0
YHNA.US,D,20241122,000000,10,10,10,10,185256,0
YHNA.US,D,20241125,000000,10.01,10.01,10,10.01,270927,0
YHNA.US,D,20241126,000000,10.01,10.01,10,10.01,8264,0
YHNA.US,D,20241127,000000,10.02,10.03,10.01,10.01,512383,0
YHNA.US,D,20241129,000000,10.02,10.03,10.01,10.03,14321,0
YHNA.US,D,20241202,000000,10.02,10.03,10.02,10.025,277821,0
YHNA.US,D,20241203,000000,10.02,10.025,10.02,10.02,83820,0
YHNA.US,D,20241204,000000,10.02,10.025,10.0199,10.02,254362,0
YHNA.US,D,20241205,000000,10.02,10.02,10.02,10.02,320,0
YHNA.US,D,20241206,000000,10.02,10.02,10.02,10.02,200,0
YHNA.US,D,20241209,000000,10.03,10.03,10.03,10.03,1817,0
YHNA.US,D,20241210,000000,10.03,10.03,10.03,10.03,842,0
YHNA.US,D,20241211,000000,10.03,10.03,10.03,10.03,3890,0
YHNA.US,D,20241212,000000,10.0307,10.0307,10.0307,10.0307,675,0
YHNA.US,D,20241216,000000,10.03,10.035,10.03,10.03,30519,0
YHNA.US,D,20241217,000000,10.03,10.04,10.03,10.04,16501,0
YHNA.US,D,20241218,000000,10.04,10.045,10.04,10.045,111000,0
YHNA.US,D,20241219,000000,10.05,10.05,10.04,10.04,100200,0
YHNA.US,D,20241220,000000,10.04,10.05,10.04,10.04,32957,0
YHNA.US,D,20241223,000000,10.04,10.04,10.04,10.04,57395,0
YHNA.US,D,20241227,000000,10.04,10.05,10.04,10.0499,116457,0
YHNA.US,D,20241230,000000,10.05,10.055,10.0499,10.05,10090,0
YHNA.US,D,20241231,000000,10.06,10.06,10.06,10.06,1000,0
YHNA.US,D,20250102,000000,10.06,10.06,10.06,10.06,114279,0
YHNA.US,D,20250103,000000,10.05,10.05,10.05,10.05,13351,0
YHNA.US,D,20250106,000000,10.06,10.06,10.06,10.06,25000,0
YHNA.US,D,20250107,000000,10.07,10.07,10.07,10.07,975,0
YHNA.US,D,20250108,000000,10.065,10.065,10.06,10.06,5604,0
YHNA.US,D,20250110,000000,10.06,10.065,10.06,10.065,96616,0
YHNA.US,D,20250113,000000,10.0641,10.075,10.0641,10.07,110495,0
YHNA.US,D,20250114,000000,10.07,10.07,10.07,10.07,33674,0
YHNA.US,D,20250116,000000,10.08,10.08,10.08,10.08,51208,0
YHNA.US,D,20250117,000000,10.07,10.07,10.07,10.07,1004,0
