<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YHNAU.US,D,20240919,000000,10.01,10.0102,10,10,416495,0
YHNAU.US,D,20240920,000000,10.03,10.03,10,10.01,168099,0
YHNAU.US,D,20240923,000000,10.02,10.02,10.0107,10.0107,19551,0
YHNAU.US,D,20240924,000000,10.01,10.02,10.01,10.02,1784,0
YHNAU.US,D,20240926,000000,10.0194,10.02,10.01,10.02,103844,0
YHNAU.US,D,20240927,000000,10.01,10.03,10.01,10.02,1029,0
YHNAU.US,D,20240930,000000,10.02,10.02,10.02,10.02,1052,0
YHNAU.US,D,20241001,000000,10.02,10.02,10.01,10.02,51773,0
YHNAU.US,D,20241002,000000,10.02,10.02,10.01,10.02,90031,0
YHNAU.US,D,20241003,000000,10.02,10.02,10.01,10.01,97466,0
YHNAU.US,D,20241004,000000,10.02,10.02,10.02,10.02,47807,0
YHNAU.US,D,20241007,000000,10.02,10.03,10.02,10.02,10272,0
YHNAU.US,D,20241008,000000,10.03,10.03,10.03,10.03,5013,0
YHNAU.US,D,20241009,000000,10.02,10.03,10.02,10.02,6530,0
YHNAU.US,D,20241010,000000,10.02,10.02,10.02,10.02,2676,0
YHNAU.US,D,20241011,000000,10.02,10.02,10.01,10.02,9220,0
YHNAU.US,D,20241014,000000,10.03,10.03,10.03,10.03,503,0
YHNAU.US,D,20241015,000000,10.02,10.03,10.01,10.02,3227,0
YHNAU.US,D,20241016,000000,10.02,10.03,10.02,10.025,93469,0
YHNAU.US,D,20241017,000000,10.03,10.506,10.02,10.02,29069,0
YHNAU.US,D,20241018,000000,10.03,10.03,10.03,10.03,2821,0
YHNAU.US,D,20241021,000000,10.04,10.04,10.04,10.04,528,0
YHNAU.US,D,20241022,000000,10.04,10.04,10.04,10.04,27444,0
YHNAU.US,D,20241023,000000,10.04,10.0428,10.04,10.0401,2525,0
YHNAU.US,D,20241024,000000,10.05,10.05,10.05,10.05,75000,0
YHNAU.US,D,20241025,000000,10.05,10.05,10.04,10.04,51562,0
YHNAU.US,D,20241028,000000,10.05,10.06,10.05,10.06,39840,0
YHNAU.US,D,20241029,000000,10.06,10.07,10.06,10.07,54071,0
YHNAU.US,D,20241030,000000,10.07,10.08,10.07,10.08,650,0
YHNAU.US,D,20241031,000000,10.08,10.08,10.08,10.08,5300,0
YHNAU.US,D,20241101,000000,10.09,10.09,10.09,10.09,65012,0
YHNAU.US,D,20241105,000000,10.09,10.09,10.09,10.09,25300,0
YHNAU.US,D,20241108,000000,10.1,10.11,10.1,10.11,858,0
YHNAU.US,D,20241119,000000,10.1,10.1,10.1,10.1,979,0
YHNAU.US,D,20241120,000000,10.1,10.1,10.1,10.1,200000,0
YHNAU.US,D,20241122,000000,10.14,10.19,10.14,10.19,1095,0
YHNAU.US,D,20241127,000000,10.1,10.1302,10.1,10.1302,1026,0
YHNAU.US,D,20241209,000000,10.2918,10.68,10.12,10.3,1909,0
YHNAU.US,D,20241210,000000,11,11.28,10.5,10.5,1428,0
YHNAU.US,D,20241211,000000,10.12,10.12,10.12,10.12,1170,0
YHNAU.US,D,20241216,000000,10.15,10.1735,10.14,10.1735,6999,0
YHNAU.US,D,20241217,000000,10.13,10.1383,10.12,10.13,6790,0
YHNAU.US,D,20241220,000000,10.1,10.1,10.1,10.1,1000,0
YHNAU.US,D,20241227,000000,10.14,10.15,10.14,10.15,1274,0
YHNAU.US,D,20250113,000000,10.17,10.17,10.17,10.17,423,0
YHNAU.US,D,20250116,000000,10.18,10.2,10.17,10.17,3794,0
YHNAU.US,D,20250122,000000,10.2,10.2,10.2,10.2,463,0
YHNAU.US,D,20250123,000000,10.17,10.17,10.17,10.17,463,0
YHNAU.US,D,20250124,000000,10.17,11.4,10.17,10.95,17178,0
YHNAU.US,D,20250127,000000,10.25,11,10.25,10.4,8509,0
YHNAU.US,D,20250128,000000,10.4,10.5,10.4,10.5,759,0
YHNAU.US,D,20250129,000000,10.5,10.5,10.5,10.5,602,0
YHNAU.US,D,20250130,000000,11.28,11.28,10.2,10.47,2074,0
YHNAU.US,D,20250131,000000,10.39,11.65,10.13,10.3918,4725,0
YHNAU.US,D,20250203,000000,10.31,12.22,10.31,10.31,11976,0
YHNAU.US,D,20250204,000000,10.26,10.35,10.25,10.35,2104,0
YHNAU.US,D,20250207,000000,10.21,10.21,10.21,10.21,108,0
YHNAU.US,D,20250211,000000,10.24,10.24,10.15,10.21,301,0
YHNAU.US,D,20250305,000000,10.22,10.22,10.22,10.22,106,0
YHNAU.US,D,20250307,000000,10.23,10.23,10.23,10.23,300,0
YHNAU.US,D,20250313,000000,10.24,10.24,10.24,10.24,171,0
YHNAU.US,D,20250327,000000,10.3,10.3,10.3,10.3,101,0
YHNAU.US,D,20250407,000000,10.31,10.31,10.3,10.3,400,0
YHNAU.US,D,20250507,000000,10.34,10.4,10.34,10.4,3840,0
YHNAU.US,D,20250610,000000,10.4,10.4,10.4,10.4,298,0
YHNAU.US,D,20250617,000000,10.45,10.45,10.45,10.45,194,0
