<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YI.US,D,20180912,000000,167.5,168.3,115.75,138,130217.1,0
YI.US,D,20180913,000000,139,142.2,130,140,68515.8,0
YI.US,D,20180914,000000,146,147.3,130.51,139.9,77344.7,0
YI.US,D,20180917,000000,136.1,139.19,132.5,137.2,19802.300000000003,0
YI.US,D,20180918,000000,138.5,138.5,127,130.6,25915.5,0
YI.US,D,20180919,000000,132.6,138.2,127.1,138.2,9601.6,0
YI.US,D,20180920,000000,138.2,138.2,131.2,135.1,5598.900000000001,0
YI.US,D,20180921,000000,135,155,135,154.4,29702.7,0
YI.US,D,20180924,000000,151.2,151.2,143.1,148.1,7616.8,0
YI.US,D,20180925,000000,148,148,136.6,140.7,9153.2,0
YI.US,D,20180926,000000,140.7,143,135.653,143,1520.3000000000002,0
YI.US,D,20180927,000000,140.6,142.645,138,138,1530.5,0
YI.US,D,20180928,000000,134.8,142.9,134,135.2,2037,0
YI.US,D,20181001,000000,137.5,139.9,132.6,133.8,3772,0
YI.US,D,20181002,000000,134,135.565,117.3,117.5,4565.6,0
YI.US,D,20181003,000000,117.1,119.612,102.1,113.65,6202.900000000001,0
YI.US,D,20181004,000000,110,113,102.5,108,15392.400000000001,0
YI.US,D,20181005,000000,106.9,121.2,105,121.2,11974.5,0
YI.US,D,20181008,000000,117.2,120,107.6,116.4,7843.3,0
YI.US,D,20181009,000000,118.6,118.6,102.6,111.5,7714.3,0
YI.US,D,20181010,000000,109.8,110.514,103.1,105.1,2027.9,0
YI.US,D,20181011,000000,104,104.354,97.3,98.5,3221.5,0
YI.US,D,20181012,000000,100.1,102.38,92,93.5,2379.9,0
YI.US,D,20181015,000000,93.1,100,82.9,99.9,4812.5,0
YI.US,D,20181016,000000,99.6,114.4,98.436,106.4,4105.900000000001,0
YI.US,D,20181017,000000,105.2,107.92,105.2,107.5,849.9000000000001,0
YI.US,D,20181018,000000,106.1,106.1,100.6,102,880.5,0
YI.US,D,20181019,000000,108,108,86.6,88.9,3855.3,0
YI.US,D,20181022,000000,90.2,92.7,80.2,80.2,4611.7,0
YI.US,D,20181023,000000,80,86.86,75.8,80.5,1652,0
YI.US,D,20181024,000000,80.9,85.15,79.6,81,1329.4,0
YI.US,D,20181025,000000,80.5,81,78.5,80.1,1588.1000000000001,0
YI.US,D,20181026,000000,79.9,84.3,75.2,81.5,1339.6000000000001,0
YI.US,D,20181029,000000,82.1,88.9,81.8,82.1,1684,0
YI.US,D,20181030,000000,82.6,93,82.6,87.1,3381.1000000000004,0
YI.US,D,20181031,000000,87.1,94.9,87.1,88.8,967.7,0
YI.US,D,20181101,000000,90,104,89.7,100,2468.8,0
YI.US,D,20181102,000000,102.4,123.4,95.038,112.8,3401.8,0
YI.US,D,20181105,000000,112,119.5,112,112,2357,0
YI.US,D,20181106,000000,111,116.5,101.2,115,1252.7,0
YI.US,D,20181107,000000,118.4,118.576,102.6,117.7,1959.2,0
YI.US,D,20181108,000000,115,118.4,109.9,110,2204.3,0
YI.US,D,20181109,000000,105.1,105.1,97.4,97.5,3256.4,0
YI.US,D,20181112,000000,96.3,101.799,95,99,1054,0
YI.US,D,20181113,000000,98.9,98.9,96,96.2,208.5,0
YI.US,D,20181114,000000,97.3,98.17,97.3,98,204.20000000000002,0
YI.US,D,20181115,000000,97.9,103,97.5,100,1231.5,0
YI.US,D,20181116,000000,101.1,105,99.598,101.2,941.7,0
YI.US,D,20181119,000000,101.8,109.6,100,100.6,3888.4,0
YI.US,D,20181120,000000,100.3,100.3,91.5,91.5,1241.2,0
YI.US,D,20181121,000000,92.4,99.79,92.4,92.8,984.7,0
YI.US,D,20181123,000000,92.5,98,90,98,90.30000000000001,0
YI.US,D,20181126,000000,99.5,104.4,92,96.9,792.8000000000001,0
YI.US,D,20181127,000000,96,96.1,96,96.1,665.5,0
YI.US,D,20181128,000000,99.3,100.608,95,95,629.9000000000001,0
YI.US,D,20181129,000000,95,99.325,95,95,1595.6000000000001,0
YI.US,D,20181130,000000,95,96.6,95,95,216.20000000000002,0
YI.US,D,20181203,000000,96.7,100,85,95.55,3997,0
YI.US,D,20181204,000000,93.5,93.5,71.7,71.7,5965.8,0
YI.US,D,20181206,000000,71.8,79.95,71.8,79.8,2519.1000000000004,0
YI.US,D,20181207,000000,78.8,79.8,75,75.3,583,0
YI.US,D,20181210,000000,75.6,77.03,75,75,805.3000000000001,0
YI.US,D,20181211,000000,75.1,75.1,66.2,70,3373.9,0
YI.US,D,20181212,000000,70.8,74.4,66.5,70,2087.5,0
YI.US,D,20181213,000000,70,70,65.115,65.5,976.5,0
YI.US,D,20181214,000000,65.5,66.9,65,65,267.3,0
YI.US,D,20181217,000000,65,69.7,63.45,66.8,2969.2000000000003,0
YI.US,D,20181218,000000,67.3,67.7,64.2,64.4,171.70000000000002,0
YI.US,D,20181219,000000,65,65.3,64.4,65,1472.1000000000001,0
YI.US,D,20181220,000000,65,65.9,60.1,61,2038.6000000000001,0
YI.US,D,20181221,000000,65.7,65.7,60,60,1200.3,0
YI.US,D,20181224,000000,60.7,64.1,60.7,61.5,115.10000000000001,0
YI.US,D,20181226,000000,62.5,63.8,60.1,63.7,552.6,0
YI.US,D,20181227,000000,62.7,62.7,60.2,60.3,188.20000000000002,0
YI.US,D,20181228,000000,61.7,62.6,60.5,60.5,775.4000000000001,0
YI.US,D,20181231,000000,61.5,61.5,61.4,61.4,466.90000000000003,0
YI.US,D,20190102,000000,60.2,61.1,60,60,405.8,0
YI.US,D,20190103,000000,60.2,60.5,59.491,60.5,469.6,0
YI.US,D,20190104,000000,60.5,69.715,60.5,67.8,1026.9,0
YI.US,D,20190107,000000,68,70,65.462,70,1005.6,0
YI.US,D,20190108,000000,70,97.6,69,95.5,6052.5,0
YI.US,D,20190109,000000,95.6,108,95,96.2,3845.7000000000003,0
YI.US,D,20190110,000000,97.5,99.85,95.615,98.4,600.6,0
YI.US,D,20190111,000000,98.3,99,94.47,99,279.7,0
YI.US,D,20190114,000000,98,98,95,97.9,655.9000000000001,0
YI.US,D,20190115,000000,98,98,90.4,93.1,892.2,0
YI.US,D,20190116,000000,93.1,93.1,85.2,85.2,947.4000000000001,0
YI.US,D,20190117,000000,84.7,84.7,81.7,81.7,995,0
YI.US,D,20190118,000000,80.5,80.5,75,75.3,2929.7000000000003,0
YI.US,D,20190122,000000,77.406,77.406,75.2,77.406,43.900000000000006,0
YI.US,D,20190123,000000,79.1,82,79.1,81,165.10000000000002,0
YI.US,D,20190124,000000,85.5,94.7,85.5,88,1289.1000000000001,0
YI.US,D,20190125,000000,89.5,92.5,87,87,595.2,0
YI.US,D,20190128,000000,80.858,87.9,80.858,84.876,286.1,0
YI.US,D,20190129,000000,86,90.3,86,90.3,80.2,0
YI.US,D,20190130,000000,91.3,95,87.861,88.1,1586.3000000000002,0
YI.US,D,20190131,000000,88.1,95,87.12,87.5,1679.2,0
YI.US,D,20190201,000000,91.1,92.8,87.7,87.7,1057.8,0
YI.US,D,20190204,000000,88.2,95,88,93.8,1083.4,0
YI.US,D,20190205,000000,93.5,94.899,89,90,720.8000000000001,0
YI.US,D,20190206,000000,91.8,91.8,88.5,88.5,1519.2,0
YI.US,D,20190207,000000,90,90.7,81.1,85.4,1420.9,0
YI.US,D,20190208,000000,86.5,89.9,72.3,77.9,2649.1000000000004,0
YI.US,D,20190211,000000,81.472,82.198,80.1,80.1,190.8,0
YI.US,D,20190212,000000,81,83.9,81,83.9,184,0
YI.US,D,20190213,000000,84,84.556,83,83,215.4,0
YI.US,D,20190214,000000,83.36,83.36,75,75.1,1166.7,0
YI.US,D,20190215,000000,77.5,83.7,77.5,83.6,1366.5,0
YI.US,D,20190219,000000,84.186,84.186,79.015,80.1,694.4000000000001,0
YI.US,D,20190220,000000,83.5,84.8,80.2,80.2,333.6,0
YI.US,D,20190221,000000,81.9,81.9,76.8,76.8,1158.3,0
YI.US,D,20190222,000000,76.717,80.8,76.717,80.4,812.7,0
YI.US,D,20190225,000000,81.1,86.43,81.1,84.3,3551.3,0
YI.US,D,20190226,000000,83.6,88.2,83.6,87.5,1013.2,0
YI.US,D,20190227,000000,87.2,90.8,86,90.8,1562,0
YI.US,D,20190228,000000,93.94,93.94,83.2,87,1096.8,0
YI.US,D,20190301,000000,88.822,88.822,83.2,83.4,518.9,0
YI.US,D,20190304,000000,84.1,84.1,81.2,84,1702.3000000000002,0
YI.US,D,20190305,000000,84,84.19,81.2,81.9,1404.9,0
YI.US,D,20190306,000000,85.1,85.1,81.4,81.59,538.6,0
YI.US,D,20190307,000000,84,84,76,79.9,1287.6000000000001,0
YI.US,D,20190308,000000,77.141,79,75,75.2,2194.7000000000003,0
YI.US,D,20190311,000000,76,82.598,75.262,81.5,453.3,0
YI.US,D,20190312,000000,80.4,85,79.7,82.9,631.3000000000001,0
YI.US,D,20190313,000000,79.586,83.399,76.101,80.3,727,0
YI.US,D,20190314,000000,80.304,80.304,79,79.5,238.10000000000002,0
YI.US,D,20190315,000000,76.2,79.999,76,78.5,10648.1,0
YI.US,D,20190318,000000,78,78.8,69.4,74.5,17603.100000000002,0
YI.US,D,20190319,000000,71,78,68.2,69.5,14169.1,0
YI.US,D,20190320,000000,69.1,70.6,68.2,68.35,2559.7000000000003,0
YI.US,D,20190321,000000,68.5,72.009,68.2,69.9,6583.8,0
YI.US,D,20190322,000000,69.6,71.652,67.5,69.8,7555.5,0
YI.US,D,20190325,000000,71.3,71.655,69,70,2532.7000000000003,0
YI.US,D,20190326,000000,70,72,65.9,70,7500.200000000001,0
YI.US,D,20190327,000000,68.6,68.6,63,64.1,6279.8,0
YI.US,D,20190328,000000,64.6,66.672,56,56.9,5640.8,0
YI.US,D,20190329,000000,58.2,65.8,58.2,64.9,3110.1000000000004,0
YI.US,D,20190401,000000,65.2,68.5,65,65.1,2459.8,0
YI.US,D,20190402,000000,65,66,64.32,65.5,963.8000000000001,0
