<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YJ.US,D,20190503,000000,536.8,728,536,566,218978.675,0
YJ.US,D,20190506,000000,504,606.756,492,534.8,38015.225,0
YJ.US,D,20190507,000000,537.6,568,507.2,512.4,19958.225,0
YJ.US,D,20190508,000000,508.4,537.6,494,529.6,11809.825,0
YJ.US,D,20190509,000000,524.4,526,500,501.2,10599.375,0
YJ.US,D,20190510,000000,511.6,514.176,472.4,482.8,11948.175,0
YJ.US,D,20190513,000000,470.4,470.4,412.404,424,20803.55,0
YJ.US,D,20190514,000000,434,440.956,428.4,439.6,11647.15,0
YJ.US,D,20190515,000000,436,446,432.8,440,3507.25,0
YJ.US,D,20190516,000000,444,452,412,440.8,8642.975,0
YJ.US,D,20190517,000000,433.6,443.6,429.4,440.4,4726.7,0
YJ.US,D,20190520,000000,440.8,441.2,429.48,440,2232.9,0
YJ.US,D,20190521,000000,440,452.356,427.2,427.2,2234.875,0
YJ.US,D,20190522,000000,433.2,442,425.2,441.2,4073.225,0
YJ.US,D,20190523,000000,420.4,465.2,405.644,452.4,4971.45,0
YJ.US,D,20190524,000000,447.6,462,428.8,438,3081.45,0
YJ.US,D,20190528,000000,440,440,436,437.6,1881.175,0
YJ.US,D,20190529,000000,438.8,452,436.8,449.2,5538.5,0
YJ.US,D,20190530,000000,452,452,440,441.2,825.275,0
YJ.US,D,20190531,000000,441.2,441.2,438,440,15252.75,0
YJ.US,D,20190603,000000,440,443.4,428,440,1628.275,0
YJ.US,D,20190604,000000,471.6,509.996,448,448.8,8478.6,0
YJ.US,D,20190605,000000,445.2,448.632,400,402.8,2936.65,0
YJ.US,D,20190606,000000,407.6,418.616,397.6,400,2383.125,0
YJ.US,D,20190607,000000,400,461.6,399.6,460,4408.1,0
YJ.US,D,20190610,000000,460.8,471.2,446,456,2092.125,0
YJ.US,D,20190611,000000,458.4,462.076,420.444,436.8,2522.85,0
YJ.US,D,20190612,000000,429.6,444,429.6,435.2,3020.525,0
YJ.US,D,20190613,000000,436,440,425.04,428.8,1261,0
YJ.US,D,20190614,000000,425.6,429.6,400.8,426.4,1286.3,0
YJ.US,D,20190617,000000,430.8,441.6,425.832,438,404.25,0
YJ.US,D,20190618,000000,437.6,440,430.4,435.6,533.85,0
YJ.US,D,20190619,000000,435.2,440,424,429.6,457.725,0
YJ.US,D,20190620,000000,433.6,434,424.4,424.4,708.325,0
YJ.US,D,20190621,000000,426.4,433.64,420,420.8,417.75,0
YJ.US,D,20190624,000000,435.6,435.6,420,424,1800.3,0
YJ.US,D,20190625,000000,423.6,423.6,416,416,144.3,0
YJ.US,D,20190626,000000,418,430.732,418,420,277.575,0
YJ.US,D,20190627,000000,420.132,439.6,420.132,430,471.525,0
YJ.US,D,20190628,000000,428.8,452,426.8,452,5632.725,0
YJ.US,D,20190701,000000,458,458,436,448,3200.7,0
YJ.US,D,20190702,000000,440.4,452,440.4,447.6,1084.25,0
YJ.US,D,20190703,000000,449.6,449.6,432.4,440,4436.45,0
YJ.US,D,20190705,000000,434.8,440,432,432.8,522.2,0
YJ.US,D,20190708,000000,436,436,424,434,392.275,0
YJ.US,D,20190709,000000,434,434,414,430.8,643.2,0
YJ.US,D,20190710,000000,438,438,424,427.6,282.875,0
YJ.US,D,20190711,000000,427.6,430.224,417.6,417.6,324.725,0
YJ.US,D,20190712,000000,422.4,424,417.2,417.2,292.275,0
YJ.US,D,20190715,000000,416,436,416,428.8,1036.45,0
YJ.US,D,20190716,000000,433.2,433.2,420.412,429.132,106.925,0
YJ.US,D,20190717,000000,429.2,439.6,420.4,439.6,546.3,0
YJ.US,D,20190718,000000,439.6,440,421.2,440,897.925,0
YJ.US,D,20190719,000000,439.6,439.6,426.804,434,133.325,0
YJ.US,D,20190722,000000,428.8,438.72,425.252,432.8,146.65,0
YJ.US,D,20190723,000000,427.2,432,427.2,432,361.4,0
YJ.US,D,20190724,000000,430.784,431.12,422.78,427.2,221.925,0
YJ.US,D,20190725,000000,427.6,431.952,427.2,427.2,264.25,0
YJ.US,D,20190726,000000,429.6,429.6,422,424.8,228.125,0
YJ.US,D,20190729,000000,421.2,429.492,421.2,422.4,40.1,0
YJ.US,D,20190730,000000,420.8,428,420.8,428,1012.475,0
YJ.US,D,20190731,000000,423.708,431.6,421.2,428.8,409.3,0
YJ.US,D,20190801,000000,428.8,433.6,428.8,433.6,650.475,0
YJ.US,D,20190802,000000,422.8,426.8,420,422,248.625,0
YJ.US,D,20190805,000000,416.4,417.768,402,406,290.575,0
YJ.US,D,20190806,000000,405.2,405.2,368,399.6,1273.375,0
YJ.US,D,20190807,000000,389.288,402,386,402,546.4,0
YJ.US,D,20190808,000000,398.4,401.6,378,400,2503.7,0
YJ.US,D,20190809,000000,392.936,402.6,388,397.6,794,0
YJ.US,D,20190812,000000,388.404,397.6,388.4,397.6,774.575,0
YJ.US,D,20190813,000000,390.4,395.016,384,389.6,521.65,0
