<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YMAB.US,D,20180921,000000,26.5,28.03,22.5,24,2481029,0
YMAB.US,D,20180924,000000,27,27.9899,24.54,26.97,201929,0
YMAB.US,D,20180925,000000,27.31,27.31,25,25.28,100819,0
YMAB.US,D,20180926,000000,25.2,25.92,24.1,24.72,113591,0
YMAB.US,D,20180927,000000,24.75,25.2,24.1867,25.03,216201,0
YMAB.US,D,20180928,000000,25.21,27.35,24.78,26.56,70270,0
YMAB.US,D,20181001,000000,27.14,31,25.01,26.05,213622,0
YMAB.US,D,20181002,000000,26.47,29.3,25.45,28.92,133220,0
YMAB.US,D,20181003,000000,29.37,29.7,26.4,26.79,124680,0
YMAB.US,D,20181004,000000,26.72,27.9196,22.18,23.5,259251,0
YMAB.US,D,20181005,000000,23.85,26.75,23.03,26.26,91279,0
YMAB.US,D,20181008,000000,25.73,25.73,23,23.82,134062,0
YMAB.US,D,20181009,000000,24,25.2825,22.4,22.55,106576,0
YMAB.US,D,20181010,000000,22.68,22.8,20.0293,22.5,89613,0
YMAB.US,D,20181011,000000,22.19,23.55,20.7,22.15,224398,0
YMAB.US,D,20181012,000000,22.63,23.46,20.51,20.81,172511,0
YMAB.US,D,20181015,000000,21.63,23.07,20.82,21.6,110020,0
YMAB.US,D,20181016,000000,22.4,22.52,20,21.15,379563,0
YMAB.US,D,20181017,000000,21,21.72,19.2,19.48,172448,0
YMAB.US,D,20181018,000000,19.63,22.5,18,22,138559,0
YMAB.US,D,20181019,000000,21.8,22.05,21.2,21.5,40992,0
YMAB.US,D,20181022,000000,21.48,22.25,21,21.93,108571,0
YMAB.US,D,20181023,000000,21.89,22.9499,21,22.15,176596,0
YMAB.US,D,20181024,000000,21.97,24.18,21.7884,22.39,161349,0
YMAB.US,D,20181025,000000,22.5,24.8,22.5,23.75,159496,0
YMAB.US,D,20181026,000000,23.77,24.79,21.9,22.34,230743,0
YMAB.US,D,20181029,000000,22.34,24.09,22,22.52,201936,0
YMAB.US,D,20181030,000000,22.84,24,22.84,23.84,153590,0
YMAB.US,D,20181031,000000,24.16,24.915,24,24.56,132333,0
YMAB.US,D,20181101,000000,24.47,25.09,24.03,24.9,206304,0
YMAB.US,D,20181102,000000,25.66,26,24.31,25.38,132708,0
YMAB.US,D,20181105,000000,26,26,24.87,25.69,106117,0
YMAB.US,D,20181106,000000,25.73,25.755,25.27,25.5,67971,0
YMAB.US,D,20181107,000000,25.77,25.8668,25.23,25.64,68413,0
YMAB.US,D,20181108,000000,25.81,26.44,24.65,25.79,68484,0
YMAB.US,D,20181109,000000,25.57,25.79,24.92,25.53,28886,0
YMAB.US,D,20181112,000000,25.63,25.63,24.19,24.26,32543,0
YMAB.US,D,20181113,000000,24.66,25.35,22.89,23.15,91963,0
YMAB.US,D,20181114,000000,23.56,24.76,23.54,23.99,36086,0
YMAB.US,D,20181115,000000,23.7,25.53,22.47,24.61,34552,0
YMAB.US,D,20181116,000000,24.5,25.51,24.08,24.87,59795,0
YMAB.US,D,20181119,000000,24.69,25.56,24.175,24.66,74031,0
YMAB.US,D,20181120,000000,24.41,24.9,23.41,23.43,69201,0
YMAB.US,D,20181121,000000,24.85,25.06,23.18,24.85,43178,0
YMAB.US,D,20181123,000000,24.85,27.585,23.93,27.22,50943,0
YMAB.US,D,20181126,000000,27.12,27.12,25.41,26.14,55491,0
YMAB.US,D,20181127,000000,25.83,25.83,24.0296,24.34,47063,0
YMAB.US,D,20181128,000000,24.19,26,22.7103,25.32,75912,0
YMAB.US,D,20181129,000000,25.76,27.28,24.84,26.32,138106,0
YMAB.US,D,20181130,000000,26.25,26.75,24.81,24.92,65877,0
YMAB.US,D,20181203,000000,25.38,26.86,24.62,24.9,115160,0
YMAB.US,D,20181204,000000,24.9,25.56,23.39,24.5,63751,0
YMAB.US,D,20181206,000000,24.03,25.39,22.6915,23.37,99494,0
YMAB.US,D,20181207,000000,23.3,24.57,22.25,22.63,100609,0
YMAB.US,D,20181210,000000,22.71,22.8502,21.2,22.13,122221,0
YMAB.US,D,20181211,000000,22.72,24.45,21.63,21.97,48249,0
YMAB.US,D,20181212,000000,22.03,24.1426,21.09,21.97,60555,0
YMAB.US,D,20181213,000000,21.56,22.35,20.22,21.58,65163,0
YMAB.US,D,20181214,000000,21.45,22.0984,20.282,21.42,46784,0
YMAB.US,D,20181217,000000,21.41,21.98,20,20.47,64602,0
YMAB.US,D,20181218,000000,20.6,20.82,19.3,19.85,169632,0
YMAB.US,D,20181219,000000,19.82,20.3804,18.66,19.01,87261,0
YMAB.US,D,20181220,000000,18.85,18.85,17.37,18.23,142650,0
YMAB.US,D,20181221,000000,18.87,18.87,16.57,16.92,944236,0
YMAB.US,D,20181224,000000,16.76,16.76,15.17,15.41,36913,0
YMAB.US,D,20181226,000000,15.72,17.79,15.72,17.01,43686,0
YMAB.US,D,20181227,000000,16.89,17.28,16.1,17.19,114177,0
YMAB.US,D,20181228,000000,17.5,18.78,17.5,18.77,107249,0
YMAB.US,D,20181231,000000,18.89,20.75,18.1,20.34,160862,0
YMAB.US,D,20190102,000000,19.96,20.4199,18.1101,18.21,146521,0
YMAB.US,D,20190103,000000,18.21,20.49,18.21,20.44,90629,0
YMAB.US,D,20190104,000000,20.49,20.76,19.615,19.89,82064,0
YMAB.US,D,20190107,000000,20.01,22.5,19.73,22.24,55735,0
YMAB.US,D,20190108,000000,22.5,22.5,20.1,21.98,37686,0
YMAB.US,D,20190109,000000,21.95,24.21,21.8901,23.55,51421,0
YMAB.US,D,20190110,000000,23.87,24.69,22.85,24.26,85909,0
YMAB.US,D,20190111,000000,24.55,24.99,22.75,23.64,59565,0
YMAB.US,D,20190114,000000,23.28,24,21.87,22.01,34697,0
YMAB.US,D,20190115,000000,23.25,24.275,22.03,22.45,89443,0
YMAB.US,D,20190116,000000,22.17,23.68,22,23.11,51656,0
YMAB.US,D,20190117,000000,23,23.52,22,23.05,39334,0
YMAB.US,D,20190118,000000,23.18,23.18,21.805,22.79,29075,0
YMAB.US,D,20190122,000000,23.04,23.4,20.53,20.66,33787,0
YMAB.US,D,20190123,000000,20.75,22.2705,19.855,20.4,26183,0
YMAB.US,D,20190124,000000,20.36,21.9,19.99,21.42,22118,0
YMAB.US,D,20190125,000000,21.87,21.88,21.3,21.55,13566,0
YMAB.US,D,20190128,000000,21.05,21.58,20.14,20.67,61856,0
YMAB.US,D,20190129,000000,20.99,20.99,19.97,20.03,41962,0
YMAB.US,D,20190130,000000,20.17,20.47,18.6,20.27,66613,0
YMAB.US,D,20190131,000000,21,21.4,20.12,20.58,36153,0
YMAB.US,D,20190201,000000,20.63,21.23,20.32,20.59,17671,0
YMAB.US,D,20190204,000000,20.66,21.205,20.63,20.92,18864,0
YMAB.US,D,20190205,000000,21.19,21.6718,20.31,21.13,16658,0
YMAB.US,D,20190206,000000,21.13,21.32,20.18,20.36,14780,0
