<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YMT.US,D,20250819,000000,5.88,6.05,1.9,2.8,2959594,0
YMT.US,D,20250820,000000,2.22,2.469,2.06,2.23,293188,0
YMT.US,D,20250821,000000,2.37,2.65,2.22,2.38,343724,0
YMT.US,D,20250822,000000,2.45,2.6,2.38,2.46,214099,0
YMT.US,D,20250825,000000,2.45,2.45,2.152,2.34,160387,0
YMT.US,D,20250826,000000,2.3949,2.6,2.26,2.588,149804,0
YMT.US,D,20250827,000000,2.59,2.59,2.33,2.4501,39278,0
YMT.US,D,20250828,000000,2.4326,2.5119,2.3555,2.45,114940,0
YMT.US,D,20250829,000000,2.445,2.445,2.3,2.36,54398,0
YMT.US,D,20250902,000000,2.35,2.41,2.16,2.28,86812,0
YMT.US,D,20250903,000000,2.33,2.4,2.25,2.3,714173,0
YMT.US,D,20250904,000000,2.22,2.31,2.07,2.07,281677,0
YMT.US,D,20250905,000000,2.11,2.2256,2.08,2.1,47126,0
YMT.US,D,20250908,000000,2.1185,2.19,2,2.08,109939,0
YMT.US,D,20250909,000000,2.02,2.23,2.02,2.16,187444,0
YMT.US,D,20250910,000000,2.15,2.4,2.15,2.3,541301,0
YMT.US,D,20250911,000000,2.3,2.32,2.19,2.21,85007,0
YMT.US,D,20250912,000000,2.21,2.29,2.1301,2.185,42432,0
YMT.US,D,20250915,000000,2.16,2.22,2.03,2.11,74898,0
YMT.US,D,20250916,000000,2.11,2.32,2.0524,2.29,55366,0
YMT.US,D,20250917,000000,2.39,2.39,2.16,2.27,58708,0
YMT.US,D,20250918,000000,2.185,2.29,2.18,2.29,115908,0
YMT.US,D,20250919,000000,2.29,2.29,2.07,2.25,66796,0
YMT.US,D,20250922,000000,2.18,2.22,2.11,2.14,47319,0
YMT.US,D,20250923,000000,2.14,2.25,2.07,2.07,39562,0
YMT.US,D,20250924,000000,2.1647,2.1647,2.01,2.01,86512,0
YMT.US,D,20250925,000000,2.01,2.1325,1.883,1.97,74185,0
YMT.US,D,20250926,000000,1.97,2.09,1.71,1.75,132290,0
YMT.US,D,20250929,000000,1.7762,1.93,1.7595,1.84,32269,0
YMT.US,D,20250930,000000,1.9,2.04,1.859,1.86,51247,0
YMT.US,D,20251001,000000,1.9,2.05,1.87,2,35154,0
YMT.US,D,20251002,000000,1.98,2.04,1.87,2.04,50761,0
YMT.US,D,20251003,000000,1.9794,2,1.86,1.87,28939,0
YMT.US,D,20251006,000000,1.9,1.9,1.7,1.73,53379,0
YMT.US,D,20251007,000000,1.83,1.92,1.75,1.78,20612,0
YMT.US,D,20251008,000000,1.82,1.82,1.72,1.75,86634,0
YMT.US,D,20251009,000000,1.75,1.87,1.73,1.86,63699,0
YMT.US,D,20251010,000000,1.79,1.85,1.68,1.7,74280,0
YMT.US,D,20251013,000000,1.7102,1.72,1.61,1.61,44242,0
YMT.US,D,20251014,000000,1.655,1.66,1.45,1.51,69223,0
YMT.US,D,20251015,000000,1.63,1.63,1.53,1.54,19708,0
