<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YORW.US,D,20050225,000000,9.85052,9.87329,9.77327,9.78812,7989.4983997165,0
YORW.US,D,20050228,000000,9.77327,9.92083,9.77327,9.85744,1559.1235501975,0
YORW.US,D,20050301,000000,9.80298,9.97528,9.80298,9.95946,8657.9827198141,0
YORW.US,D,20050302,000000,9.97528,10.0109,9.95153,9.98324,8455.0139156757,0
YORW.US,D,20050303,000000,9.97528,9.97528,9.83665,9.83665,3760.4767493104,0
YORW.US,D,20050304,000000,9.92677,10.4111,9.92677,10.2061,27217.005860409,0
YORW.US,D,20050307,000000,10.2061,10.5378,10.1417,10.2921,14894.476920604,0
YORW.US,D,20050308,000000,10.1288,10.3913,10.1288,10.2367,7974.3514740345,0
YORW.US,D,20050309,000000,10.1743,10.2833,9.77327,10.0515,32710.290907737,0
YORW.US,D,20050310,000000,10.0456,10.1981,9.77327,10.1981,15145.915886924,0
YORW.US,D,20050311,000000,10.2921,10.2921,10.1921,10.2367,33184.894579105,0
YORW.US,D,20050314,000000,9.78119,10.2457,9.78119,10.2367,27800.667396688,0
YORW.US,D,20050315,000000,10.1051,10.1743,9.91291,9.95153,4352.2166459527,0
YORW.US,D,20050316,000000,10.0971,10.0971,9.77327,9.79604,20209.028244884,0
YORW.US,D,20050317,000000,9.78119,10.1051,9.68811,9.77327,7800.6667262146,0
YORW.US,D,20050318,000000,9.78119,9.78119,9.64057,9.64849,10761.385799517,0
YORW.US,D,20050321,000000,9.69603,9.8208,9.52173,9.52867,7439.1600999382,0
YORW.US,D,20050322,000000,9.91291,10.0297,9.64057,10.0297,10333.23270024,0
YORW.US,D,20050323,000000,9.82872,9.94361,9.74356,9.87329,11844.895883301,0
YORW.US,D,20050324,000000,9.92677,9.92677,9.71385,9.87329,2595.1732668442,0
YORW.US,D,20050328,000000,9.69603,9.85052,9.69603,9.8208,21602.545407626,0
YORW.US,D,20050329,000000,9.88914,9.93568,9.8208,9.8208,5024.7401462322,0
YORW.US,D,20050330,000000,9.66632,10.0199,9.66632,9.85052,9704.1303869155,0
YORW.US,D,20050331,000000,9.82872,9.82872,9.78119,9.79604,20953.247193392,0
YORW.US,D,20050401,000000,9.66632,9.78119,9.57521,9.60294,5870.9483943316,0
YORW.US,D,20050404,000000,9.64057,9.64057,9.51381,9.52173,18703.423832096,0
YORW.US,D,20050405,000000,9.51381,9.51381,9.31238,9.48807,5139.8567814152,0
YORW.US,D,20050406,000000,9.63166,9.77327,9.56729,9.65741,5783.0962253762,0
YORW.US,D,20050408,000000,9.65741,9.68315,9.38586,9.64057,3791.7803957198,0
YORW.US,D,20050411,000000,9.73069,9.8208,9.68811,9.8208,2818.3379718919,0
YORW.US,D,20050412,000000,9.92677,10.0297,9.51381,10.0297,26336.464580764,0
YORW.US,D,20050413,000000,10.3357,10.8002,9.77327,10.0377,61026.963572657,0
YORW.US,D,20050414,000000,10.0297,10.0823,10.0297,10.0823,28270.222092829,0
YORW.US,D,20050415,000000,10.2367,10.5903,10.0515,10.2833,34701.606737394,0
YORW.US,D,20050418,000000,10.5903,10.9002,10.2061,10.7012,42769.869150656,0
YORW.US,D,20050419,000000,10.9002,11.7499,10.9002,11.3468,109119.46240795,0
YORW.US,D,20050420,000000,11.3182,11.4092,10.9329,11.3182,99063.92334522,0
YORW.US,D,20050421,000000,11.1874,11.4092,11.1874,11.3618,48829.649218489,0
YORW.US,D,20050422,000000,11.2617,11.4162,11.2102,11.2102,58523.68165495,0
YORW.US,D,20050425,000000,10.9329,11.1636,10.5685,10.8002,16211.24965989,0
YORW.US,D,20050426,000000,10.2685,11.022,10.2685,10.8052,40062.608633766,0
YORW.US,D,20050427,000000,10.8002,11.0448,10.6824,10.8428,9686.9638711426,0
YORW.US,D,20050428,000000,10.7557,10.9072,10.6824,10.6824,9096.2337695457,0
YORW.US,D,20050429,000000,10.6824,10.7477,10.4457,10.4457,5258.0028017345,0
YORW.US,D,20050502,000000,10.4367,10.6219,10.4111,10.5378,10080.783938874,0
YORW.US,D,20050503,000000,10.5764,10.5764,10.5309,10.5309,9783.9041955072,0
YORW.US,D,20050504,000000,10.5764,10.5764,10.4991,10.5378,18170.252048091,0
YORW.US,D,20050505,000000,10.5903,10.5903,10.5239,10.5823,20810.866091981,0
YORW.US,D,20050506,000000,10.5992,10.5992,9.35774,10.2229,64130.063747371,0
YORW.US,D,20050509,000000,10.2229,10.4199,10.0823,10.2367,14435.020174918,0
YORW.US,D,20050510,000000,10.4367,10.4367,10.2061,10.4199,9334.5454002754,0
YORW.US,D,20050511,000000,10.4913,10.4913,10.4111,10.4367,14423.912429418,0
YORW.US,D,20050512,000000,10.4853,10.517,10.4367,10.4991,11034.030461793,0
YORW.US,D,20050513,000000,11.3548,11.3548,10.4111,10.6358,55232.759601781,0
YORW.US,D,20050516,000000,10.6437,10.9002,10.6437,10.6824,21993.336090221,0
