<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YOTA.US,D,20220628,000000,9.81,9.83,9.805,9.8294,14161,0
YOTA.US,D,20220629,000000,9.81,9.83,9.81,9.8294,18304,0
YOTA.US,D,20220630,000000,9.8,9.82,9.8,9.8194,30901,0
YOTA.US,D,20220701,000000,9.81,9.81,9.8,9.81,198948,0
YOTA.US,D,20220705,000000,9.81,9.83,9.81,9.82,1407006,0
YOTA.US,D,20220707,000000,9.83,9.83,9.83,9.83,6853,0
YOTA.US,D,20220711,000000,9.82,9.85,9.82,9.85,7051,0
YOTA.US,D,20220712,000000,9.85,9.85,9.84,9.84,74275,0
YOTA.US,D,20220713,000000,9.84,9.84,9.84,9.84,4251,0
YOTA.US,D,20220714,000000,9.85,9.85,9.83,9.83,8581,0
YOTA.US,D,20220715,000000,9.84,9.84,9.84,9.84,200,0
YOTA.US,D,20220718,000000,9.84,9.85,9.84,9.84,120984,0
YOTA.US,D,20220719,000000,9.84,9.84,9.84,9.84,6201,0
YOTA.US,D,20220720,000000,9.85,9.85,9.85,9.85,143750,0
YOTA.US,D,20220722,000000,9.85,9.85,9.85,9.85,2000,0
YOTA.US,D,20220725,000000,9.87,9.88,9.87,9.88,614,0
YOTA.US,D,20220726,000000,9.85,9.85,9.85,9.85,225,0
YOTA.US,D,20220727,000000,9.87,9.87,9.85,9.85,421,0
YOTA.US,D,20220728,000000,9.86,9.88,9.85,9.85,6392,0
YOTA.US,D,20220802,000000,9.85,9.85,9.85,9.85,450050,0
YOTA.US,D,20220803,000000,9.88,9.88,9.88,9.88,1719,0
YOTA.US,D,20220804,000000,9.88,9.89,9.88,9.89,153200,0
YOTA.US,D,20220808,000000,9.89,9.89,9.88,9.88,390,0
YOTA.US,D,20220810,000000,9.8899,9.8899,9.88,9.88,11215,0
YOTA.US,D,20220811,000000,9.89,9.89,9.87,9.87,39016,0
YOTA.US,D,20220816,000000,9.8899,9.8899,9.8899,9.8899,111,0
YOTA.US,D,20220823,000000,9.89,9.89,9.89,9.89,2168,0
YOTA.US,D,20220830,000000,9.8501,9.8501,9.8501,9.8501,111,0
