<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YOTAR.US,D,20220628,000000,0.1,0.1,0.1,0.1,1726798,0
YOTAR.US,D,20220629,000000,0.08,0.0801,0.08,0.0801,2000,0
YOTAR.US,D,20220701,000000,0.08,0.1,0.07,0.1,279993,0
YOTAR.US,D,20220705,000000,0.1,0.1,0.095,0.095,13600,0
YOTAR.US,D,20220706,000000,0.075,0.075,0.075,0.075,867,0
YOTAR.US,D,20220711,000000,0.0862,0.0862,0.0862,0.0862,117,0
YOTAR.US,D,20220712,000000,0.09,0.09,0.09,0.09,100100,0
YOTAR.US,D,20220720,000000,0.0875,0.0875,0.0875,0.0875,600,0
YOTAR.US,D,20220722,000000,0.08,0.08,0.08,0.08,1000,0
YOTAR.US,D,20220727,000000,0.08,0.08,0.08,0.08,1000,0
YOTAR.US,D,20220728,000000,0.08,0.08,0.08,0.08,605179,0
YOTAR.US,D,20220801,000000,0.09,0.09,0.0897,0.0898,5000,0
YOTAR.US,D,20220803,000000,0.0701,0.0701,0.0701,0.0701,103,0
YOTAR.US,D,20220808,000000,0.0701,0.0701,0.0701,0.0701,239,0
YOTAR.US,D,20220815,000000,0.0701,0.0701,0.07,0.07,122945,0
YOTAR.US,D,20220816,000000,0.07,0.07,0.07,0.07,5001,0
YOTAR.US,D,20220822,000000,0.06,0.0636,0.06,0.0636,72356,0
YOTAR.US,D,20220826,000000,0.09,0.09,0.09,0.09,802,0
YOTAR.US,D,20220915,000000,0.06,0.0601,0.06,0.0601,2700,0
YOTAR.US,D,20220916,000000,0.0707,0.0707,0.07,0.07,20644,0
YOTAR.US,D,20220926,000000,0.06,0.06,0.06,0.06,47250,0
YOTAR.US,D,20221012,000000,0.065,0.065,0.065,0.065,2955,0
YOTAR.US,D,20221013,000000,0.07,0.07,0.07,0.07,94119,0
YOTAR.US,D,20221019,000000,0.08,0.08,0.08,0.08,1000,0
YOTAR.US,D,20221024,000000,0.065,0.065,0.06,0.06,71697,0
YOTAR.US,D,20221025,000000,0.0675,0.14,0.0675,0.12,60618,0
YOTAR.US,D,20221026,000000,0.13,0.13,0.11,0.11,57267,0
