<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YQ.US,D,20201204,000000,210,239.6,200,211.4,647454.6,0
YQ.US,D,20201207,000000,211,262,210.8,242.2,389399.4,0
YQ.US,D,20201208,000000,238.4,312,236,301.2,371765.6,0
YQ.US,D,20201209,000000,328.4,478.6,321,403.6,765143.2,0
YQ.US,D,20201210,000000,420,423.8,336,346,246943.8,0
YQ.US,D,20201211,000000,342,388,322,326.4,131098.4,0
YQ.US,D,20201214,000000,324.2,336,298,299,130110.4,0
YQ.US,D,20201215,000000,300,301,274.4,279.8,97059.2,0
YQ.US,D,20201216,000000,283,295,270,271.8,143047.6,0
YQ.US,D,20201217,000000,277.6,310,276,306,167935.6,0
YQ.US,D,20201218,000000,295,302.4,280.6,283,95782.6,0
YQ.US,D,20201221,000000,277,329.8,273.2,295.6,94059.2,0
YQ.US,D,20201222,000000,293.57,317.8,290.2,292.2,46299.6,0
YQ.US,D,20201223,000000,292.2,299.995,282,289,26750.6,0
YQ.US,D,20201224,000000,284,284.115,274,275.8,23616.4,0
YQ.US,D,20201228,000000,276,284,275.2,279.8,20035.2,0
YQ.US,D,20201229,000000,292.4,295.4,264,267,62376,0
YQ.US,D,20201230,000000,274,275.8,268,270.8,46080,0
YQ.US,D,20201231,000000,270.8,272.2,254,256.2,34059.4,0
YQ.US,D,20210104,000000,261,268.4,251.6,260,52808.8,0
YQ.US,D,20210105,000000,256.4,259.8,246.8,253.6,39184.6,0
YQ.US,D,20210106,000000,253.2,279.8,250,270,88939,0
YQ.US,D,20210107,000000,282,283.2,250,262.2,108220.4,0
YQ.US,D,20210108,000000,264,273.6,258.4,266,103151.2,0
YQ.US,D,20210111,000000,256.8,264.6,249,249.8,47525.4,0
YQ.US,D,20210112,000000,257,263.6,248.4,258,44481.4,0
YQ.US,D,20210113,000000,258,261.8,252,254.2,38077.4,0
YQ.US,D,20210114,000000,256.2,260,238,245.2,93000.4,0
YQ.US,D,20210115,000000,245.2,246.5,238.2,241.6,65345.6,0
YQ.US,D,20210119,000000,243.2,251.6,240.2,245,54662,0
YQ.US,D,20210120,000000,246.2,387.4,246,363.2,586567.8,0
YQ.US,D,20210121,000000,343.2,360,322.6,344.2,163270.4,0
YQ.US,D,20210122,000000,339.8,377.38,334.2,338,108309.6,0
YQ.US,D,20210125,000000,358,359.6,307,314.2,100700,0
YQ.US,D,20210126,000000,330,397.6,328.6,371.2,226898.8,0
YQ.US,D,20210127,000000,358.8,369.6,330,336.4,102631.6,0
YQ.US,D,20210128,000000,341.6,346.8,324,334.6,46431.2,0
YQ.US,D,20210129,000000,326,345.6,308,325.8,88287.8,0
YQ.US,D,20210201,000000,279.2,295.6,266.6,280.2,208024.8,0
YQ.US,D,20210202,000000,290.4,301.2,281.2,284.4,87056.2,0
YQ.US,D,20210203,000000,287.8,290.4,268,280.4,106269,0
YQ.US,D,20210204,000000,286.2,293,276.2,290,73158.8,0
YQ.US,D,20210205,000000,301.4,302.4,282.2,289.2,67190.8,0
YQ.US,D,20210208,000000,290.6,292.83,280,286.2,71381.4,0
YQ.US,D,20210209,000000,283.8,289.4,276.2,287.8,76709.2,0
YQ.US,D,20210210,000000,294.03,297.6,277.8,285,85949.8,0
YQ.US,D,20210211,000000,285.2,325,283.8,314.6,139569.2,0
YQ.US,D,20210212,000000,306.4,329.8,304,308.2,65580.8,0
YQ.US,D,20210216,000000,338.595,344.8,320,331,94299,0
YQ.US,D,20210217,000000,335.2,353.4,320.2,350.4,114359.6,0
YQ.US,D,20210218,000000,332.4,364.82,328.6,332.6,79225.6,0
YQ.US,D,20210219,000000,340.2,348.4,320,338.2,50083,0
YQ.US,D,20210222,000000,325.8,336.8,312,315.2,49965.2,0
YQ.US,D,20210223,000000,293,304,250,302.8,112056.8,0
YQ.US,D,20210224,000000,292,300.8,286,300,38031.8,0
YQ.US,D,20210225,000000,293.2,313,286.095,293.4,60779.2,0
YQ.US,D,20210226,000000,288.8,299.6,266.4,277.2,73234.4,0
YQ.US,D,20210301,000000,285.2,294,277.6,285,36788.2,0
YQ.US,D,20210302,000000,288,289,270.8,272.2,52484.2,0
YQ.US,D,20210303,000000,276,277,256,261,53285.2,0
YQ.US,D,20210304,000000,257.8,260.8,220,222,133614.2,0
YQ.US,D,20210305,000000,237.515,248.055,212.6,245.6,88978.8,0
YQ.US,D,20210308,000000,237.8,251.6,221,223,91201.6,0
YQ.US,D,20210309,000000,244.6,248,231.2,240,78046.8,0
YQ.US,D,20210310,000000,242,243,218.2,219.2,117289.6,0
YQ.US,D,20210311,000000,227.6,232.6,220.76,230.2,78371,0
YQ.US,D,20210312,000000,222.6,226,213.2,223.2,56759.2,0
YQ.US,D,20210315,000000,228,228.8,217.2,225.8,55584,0
YQ.US,D,20210316,000000,230,230.6,208.8,212,76053.4,0
YQ.US,D,20210317,000000,210,210.4,201.2,204.6,95225.6,0
YQ.US,D,20210318,000000,205.8,206.6,200,200.6,75511.2,0
YQ.US,D,20210319,000000,202.8,206.535,197.2,198.6,93682.4,0
YQ.US,D,20210322,000000,200,200.2,183.16,185.8,107056.4,0
YQ.US,D,20210323,000000,184.6,184.8,174.4,175,81443.2,0
YQ.US,D,20210324,000000,174,174.8,156.2,156.4,79465,0
YQ.US,D,20210325,000000,144.8,170.99,144,157,57519.6,0
YQ.US,D,20210326,000000,159.8,159.8,131.6,137.6,151769.6,0
YQ.US,D,20210329,000000,140.2,141,130,131.8,62253.8,0
YQ.US,D,20210330,000000,130,156,130,151,159225.2,0
YQ.US,D,20210331,000000,155.8,156.8,141,142.8,81222.2,0
YQ.US,D,20210401,000000,147,158,145.6,149.8,60584.6,0
YQ.US,D,20210405,000000,153,153.8,136.2,139.6,51876,0
YQ.US,D,20210406,000000,137.8,148.6,136.42,148.2,37002.4,0
YQ.US,D,20210407,000000,143.6,146,138.2,140.8,42832.4,0
YQ.US,D,20210408,000000,144,151.8,140.6,151,41100.6,0
YQ.US,D,20210409,000000,147.4,148,136.4,139.2,85691.8,0
YQ.US,D,20210412,000000,138.8,139.4,130.2,131.6,49361.2,0
YQ.US,D,20210413,000000,132.6,133.8,124,129.8,53286,0
YQ.US,D,20210414,000000,132.8,137.6,129.78,132.8,42104.8,0
YQ.US,D,20210415,000000,136,141.6,130,131.4,53757.6,0
YQ.US,D,20210416,000000,130.2,131.18,124,125.6,65370.2,0
YQ.US,D,20210419,000000,127,131.25,124.4,130.2,37743.8,0
YQ.US,D,20210420,000000,131.8,133.4,121.2,124.6,43046.4,0
YQ.US,D,20210421,000000,124.4,138.6,122.6,138.4,42796.4,0
YQ.US,D,20210422,000000,137,141.79,132.6,133.4,40414,0
YQ.US,D,20210423,000000,134.2,148.8,134.2,145.8,63568.6,0
YQ.US,D,20210426,000000,149.915,150,138.2,143.6,49584.4,0
YQ.US,D,20210427,000000,142.6,145,137.2,137.8,27233.2,0
YQ.US,D,20210428,000000,138,146.4,134.2,143.8,30949.6,0
YQ.US,D,20210429,000000,144,144.245,132.8,134.2,35302,0
YQ.US,D,20210430,000000,133,135.96,128.6,131.4,25203.2,0
YQ.US,D,20210503,000000,130.4,131.4,123,123.4,36903.8,0
YQ.US,D,20210504,000000,123.2,123.795,116.2,123.2,38896.8,0
YQ.US,D,20210505,000000,123.4,125.8,119.1,119.8,23743.2,0
YQ.US,D,20210506,000000,120,121.33,112,114.2,39753.8,0
YQ.US,D,20210507,000000,113.4,119.2,112.6,113.4,21309.4,0
YQ.US,D,20210510,000000,112,112.4,101.2,102.8,50338.4,0
YQ.US,D,20210511,000000,100.4,108,96.4,107.4,36544.8,0
YQ.US,D,20210512,000000,105.2,105.4,97.2,100,49980,0
YQ.US,D,20210513,000000,100,101,84.2,86,59520,0
YQ.US,D,20210514,000000,90.6,95.4,88.4,94.6,51551.2,0
YQ.US,D,20210517,000000,96,97.8,93,94.8,18685.8,0
YQ.US,D,20210518,000000,95,101.2,94.8,98.2,20748.8,0
YQ.US,D,20210519,000000,96.4,97.375,93.2,95.8,15538.2,0
YQ.US,D,20210520,000000,96.2,102.4,95.4,99.6,21750,0
YQ.US,D,20210521,000000,101.2,101.6,93.6,94.2,29782.8,0
YQ.US,D,20210524,000000,93,94,86.2,88.4,57802.4,0
YQ.US,D,20210525,000000,90.4,98,86,94.4,65474,0
YQ.US,D,20210526,000000,93.6,99.6,92.34,99,29320.8,0
YQ.US,D,20210527,000000,99.4,103.2,96.18,99.8,46384,0
YQ.US,D,20210528,000000,96,101.6,95.2,97.2,27492.2,0
YQ.US,D,20210601,000000,100,111.8,98,106.4,69349.4,0
YQ.US,D,20210602,000000,106.2,114,105.11,108.4,46117.8,0
YQ.US,D,20210603,000000,106,107.78,97,97.8,75774.2,0
YQ.US,D,20210604,000000,98.4,98.9,85,86.2,191296.8,0
YQ.US,D,20210607,000000,86,86,76.4,78.4,169923,0
YQ.US,D,20210608,000000,79.29,83.8,76.6,83.6,110576.4,0
YQ.US,D,20210609,000000,84.8,89.2,80.4,80.8,152350.2,0
YQ.US,D,20210610,000000,85,87.6,80.5,83,103088.8,0
YQ.US,D,20210611,000000,82.2,91.8,79.4,91.2,261873.4,0
YQ.US,D,20210614,000000,89,94.4,87.8,91.2,69714.6,0
YQ.US,D,20210615,000000,91.8,92.6,86.9,88.6,47377.6,0
YQ.US,D,20210616,000000,83.2,85.6,80.6,82.8,74444.8,0
YQ.US,D,20210617,000000,82.2,82.825,79.2,79.2,74192,0
YQ.US,D,20210618,000000,80,81.6,78.8,80,74092.8,0
YQ.US,D,20210621,000000,78.4,79.18,74.4,74.8,89657.2,0
YQ.US,D,20210622,000000,75.2,75.4,72,72.8,52324.8,0
YQ.US,D,20210623,000000,72.7,75.4,72.6,74,47465.6,0
YQ.US,D,20210624,000000,74,77,73.8,74,60122.6,0
YQ.US,D,20210625,000000,76.4,76.4,72.8,73.8,66115.4,0
YQ.US,D,20210628,000000,74.2,74.8,72.6,73,81253.4,0
YQ.US,D,20210629,000000,73.2,73.75,69,69.4,112142,0
YQ.US,D,20210630,000000,69.2,74.6,68,73,130319.2,0
YQ.US,D,20210701,000000,72,72.4,66.5,66.6,86983.8,0
YQ.US,D,20210702,000000,66.2,66.74,57.4,63,109192.4,0
YQ.US,D,20210706,000000,60,64.4,58.4,59.6,88561,0
YQ.US,D,20210707,000000,60,60.8,55.4,55.4,64809.6,0
YQ.US,D,20210708,000000,52,57.6,50.2,56.4,74714.4,0
YQ.US,D,20210709,000000,58.8,58.8,55.2,55.8,49566,0
YQ.US,D,20210712,000000,55.6,56,53.6,54.2,32677.4,0
YQ.US,D,20210713,000000,54,60,53.2,55,70219.4,0
YQ.US,D,20210714,000000,54.8,55.2,51,52.2,55349.6,0
YQ.US,D,20210715,000000,51.2,53.2,50,51.8,26668.8,0
YQ.US,D,20210716,000000,51.6,52,49.4,50.4,32407.4,0
YQ.US,D,20210719,000000,48.6,49.8,47.2,49,28880.8,0
YQ.US,D,20210720,000000,51,51,46.9,48.6,58670.4,0
YQ.US,D,20210721,000000,48.8,50.6,48.6,49.8,22186.4,0
YQ.US,D,20210722,000000,50.8,50.8,45.6,46,55394.6,0
YQ.US,D,20210723,000000,28,35.4,26.4,28.2,662146.6,0
YQ.US,D,20210726,000000,22.8,24,20.4,20.8,408855,0
YQ.US,D,20210727,000000,21.6,31.6,21.312,23.2,1218079.2,0
YQ.US,D,20210728,000000,25.8,27.4,23.6,24.4,420472.2,0
YQ.US,D,20210729,000000,25.4,25.4,23,24.2,193479.6,0
YQ.US,D,20210730,000000,23.8,24.21,22.2,22.4,133563,0
YQ.US,D,20210802,000000,22.642,23,21.6,22,131987.2,0
YQ.US,D,20210803,000000,22.4,23.6,21.4,22.8,174126.8,0
YQ.US,D,20210804,000000,22.4,24,21.4,22,190596,0
YQ.US,D,20210805,000000,22.072,23.4,21.8,22.8,89273.2,0
YQ.US,D,20210806,000000,22.42,23,22,22.4,64107.6,0
YQ.US,D,20210809,000000,22.4,25,22.046,24.6,141183.2,0
YQ.US,D,20210810,000000,24.4,25.4,23.4,23.6,47109.6,0
YQ.US,D,20210811,000000,23.274,23.6,22.4,23.2,47173.4,0
YQ.US,D,20210812,000000,22.8,22.8,22,22.2,46966,0
YQ.US,D,20210813,000000,21.8,22.4,21.4,21.6,36675.6,0
YQ.US,D,20210816,000000,21.4,21.4,20,20.8,64938.4,0
YQ.US,D,20210817,000000,20.044,21,19.6,21,67198.4,0
YQ.US,D,20210818,000000,21.2,22,20.2,20.8,58850.8,0
YQ.US,D,20210819,000000,19.352,22.2,19,21.6,84747.4,0
YQ.US,D,20210820,000000,21.07,21.7,20,21.4,57804.4,0
YQ.US,D,20210823,000000,21.034,21.4,20.1,20.4,40982.4,0
YQ.US,D,20210824,000000,21.2,24.6,20.2,23.6,298570,0
YQ.US,D,20210825,000000,23,24,20.6,22.4,135605,0
YQ.US,D,20210826,000000,21.8,23.2,20.768,21,143645.8,0
YQ.US,D,20210827,000000,20.8,21.2,20.4,21.2,94129.6,0
YQ.US,D,20210830,000000,21.2,23.2,20.6,22,118707.4,0
YQ.US,D,20210831,000000,21.77,23.2,21.6,22,135411.8,0
YQ.US,D,20210901,000000,22.6,27.2,22.4,26.6,334623,0
YQ.US,D,20210902,000000,26.4,28,24,25.6,265744.8,0
YQ.US,D,20210903,000000,24.886,26,23.4,25.4,113172.4,0
YQ.US,D,20210907,000000,25.6,27.4,25.4,26.4,84200.8,0
YQ.US,D,20210908,000000,26,26.6,23,24,69831.2,0
YQ.US,D,20210909,000000,23.4,25,23.2,24.8,29154.4,0
YQ.US,D,20210910,000000,25,25.362,23,23,48391.2,0
YQ.US,D,20210913,000000,23.2,23.4,22.2,23,38193.4,0
YQ.US,D,20210914,000000,23.2,24,22,22,49525.6,0
YQ.US,D,20210915,000000,22,22.2,20.8,21.8,39488.4,0
YQ.US,D,20210916,000000,21.6,22.2,20.8,22,35164.8,0
YQ.US,D,20210917,000000,22.2,22.2,20.8,21.8,57044.6,0
YQ.US,D,20210920,000000,21,21.2,19.4,19.506,78004.8,0
YQ.US,D,20210921,000000,19.6,20.4,19.6,19.7,37081.4,0
YQ.US,D,20210922,000000,19.6,21.2,19.6,21,77549.6,0
YQ.US,D,20210923,000000,21.6,21.8,20,20.2,52642.4,0
YQ.US,D,20210924,000000,20,20.4,19.02,19.282,55763.6,0
YQ.US,D,20210927,000000,19.4,20.6,18.6,20.4,79254.8,0
YQ.US,D,20210928,000000,19.8,20.4,18.8,18.874,56041.2,0
YQ.US,D,20210929,000000,19,19.34,17,17.434,133240.2,0
YQ.US,D,20210930,000000,17.6,18.38,17.582,18.002,71223.2,0
YQ.US,D,20211001,000000,18.054,18.398,17.006,17.5,61704.6,0
YQ.US,D,20211004,000000,17.08,17.456,16.23,16.448,47088,0
YQ.US,D,20211005,000000,16.44,17.098,16.286,17,35869.8,0
YQ.US,D,20211006,000000,17,17,16.66,16.96,21163.4,0
YQ.US,D,20211007,000000,17.44,17.5,16.654,17,59497.2,0
YQ.US,D,20211008,000000,16.6,17.598,16.16,17,82886.8,0
YQ.US,D,20211011,000000,16.6,18,16.46,16.938,102265.6,0
YQ.US,D,20211012,000000,17.002,18.2,16.402,17,54550,0
YQ.US,D,20211013,000000,17.1,17.8,16.802,17.702,72633,0
YQ.US,D,20211014,000000,17.6,17.6,16.61,17.52,39482.8,0
YQ.US,D,20211015,000000,17.4,17.79,16.82,17.132,39119.4,0
YQ.US,D,20211018,000000,17,17.4,16.26,16.612,65380,0
YQ.US,D,20211019,000000,16.402,16.998,16.002,16.774,48344.2,0
YQ.US,D,20211020,000000,16.76,16.76,16.2,16.66,53379,0
YQ.US,D,20211021,000000,16.7,16.98,16.4,16.622,46103.2,0
