<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YSXT.US,D,20241218,000000,4.05,5.52,3.95,4.31,904400,0
YSXT.US,D,20241219,000000,4.2,4.3,3.95,4.03,140726,0
YSXT.US,D,20241220,000000,3.98,4.91,3.98,4.5,238224,0
YSXT.US,D,20241223,000000,4.56,4.69,3.11,3.5,225364,0
YSXT.US,D,20241224,000000,3.3837,3.45,3.1,3.2,60612,0
YSXT.US,D,20241226,000000,3.44,3.44,2.7001,2.85,165506,0
YSXT.US,D,20241227,000000,2.9,2.97,2.5544,2.7,104980,0
YSXT.US,D,20241230,000000,2.7,6.27,2.54,3.7823,858995,0
YSXT.US,D,20241231,000000,3.24,4.41,3.21,3.65,255842,0
YSXT.US,D,20250102,000000,3.43,4.4,3.4,4.14,55698,0
YSXT.US,D,20250103,000000,4.15,4.15,3.18,3.5,153238,0
YSXT.US,D,20250106,000000,3.6,4.349,3.08,4.11,448790,0
YSXT.US,D,20250107,000000,4,5.95,3.8982,4.55,627423,0
YSXT.US,D,20250108,000000,4.58,5,4.4,4.6,242167,0
YSXT.US,D,20250110,000000,4.45,4.9,4.43,4.63,75967,0
YSXT.US,D,20250113,000000,4.47,4.8,4.33,4.61,79274,0
YSXT.US,D,20250114,000000,4.65,4.79,4.3,4.74,38729,0
YSXT.US,D,20250115,000000,4.72,4.8,4.3699,4.55,22915,0
YSXT.US,D,20250116,000000,4.61,4.69,4.4718,4.59,4023,0
YSXT.US,D,20250117,000000,4.57,4.7,4.4948,4.66,15868,0
YSXT.US,D,20250121,000000,4.6,4.75,4.425,4.63,14908,0
YSXT.US,D,20250122,000000,4.78,5.74,4.62,5.33,122176,0
YSXT.US,D,20250123,000000,5.3501,6.2,5.34,5.552,39232,0
YSXT.US,D,20250124,000000,5.41,6.12,5.41,5.99,20861,0
YSXT.US,D,20250127,000000,5.87,6.05,5.05,5.2,176807,0
YSXT.US,D,20250128,000000,5.05,5.19,4.1,4.21,208108,0
YSXT.US,D,20250129,000000,4.2,4.74,3.657,3.85,57867,0
YSXT.US,D,20250130,000000,3.63,4.17,3.27,3.39,104253,0
YSXT.US,D,20250131,000000,3.67,4.05,3.44,3.44,52463,0
YSXT.US,D,20250203,000000,3.78,3.78,2.055,2.38,318941,0
YSXT.US,D,20250204,000000,2.39,2.48,2.15,2.26,37281,0
YSXT.US,D,20250205,000000,2.19,2.45,2.19,2.27,6499,0
YSXT.US,D,20250206,000000,2.41,2.96,2.3,2.45,47773,0
YSXT.US,D,20250207,000000,2.47,2.84,2.22,2.3,50622,0
