<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YYAI.US,D,20220615,000000,1840,2336,1432,1576,674,0
YYAI.US,D,20220616,000000,1480,1560,1272,1336,144.75,0
YYAI.US,D,20220617,000000,1392,1544,1280,1288,101.4525,0
YYAI.US,D,20220621,000000,1280,1424,1224,1297.6,21.08625,0
YYAI.US,D,20220622,000000,1344,1513.28,1200,1416,84.77125,0
YYAI.US,D,20220623,000000,1520,1520,1200,1224,51.34875,0
YYAI.US,D,20220624,000000,1232,1279.92,1184.08,1208,28.95875,0
YYAI.US,D,20220627,000000,1304,1304,1120,1128,31.4075,0
YYAI.US,D,20220628,000000,1160,1272,1120,1245.84,65.1875,0
YYAI.US,D,20220629,000000,1328,1328,1216,1239.76,28.87625,0
YYAI.US,D,20220630,000000,1224,1256,1168,1184,5.97875,0
YYAI.US,D,20220701,000000,1168,1200,1120,1150.4,17.55125,0
YYAI.US,D,20220705,000000,1248,1248,1120,1144,48.6025,0
YYAI.US,D,20220706,000000,1120,1120,944,992,47.17875,0
YYAI.US,D,20220707,000000,992,1039.92,776,840,315.48625,0
YYAI.US,D,20220708,000000,816,959.92,776,911.92,178.9175,0
YYAI.US,D,20220711,000000,873.6,880,704,736,504.6425,0
YYAI.US,D,20220712,000000,784,784,664,704,148.4675,0
YYAI.US,D,20220713,000000,704,760,652.48,690.4,158.0475,0
YYAI.US,D,20220714,000000,692,692,652,687.84,85.29625,0
YYAI.US,D,20220715,000000,705.6,792,699.92,767.84,347.7825,0
YYAI.US,D,20220718,000000,752,752,680.16,712,70.27,0
YYAI.US,D,20220719,000000,744,744,682,712,76.45125,0
YYAI.US,D,20220720,000000,752,752,712.08,731.36,58.0025,0
YYAI.US,D,20220721,000000,723.92,747.2,704,737.36,255.22375,0
YYAI.US,D,20220722,000000,744,766.8,696,739.92,136.8075,0
YYAI.US,D,20220725,000000,769.68,769.68,700,720,26.12375,0
YYAI.US,D,20220726,000000,740,740,688.08,704,29.28125,0
YYAI.US,D,20220727,000000,704,720,624.08,714.8,58.0125,0
YYAI.US,D,20220728,000000,644.96,710,616,687.92,164.10875,0
YYAI.US,D,20220729,000000,624,760,624,720,347.10875,0
YYAI.US,D,20220801,000000,760,864,696,720.8,693.01125,0
YYAI.US,D,20220802,000000,760,1024,720.8,864,1888.30625,0
YYAI.US,D,20220803,000000,896,1552,888,1168,2847.6625,0
YYAI.US,D,20220804,000000,1048,1104,824,864,464.56125,0
YYAI.US,D,20220805,000000,840,1000,824,880,296.05,0
YYAI.US,D,20220808,000000,896,952,784,799.76,249.47,0
YYAI.US,D,20220809,000000,799.2,845.84,712,736.16,137.58875,0
YYAI.US,D,20220810,000000,717.84,764,717.84,732,66.92125,0
YYAI.US,D,20220811,000000,744,744,688,704.64,77.575,0
YYAI.US,D,20220812,000000,718.8,760.64,708,744.8,65.2625,0
YYAI.US,D,20220815,000000,744.8,759.76,718.962,758,20.81375,0
YYAI.US,D,20220816,000000,751.92,784,700.8,783.92,106.375,0
YYAI.US,D,20220817,000000,775.84,783.84,728,752,37.35625,0
