<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YYGH.US,D,20240422,000000,3.88,4.7,2.58,2.9,990307,0
YYGH.US,D,20240423,000000,2.52,2.7,2.04,2.385,619885,0
YYGH.US,D,20240424,000000,2.22,2.5,2.07,2.26,167600,0
YYGH.US,D,20240425,000000,2.19,4.45,2.18,2.9,18748194,0
YYGH.US,D,20240426,000000,2.8,3.35,2.6,2.94,654927,0
YYGH.US,D,20240429,000000,2.8,2.9501,2.55,2.61,137495,0
YYGH.US,D,20240430,000000,2.63,2.7298,2.35,2.36,220161,0
YYGH.US,D,20240501,000000,2.25,2.5,2.13,2.36,483758,0
YYGH.US,D,20240502,000000,2.38,2.4456,2.13,2.22,263897,0
YYGH.US,D,20240503,000000,2.24,2.5,1.95,1.95,121877,0
YYGH.US,D,20240506,000000,1.99,2.2199,1.99,2.01,84686,0
YYGH.US,D,20240507,000000,2.01,2.14,1.81,1.87,107338,0
YYGH.US,D,20240508,000000,1.83,1.9363,1.82,1.86,40245,0
YYGH.US,D,20240509,000000,1.8845,1.89,1.54,1.65,93097,0
YYGH.US,D,20240510,000000,1.6,1.63,1.5103,1.54,80315,0
YYGH.US,D,20240513,000000,1.55,2.14,1.33,1.88,535142,0
YYGH.US,D,20240514,000000,2.04,2.04,1.55,1.58,554506,0
YYGH.US,D,20240515,000000,1.62,1.75,1.33,1.49,173261,0
YYGH.US,D,20240516,000000,1.45,1.62,1.39,1.49,102013,0
YYGH.US,D,20240517,000000,1.54,1.58,1.48,1.5,65744,0
YYGH.US,D,20240520,000000,1.5,1.8943,1.5,1.57,196780,0
YYGH.US,D,20240521,000000,1.56,1.7699,1.56,1.65,201927,0
YYGH.US,D,20240522,000000,1.67,1.67,1.45,1.48,116619,0
YYGH.US,D,20240523,000000,1.46,1.47,1.35,1.42,18407,0
YYGH.US,D,20240524,000000,1.45,1.5,1.35,1.43,42631,0
YYGH.US,D,20240528,000000,1.45,1.48,1.2029,1.27,62588,0
YYGH.US,D,20240529,000000,1.23,1.265,1.09,1.19,110921,0
YYGH.US,D,20240530,000000,1.2,1.38,1.1,1.12,142715,0
YYGH.US,D,20240531,000000,1.09,1.1897,1.08,1.15,44907,0
YYGH.US,D,20240603,000000,1.16,1.31,1.11,1.13,79110,0
YYGH.US,D,20240604,000000,1.13,1.2,1.0601,1.1,37720,0
YYGH.US,D,20240605,000000,1.14,1.14,0.9601,0.98,201835,0
YYGH.US,D,20240606,000000,1,1.08,0.9601,0.9615,68358,0
YYGH.US,D,20240607,000000,0.96,0.99,0.9145,0.96,85687,0
YYGH.US,D,20240610,000000,0.88,0.884,0.76,0.801,106797,0
YYGH.US,D,20240611,000000,0.808,0.839302,0.801,0.831,6610,0
YYGH.US,D,20240612,000000,0.806,0.88,0.801,0.8799,64873,0
YYGH.US,D,20240613,000000,0.8999,1.3,0.87,1.15,1883347,0
YYGH.US,D,20240614,000000,1.05,1.09,0.9149,0.9355,242854,0
YYGH.US,D,20240617,000000,0.88,0.99,0.85,0.86,40015,0
YYGH.US,D,20240618,000000,0.8399,0.87,0.8102,0.8102,40588,0
YYGH.US,D,20240620,000000,0.806,0.84,0.8051,0.82,12453,0
YYGH.US,D,20240621,000000,0.8201,0.895,0.82,0.85,26248,0
YYGH.US,D,20240624,000000,0.8305,0.97,0.82,0.8878,16998,0
YYGH.US,D,20240625,000000,0.888,0.94,0.83,0.88,7844,0
YYGH.US,D,20240626,000000,0.88,1,0.821,0.89,34742,0
YYGH.US,D,20240627,000000,0.89,0.97,0.849941,0.92,15676,0
YYGH.US,D,20240628,000000,0.88,0.88,0.821,0.8222,18319,0
YYGH.US,D,20240701,000000,0.82,0.88,0.82,0.8302,9217,0
YYGH.US,D,20240702,000000,0.821,0.87,0.821,0.8303,2830,0
YYGH.US,D,20240703,000000,0.83,0.8699,0.83,0.83,3417,0
YYGH.US,D,20240705,000000,0.84,0.87,0.8,0.8,27767,0
YYGH.US,D,20240708,000000,0.77,0.8199,0.7505,0.761,6393,0
YYGH.US,D,20240709,000000,0.857,0.857,0.7664,0.8125,13552,0
YYGH.US,D,20240710,000000,0.81,0.8196,0.776144,0.8,8144,0
YYGH.US,D,20240711,000000,0.78,0.81,0.76,0.79,6516,0
YYGH.US,D,20240712,000000,0.78,0.78,0.78,0.78,472,0
YYGH.US,D,20240715,000000,0.78,0.7804,0.761,0.78,6353,0
YYGH.US,D,20240716,000000,0.79,0.8374,0.79,0.79,6455,0
YYGH.US,D,20240717,000000,0.79,0.8296,0.79,0.7942,8161,0
YYGH.US,D,20240718,000000,0.8479,0.87,0.73,0.7337,53216,0
YYGH.US,D,20240719,000000,0.7875,0.7875,0.7342,0.7342,17368,0
YYGH.US,D,20240722,000000,0.758,0.758,0.7311,0.7311,5369,0
YYGH.US,D,20240723,000000,0.72,0.78,0.715,0.7155,21023,0
YYGH.US,D,20240724,000000,0.7151,0.7511,0.715,0.715,4545,0
YYGH.US,D,20240725,000000,0.715,0.73,0.715,0.73,4597,0
YYGH.US,D,20240726,000000,0.7665,0.86,0.733,0.733,39099,0
YYGH.US,D,20240729,000000,0.75,0.819899,0.75,0.7504,3948,0
YYGH.US,D,20240730,000000,0.7504,0.8899,0.7504,0.8312,32435,0
YYGH.US,D,20240731,000000,0.84,1.05,0.82,1.04,167037,0
YYGH.US,D,20240801,000000,1.02,1.12,0.883,0.9,79848,0
YYGH.US,D,20240802,000000,0.9,0.9,0.802,0.802,22289,0
YYGH.US,D,20240805,000000,0.72,0.855,0.72,0.8,11026,0
YYGH.US,D,20240806,000000,0.8001,0.8631,0.8,0.8102,18120,0
YYGH.US,D,20240807,000000,0.8507,0.91,0.84,0.84,14025,0
YYGH.US,D,20240808,000000,0.8,0.855,0.8,0.8301,3357,0
YYGH.US,D,20240809,000000,0.8301,0.87,0.83,0.85,12252,0
YYGH.US,D,20240812,000000,0.87,0.99,0.87,0.87,39895,0
YYGH.US,D,20240813,000000,0.9054,0.9054,0.8403,0.8421,5067,0
YYGH.US,D,20240814,000000,0.845,0.845,0.845,0.845,1289,0
