<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
Z.US,D,20150803,000000,27.65,28.82,25.72,27.74,144677,0
Z.US,D,20150804,000000,27,27.03,24.61,25.8,129600,0
Z.US,D,20150805,000000,27.11,27.47,24.56,25.24,107600,0
Z.US,D,20150806,000000,24.81,26.95,22.99,26.95,73134,0
Z.US,D,20150807,000000,27.5,27.5,24.2,26.5,52200,0
Z.US,D,20150810,000000,25.76,26.5,25.46,26.14,51400,0
Z.US,D,20150811,000000,25.44,26.02,24.56,25.38,140951,0
Z.US,D,20150812,000000,25,26.21,25,25.99,172600,0
Z.US,D,20150813,000000,26,26.6,25.76,26.2,229500,0
Z.US,D,20150814,000000,26.13,26.21,24.66,25.19,103300,0
Z.US,D,20150817,000000,26.58,26.72,24.35,24.8,2091500,0
Z.US,D,20150818,000000,24.65,26.95,24.5,26.06,3141000,0
Z.US,D,20150819,000000,25.6,27.09,25.49,26.77,1750300,0
Z.US,D,20150820,000000,26.4,26.5,25.03,25.17,1584900,0
Z.US,D,20150821,000000,24.89,26.85,24.5,25.18,3243500,0
Z.US,D,20150824,000000,23.93,25.64,23,24.37,3408162,0
Z.US,D,20150825,000000,25.49,25.54,24.29,24.6,2027500,0
Z.US,D,20150826,000000,25.05,26.25,24.21,25,2088600,0
Z.US,D,20150827,000000,25.29,25.45,24.64,25.16,1641500,0
Z.US,D,20150828,000000,25.12,25.72,24.71,24.86,829200,0
Z.US,D,20150831,000000,24.66,24.92,24.24,24.66,1157500,0
Z.US,D,20150901,000000,24.05,24.89,24.01,24.43,915200,0
Z.US,D,20150902,000000,24.83,26.2,24.83,25.32,1687700,0
Z.US,D,20150903,000000,25.26,25.73,24.63,25.51,903500,0
Z.US,D,20150904,000000,25.17,25.49,24.84,25.07,733000,0
Z.US,D,20150908,000000,25.48,25.85,25.23,25.24,713200,0
Z.US,D,20150909,000000,25.49,26.1,24.87,25.07,1404600,0
Z.US,D,20150910,000000,24.98,26.06,24.9,25.45,1083873,0
Z.US,D,20150911,000000,25.33,26,24.7,25.87,1554500,0
Z.US,D,20150914,000000,25.9,26.5,25.75,26.12,602500,0
Z.US,D,20150915,000000,26.33,27.79,26.12,27.65,1745900,0
Z.US,D,20150916,000000,27.62,27.95,27.35,27.45,1229900,0
Z.US,D,20150917,000000,27.61,28.06,27.27,27.91,1120100,0
Z.US,D,20150918,000000,27.5,28.54,26.76,28.07,2974000,0
Z.US,D,20150921,000000,28.15,28.35,27.27,27.36,1084000,0
Z.US,D,20150922,000000,27.08,27.67,26.88,27.26,1014400,0
Z.US,D,20150923,000000,27.35,27.61,27,27.49,490100,0
Z.US,D,20150924,000000,27.41,27.51,27.05,27.26,677987,0
Z.US,D,20150925,000000,27.58,28.51,27.57,27.9,1277500,0
Z.US,D,20150928,000000,27.63,28.335,26.79,27.58,1530623,0
Z.US,D,20150929,000000,27.56,28.01,27.18,27.5,986900,0
Z.US,D,20150930,000000,27.7,27.87,26.53,27,1524800,0
Z.US,D,20151001,000000,27.03,27.12,25.67,26.11,1632800,0
Z.US,D,20151002,000000,25.84,26.9,25.7,26.56,1115100,0
Z.US,D,20151005,000000,26.55,27.47,26.42,27.12,515623,0
Z.US,D,20151006,000000,26.89,28.96,26.89,28.55,1142700,0
Z.US,D,20151007,000000,28.72,30.13,28.12,29.99,976700,0
Z.US,D,20151008,000000,29.78,31.75,29.66,31.6,2383400,0
Z.US,D,20151009,000000,31.61,33.52,31.51,33.45,2462900,0
Z.US,D,20151012,000000,33.37,33.62,31.11,32,1386735,0
Z.US,D,20151013,000000,31.54,32.97,31.36,31.65,1065900,0
Z.US,D,20151014,000000,31.75,32.35,31.38,31.87,790000,0
