<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZBAI.US,D,20190503,000000,450,459,384.75,445.5,958.5000007668,0
ZBAI.US,D,20190506,000000,450,450,350.1,423,217.222222396,0
ZBAI.US,D,20190507,000000,409.05,409.05,396,396,101.3333334144,0
ZBAI.US,D,20190508,000000,393.3,407.7,373.5,407.7,28.3888889116,0
ZBAI.US,D,20190509,000000,409.284,409.482,368.586,405,88.4444445152,0
ZBAI.US,D,20190510,000000,405,408.6,375.3,401.4,34.72222225,0
ZBAI.US,D,20190513,000000,409.5,409.5,393.984,394.2,57.500000046000004,0
ZBAI.US,D,20190514,000000,392.4,395.1,382.5,387,33.4444444712,0
ZBAI.US,D,20190515,000000,371.7,384.3,351,384.3,17.777777792000002,0
ZBAI.US,D,20190516,000000,399.6,399.6,387,389.466,29.1111111344,0
ZBAI.US,D,20190517,000000,399.6,399.6,378,396,49.722222262,0
ZBAI.US,D,20190520,000000,396,396,353.664,387,69.2777778332,0
ZBAI.US,D,20190521,000000,378,386.982,360,360,30.3333333576,0
ZBAI.US,D,20190522,000000,366.894,384.246,337.5,367.2,127.72222232440001,0
ZBAI.US,D,20190523,000000,364.5,364.5,328.5,357.3,33.7222222492,0
ZBAI.US,D,20190524,000000,334.8,360,334.8,360,45.3333333696,0
ZBAI.US,D,20190528,000000,340.2,359.982,308.43,358.38,53.6666667096,0
ZBAI.US,D,20190529,000000,365.4,365.4,316.8,351,61.8888889384,0
ZBAI.US,D,20190530,000000,324.9,381.6,324.9,380.7,58.888888936,0
ZBAI.US,D,20190531,000000,367.344,367.344,329.49,359.1,49.5555555952,0
ZBAI.US,D,20190603,000000,360,360,324,342,187.0555557052,0
ZBAI.US,D,20190604,000000,351,351,315,324,179.6666668104,0
ZBAI.US,D,20190605,000000,324,339.3,323.1,328.5,189.7777779296,0
ZBAI.US,D,20190606,000000,333,359.964,327.6,350.55,206.7777779432,0
ZBAI.US,D,20190607,000000,315.9,358.416,310.5,333.9,169.6111112468,0
ZBAI.US,D,20190610,000000,333,342,306.9,333.252,187.0555557052,0
ZBAI.US,D,20190611,000000,326.7,336.6,293.4,304.2,229.2222224056,0
ZBAI.US,D,20190612,000000,305.1,334.8,301.5,313.2,223.7777779568,0
ZBAI.US,D,20190613,000000,333,333,293.4,311.4,231.7777779632,0
ZBAI.US,D,20190614,000000,311.22,324.684,306.9,315,199.6666668264,0
ZBAI.US,D,20190617,000000,306.954,314.1,297,297.9,194.2777779332,0
ZBAI.US,D,20190618,000000,301.5,313.488,297,313.488,247.9444446428,0
ZBAI.US,D,20190619,000000,301.41,330.768,299.7,315.9,396.5555558728,0
ZBAI.US,D,20190620,000000,300.6,315,289.8,305.622,241.2222224152,0
ZBAI.US,D,20190621,000000,305.1,305.1,301.5,303.3,256.666666872,0
ZBAI.US,D,20190624,000000,304.2,320.4,300.6,314.1,523.61111153,0
ZBAI.US,D,20190625,000000,305.1,315,284.706,307.8,626.2777782788,0
ZBAI.US,D,20190626,000000,298.8,313.2,288.9,310.464,460.55555592400003,0
ZBAI.US,D,20190627,000000,302.4,311.796,297.9,301.5,417.2777781116,0
ZBAI.US,D,20190628,000000,298.8,311.4,295.65,302.706,646.111111628,0
ZBAI.US,D,20190701,000000,288.9,313.164,288,292.5,483.2777781644,0
ZBAI.US,D,20190702,000000,293.4,311.4,278.856,286.2,546.0555559924001,0
ZBAI.US,D,20190703,000000,284.922,301.5,270,279,338.055555826,0
ZBAI.US,D,20190705,000000,223.2,305.964,223.2,263.7,314.9444446964,0
ZBAI.US,D,20190708,000000,261,311.4,248.4,275.4,454.444444808,0
ZBAI.US,D,20190709,000000,286.2,297,250.56,277.38,432.00000034560003,0
ZBAI.US,D,20190710,000000,270,305.064,256.5,279,447.7222225804,0
ZBAI.US,D,20190711,000000,314.1,431.1,266.85,281.7,4285.1666700948,0
ZBAI.US,D,20190712,000000,279,297.9,252,271.8,432.2777781236,0
ZBAI.US,D,20190715,000000,274.5,299.664,247.5,268.2,576.4444449056,0
ZBAI.US,D,20190716,000000,281.7,299.7,261.036,274.5,700.833333894,0
ZBAI.US,D,20190717,000000,281.7,296.1,270,270,260.6666668752,0
ZBAI.US,D,20190718,000000,262.296,293.886,261,275.4,493.611111506,0
ZBAI.US,D,20190719,000000,292.5,303.3,270.9,281.7,684.72222277,0
ZBAI.US,D,20190722,000000,274.5,301.5,266.436,288.9,633.6666671736,0
ZBAI.US,D,20190723,000000,315,342,272.718,297,346.1666669436,0
ZBAI.US,D,20190724,000000,306,333,274.536,280.8,408.3888892156,0
ZBAI.US,D,20190725,000000,281.7,306.594,275.4,305.55,348.9444447236,0
ZBAI.US,D,20190726,000000,316.8,316.8,282.204,297.18,585.6111115796,0
ZBAI.US,D,20190729,000000,288,321.3,278.1,297,805.6111117556001,0
ZBAI.US,D,20190730,000000,298.8,321.3,283.5,311.724,591.6111115844,0
