<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZBRA.US,D,20050225,000000,50.19,50.41,49.49,50.07,545018,0
ZBRA.US,D,20050228,000000,50.19,50.43,49.87,49.87,753331,0
ZBRA.US,D,20050301,000000,49.87,51.13,49.87,50.72,583462,0
ZBRA.US,D,20050302,000000,50.5,51.2,50.11,50.57,604374,0
ZBRA.US,D,20050303,000000,50.71,51.18,50.39,50.92,350348,0
ZBRA.US,D,20050304,000000,50.99,51.66,50.97,51.1,456822,0
ZBRA.US,D,20050307,000000,51.26,51.6,50.89,51,376294,0
ZBRA.US,D,20050308,000000,51.2,51.77,50.81,50.95,349404,0
ZBRA.US,D,20050309,000000,50.76,50.81,50,50.49,249320,0
ZBRA.US,D,20050310,000000,50.25,50.95,49.9,50.36,358307,0
ZBRA.US,D,20050311,000000,50.6,51.2,49.46,49.89,326457,0
ZBRA.US,D,20050314,000000,49.89,50.28,49.37,49.6,211269,0
ZBRA.US,D,20050315,000000,49.5,50.05,48.73,48.87,367392,0
ZBRA.US,D,20050316,000000,48.57,49.38,47.33,47.48,529177,0
ZBRA.US,D,20050317,000000,47.79,48.05,47.51,47.85,522706,0
ZBRA.US,D,20050318,000000,48,48,46.74,47.08,599696,0
ZBRA.US,D,20050321,000000,47.01,47.57,46.65,47.08,290543,0
ZBRA.US,D,20050322,000000,46.58,47.1,46.19,46.19,684297,0
ZBRA.US,D,20050323,000000,45.93,46.12,45.38,45.62,904498,0
ZBRA.US,D,20050324,000000,45.77,46.36,45.21,45.76,669185,0
ZBRA.US,D,20050328,000000,45.57,46.19,44.53,44.94,731565,0
ZBRA.US,D,20050329,000000,44.62,46.07,44.54,44.76,889080,0
ZBRA.US,D,20050330,000000,45.21,47.03,45.2,46.98,544533,0
ZBRA.US,D,20050331,000000,46.88,48.1,46.88,47.49,528796,0
ZBRA.US,D,20050401,000000,47.65,48.44,47.1,47.82,662226,0
ZBRA.US,D,20050404,000000,47.27,48.03,47.27,47.88,284709,0
ZBRA.US,D,20050405,000000,47.59,48.31,47.55,47.94,376436,0
ZBRA.US,D,20050406,000000,48,48.5,47.49,47.75,372211,0
ZBRA.US,D,20050407,000000,47.1,47.84,46.9,47.45,403418,0
ZBRA.US,D,20050408,000000,47.53,47.66,46.34,46.59,528711,0
