<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZCAR.US,D,20220105,000000,19800,19800,19800,19800,5.001,0
ZCAR.US,D,20220106,000000,19800,19860,19800,19860,6.625,0
ZCAR.US,D,20220107,000000,19860,19860,19860,19860,1.199,0
ZCAR.US,D,20220110,000000,20000,20000,20000,20000,0.061,0
ZCAR.US,D,20220113,000000,20000,20000,19820,19840,6.420999999999999,0
ZCAR.US,D,20220114,000000,19860,19860,19820,19820,36.9135,0
ZCAR.US,D,20220118,000000,19820,19820,19800,19820,0.4005,0
ZCAR.US,D,20220119,000000,19800,19800,19800,19800,0.12450000000000001,0
ZCAR.US,D,20220121,000000,19820,19880,19800,19880,74.373,0
ZCAR.US,D,20220124,000000,19820,19870,19800,19800,30.04,0
ZCAR.US,D,20220125,000000,19820,20020,19800,20020,53.102000000000004,0
ZCAR.US,D,20220126,000000,19800,19800,19800,19800,15.671000000000001,0
ZCAR.US,D,20220127,000000,19780,19860,19780,19840,27.352999999999998,0
ZCAR.US,D,20220128,000000,19820,19840,19780,19840,22.177500000000002,0
ZCAR.US,D,20220131,000000,19800,19800,19800,19800,0.34950000000000003,0
ZCAR.US,D,20220201,000000,19880,19920,19880,19880,12.196,0
ZCAR.US,D,20220202,000000,19960,19960,19860,19860,6.431000000000001,0
ZCAR.US,D,20220203,000000,19860,19860,19860,19860,5.6145000000000005,0
ZCAR.US,D,20220209,000000,19840,19840,19840,19840,94.80000000000001,0
ZCAR.US,D,20220211,000000,19860,19880,19860,19880,4.8295,0
ZCAR.US,D,20220214,000000,19880,19880,19860,19880,25.348,0
ZCAR.US,D,20220215,000000,19880,19920,19880,19920,25.3,0
ZCAR.US,D,20220217,000000,19870,19900,19860,19860,107.707,0
ZCAR.US,D,20220218,000000,19880,19900,19880,19900,1.21,0
ZCAR.US,D,20220222,000000,19860,19860,19860,19860,50.1045,0
ZCAR.US,D,20220223,000000,19860,19860,19860,19860,113.9435,0
ZCAR.US,D,20220224,000000,19860,19880,19860,19860,67.181,0
ZCAR.US,D,20220225,000000,19840,19840,19840,19840,0.2,0
ZCAR.US,D,20220228,000000,19880,19880,19840,19860,8.697000000000001,0
ZCAR.US,D,20220301,000000,19880,19900,19860,19900,1.5785,0
ZCAR.US,D,20220303,000000,19900,19900,19860,19900,11.178,0
ZCAR.US,D,20220309,000000,19880,19900,19880,19880,2.248,0
ZCAR.US,D,20220316,000000,19900,19900,19900,19900,1.0410000000000001,0
ZCAR.US,D,20220317,000000,19920,19920,19920,19920,1.3050000000000002,0
ZCAR.US,D,20220321,000000,19900,19900,19880,19900,1.8125,0
ZCAR.US,D,20220322,000000,19940,19940,19900,19940,4.250500000000001,0
ZCAR.US,D,20220325,000000,19920,19960,19920,19960,52.958000000000006,0
ZCAR.US,D,20220329,000000,19960,19960,19960,19960,1.401,0
