<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZCARW.US,D,20220105,000000,0.489,0.489,0.489,0.489,500,0
ZCARW.US,D,20220106,000000,0.4399,0.489899,0.4202,0.489899,83201,0
ZCARW.US,D,20220107,000000,0.47,0.47,0.4395,0.4395,59510,0
ZCARW.US,D,20220110,000000,0.44,0.4499,0.4394,0.44,185581,0
ZCARW.US,D,20220111,000000,0.44,0.44,0.4296,0.4296,109324,0
ZCARW.US,D,20220112,000000,0.44,0.44,0.41,0.4249,171900,0
ZCARW.US,D,20220113,000000,0.42,0.4349,0.3702,0.3779,211775,0
ZCARW.US,D,20220114,000000,0.4,0.4,0.39,0.4,38700,0
ZCARW.US,D,20220119,000000,0.3901,0.3901,0.3901,0.3901,215,0
ZCARW.US,D,20220120,000000,0.39,0.39,0.389899,0.389899,253,0
ZCARW.US,D,20220121,000000,0.3774,0.3774,0.3693,0.3693,64980,0
ZCARW.US,D,20220124,000000,0.36,0.3684,0.36,0.3675,6525,0
ZCARW.US,D,20220125,000000,0.3672,0.4,0.35,0.3672,16548,0
ZCARW.US,D,20220126,000000,0.37,0.37,0.3671,0.3671,220,0
ZCARW.US,D,20220128,000000,0.3672,0.3678,0.343,0.343,12221,0
ZCARW.US,D,20220201,000000,0.339899,0.38,0.339899,0.35,160511,0
ZCARW.US,D,20220202,000000,0.3501,0.3502,0.35,0.35,7360,0
ZCARW.US,D,20220207,000000,0.3499,0.39,0.3499,0.39,6659,0
ZCARW.US,D,20220214,000000,0.3501,0.3575,0.3302,0.3415,20215,0
ZCARW.US,D,20220215,000000,0.3599,0.3599,0.3599,0.3599,1510,0
ZCARW.US,D,20220216,000000,0.350101,0.350101,0.35,0.35,600,0
ZCARW.US,D,20220217,000000,0.3401,0.3401,0.34,0.3401,5000,0
ZCARW.US,D,20220222,000000,0.34,0.34,0.34,0.34,144,0
ZCARW.US,D,20220223,000000,0.33,0.33,0.33,0.33,1131,0
ZCARW.US,D,20220225,000000,0.3201,0.3201,0.3,0.3,52468,0
ZCARW.US,D,20220228,000000,0.3,0.3,0.28,0.28,27940,0
ZCARW.US,D,20220301,000000,0.1801,0.1801,0.1801,0.1801,251,0
ZCARW.US,D,20220302,000000,0.1801,0.2,0.18,0.2,17078,0
ZCARW.US,D,20220303,000000,0.19,0.1975,0.1701,0.1975,6950,0
ZCARW.US,D,20220304,000000,0.1702,0.1702,0.1702,0.1702,14486,0
ZCARW.US,D,20220307,000000,0.18,0.18,0.1701,0.1701,209793,0
ZCARW.US,D,20220308,000000,0.18,0.1801,0.18,0.1801,2316,0
ZCARW.US,D,20220309,000000,0.1801,0.1801,0.18,0.18,2136,0
ZCARW.US,D,20220316,000000,0.1801,0.1801,0.1801,0.1801,1086,0
ZCARW.US,D,20220321,000000,0.2199,0.2199,0.17,0.17,8839,0
ZCARW.US,D,20220324,000000,0.2199,0.2199,0.1949,0.2198,7940,0
ZCARW.US,D,20220330,000000,0.2008,0.2008,0.19,0.19,1208,0
ZCARW.US,D,20220331,000000,0.19,0.2279,0.19,0.2279,1337,0
ZCARW.US,D,20220407,000000,0.190101,0.203506,0.1901,0.203506,634,0
ZCARW.US,D,20220408,000000,0.1903,0.1903,0.1903,0.1903,706,0
ZCARW.US,D,20220411,000000,0.1902,0.2,0.1893,0.1902,9096,0
ZCARW.US,D,20220412,000000,0.19,0.2,0.18,0.18,200589,0
ZCARW.US,D,20220414,000000,0.2153,0.2153,0.2153,0.2153,110,0
ZCARW.US,D,20220418,000000,0.2357,0.25,0.2139,0.2139,34561,0
ZCARW.US,D,20220422,000000,0.2101,0.2101,0.2101,0.2101,360,0
ZCARW.US,D,20220427,000000,0.1901,0.1901,0.1901,0.1901,1986,0
ZCARW.US,D,20220428,000000,0.1901,0.1901,0.1901,0.1901,479,0
ZCARW.US,D,20220429,000000,0.22,0.22,0.19,0.19,102670,0
ZCARW.US,D,20220502,000000,0.1901,0.1901,0.1901,0.1901,2550,0
ZCARW.US,D,20220503,000000,0.19,0.19,0.19,0.19,4789,0
ZCARW.US,D,20220504,000000,0.19,0.19,0.19,0.19,22699,0
ZCARW.US,D,20220505,000000,0.1518,0.184,0.1518,0.1803,3241,0
ZCARW.US,D,20220511,000000,0.2324,0.2324,0.2323,0.2323,330,0
ZCARW.US,D,20220512,000000,0.0905,0.0905,0.0905,0.0905,103,0
ZCARW.US,D,20220513,000000,0.1546,0.1546,0.1546,0.1546,100,0
ZCARW.US,D,20220516,000000,0.1233,0.1573,0.1233,0.1252,2005,0
ZCARW.US,D,20220517,000000,0.1301,0.1301,0.1262,0.1262,27950,0
ZCARW.US,D,20220518,000000,0.1301,0.1301,0.12,0.13,3600,0
ZCARW.US,D,20220519,000000,0.1999,0.1999,0.1217,0.147,1400,0
ZCARW.US,D,20220520,000000,0.1927,0.1927,0.1602,0.166,1205,0
ZCARW.US,D,20220523,000000,0.13,0.13,0.13,0.13,475,0
ZCARW.US,D,20220526,000000,0.14,0.14,0.14,0.14,158006,0
ZCARW.US,D,20220527,000000,0.1301,0.1301,0.1301,0.1301,230,0
ZCARW.US,D,20220601,000000,0.26,0.26,0.2599,0.2599,1398,0
ZCARW.US,D,20220603,000000,0.1582,0.1583,0.107,0.1141,1500,0
ZCARW.US,D,20220606,000000,0.11,0.1217,0.1099,0.1212,5457,0
ZCARW.US,D,20220607,000000,0.1033,0.1033,0.1033,0.1033,210,0
ZCARW.US,D,20220608,000000,0.0936,0.0936,0.0936,0.0936,100,0
ZCARW.US,D,20220609,000000,0.0948,0.0948,0.0948,0.0948,100,0
ZCARW.US,D,20220610,000000,0.0987,0.0987,0.0987,0.0987,100,0
ZCARW.US,D,20220613,000000,0.094,0.094,0.094,0.094,100,0
ZCARW.US,D,20220614,000000,0.0851,0.0851,0.0851,0.0851,377,0
ZCARW.US,D,20220622,000000,0.0851,0.0851,0.0851,0.0851,495,0
ZCARW.US,D,20220623,000000,0.0851,0.0851,0.0851,0.0851,2000,0
ZCARW.US,D,20220627,000000,0.089001,0.089001,0.08,0.08,747,0
ZCARW.US,D,20220630,000000,0.08395,0.08395,0.0751,0.0751,2940,0
ZCARW.US,D,20220706,000000,0.0751,0.0751,0.0751,0.0751,300,0
ZCARW.US,D,20220712,000000,0.0751,0.0751,0.0751,0.0751,3679,0
ZCARW.US,D,20220715,000000,0.079851,0.079851,0.079851,0.079851,340,0
ZCARW.US,D,20220729,000000,0.075,0.075,0.0705,0.0705,25564,0
ZCARW.US,D,20220801,000000,0.0747,0.0747,0.0676,0.0676,388,0
ZCARW.US,D,20220803,000000,0.0676,0.0676,0.0676,0.0676,1702,0
ZCARW.US,D,20220810,000000,0.0675,0.0675,0.0675,0.0675,25016,0
ZCARW.US,D,20220812,000000,0.0699,0.075,0.0699,0.075,144582,0
ZCARW.US,D,20220817,000000,0.07,0.07,0.07,0.07,13345,0
ZCARW.US,D,20220818,000000,0.0626,0.0626,0.0625,0.0626,17544,0
ZCARW.US,D,20220826,000000,0.0625,0.0625,0.0625,0.0625,11724,0
ZCARW.US,D,20220901,000000,0.0501,0.0501,0.05,0.0501,76427,0
ZCARW.US,D,20220913,000000,0.05,0.05,0.05,0.05,1080,0
ZCARW.US,D,20220922,000000,0.01,0.0167,0.01,0.0167,2214,0
ZCARW.US,D,20220926,000000,0.02,0.0201,0.02,0.0201,3985,0
ZCARW.US,D,20220927,000000,0.033099,0.033099,0.033099,0.033099,1000,0
ZCARW.US,D,20220929,000000,0.0201,0.1,0.0201,0.0275,85806,0
ZCARW.US,D,20221003,000000,0.015,0.015,0.015,0.015,962,0
ZCARW.US,D,20221004,000000,0.02,0.0201,0.0184,0.0201,100348,0
ZCARW.US,D,20221005,000000,0.0263,0.04,0.0263,0.04,1420,0
ZCARW.US,D,20221006,000000,0.0333,0.0333,0.0333,0.0333,130,0
ZCARW.US,D,20221010,000000,0.020001,0.020001,0.020001,0.020001,130,0
ZCARW.US,D,20221012,000000,0.04,0.04,0.04,0.04,14700,0
ZCARW.US,D,20221013,000000,0.0811,0.09,0.075,0.08,291272,0
ZCARW.US,D,20221014,000000,0.11,0.15,0.1,0.1153,396179,0
ZCARW.US,D,20221017,000000,0.12,0.129,0.115,0.12,63758,0
ZCARW.US,D,20221018,000000,0.125,0.125,0.1,0.1,33033,0
ZCARW.US,D,20221019,000000,0.1,0.128,0.1,0.128,1727,0
ZCARW.US,D,20221020,000000,0.1,0.11,0.0874,0.0874,73897,0
ZCARW.US,D,20221021,000000,0.089,0.089,0.07,0.0889,19821,0
ZCARW.US,D,20221024,000000,0.08,0.08,0.08,0.08,1064,0
ZCARW.US,D,20221025,000000,0.051,0.08,0.051,0.08,1292,0
ZCARW.US,D,20221026,000000,0.06,0.06,0.0599,0.06,27011,0
ZCARW.US,D,20221028,000000,0.051,0.051,0.05,0.05,25000,0
ZCARW.US,D,20221101,000000,0.0551,0.08,0.0551,0.08,37812,0
