<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZCMD.US,D,20200224,000000,43.4,49.8,35.301,40,62330,0
ZCMD.US,D,20200225,000000,38,43,38,40.3,23395.5,0
ZCMD.US,D,20200226,000000,41.7,44.9,38.201,41.3,78380.9,0
ZCMD.US,D,20200227,000000,41.3,41.543,38.1,39,32581.4,0
ZCMD.US,D,20200228,000000,39.275,40,35.5,39.1,18851.2,0
ZCMD.US,D,20200302,000000,40,40,35.8,36,8293.1,0
ZCMD.US,D,20200303,000000,36.1,38.895,34.5,34.8,3765.5,0
ZCMD.US,D,20200304,000000,35.2,36.9,31.3,35,10745.9,0
ZCMD.US,D,20200305,000000,34.9,34.9,32,32.1,4066,0
ZCMD.US,D,20200306,000000,31.1,33.475,26.25,29.1,11146.2,0
ZCMD.US,D,20200309,000000,26.7,31,18.7,22.7,18390.8,0
ZCMD.US,D,20200310,000000,26,27.525,20.3,23.2,5959,0
ZCMD.US,D,20200311,000000,24.2,25.45,21.5,23.3,8593.3,0
ZCMD.US,D,20200312,000000,21.4,35,21,23.61,2516.2,0
ZCMD.US,D,20200313,000000,24,27.2,21.5,23.5,5460.9,0
ZCMD.US,D,20200316,000000,19.3,23.4,19,23.3,1022.5,0
ZCMD.US,D,20200317,000000,21.483,24.7,21,24.6,2621.3,0
ZCMD.US,D,20200318,000000,26.35,26.5,21.001,22,1809.4,0
ZCMD.US,D,20200319,000000,21.7,23.5,21.4,22.799,1461,0
ZCMD.US,D,20200320,000000,22.8,22.8,20,20.9,4045.9,0
ZCMD.US,D,20200323,000000,22.7,31,21.2,23.7,34831.6,0
ZCMD.US,D,20200324,000000,22.4,24.459,22.114,22.2,3019.1,0
ZCMD.US,D,20200325,000000,21.9,24.5,21.585,24.2,3812,0
ZCMD.US,D,20200326,000000,24.2,24.9,22.7,23.998,2040.5,0
ZCMD.US,D,20200327,000000,24,24.7,23.5,24.116,1272.7,0
ZCMD.US,D,20200330,000000,24.4,25.651,22.6,22.8,1556.1,0
ZCMD.US,D,20200331,000000,25.8,25.8,23.398,24.5,271.4,0
ZCMD.US,D,20200401,000000,26.475,26.475,22.1,22.1,5415.7,0
ZCMD.US,D,20200402,000000,23.3,23.799,22.049,23.5,1765.5,0
ZCMD.US,D,20200403,000000,24.191,24.191,22.501,23.8,2045.2,0
ZCMD.US,D,20200406,000000,24.4,25,22.5,24,2518.1,0
ZCMD.US,D,20200407,000000,23.35,25.4,21,23.5,2204.4,0
ZCMD.US,D,20200408,000000,23.317,24.2,22.5,23.8,1770.4,0
ZCMD.US,D,20200409,000000,22.5,24.7,21.825,24,596.5,0
ZCMD.US,D,20200413,000000,24.8,24.8,22.1,23.8,1743.3,0
ZCMD.US,D,20200414,000000,24.2,24.5,22.2,23.1,1276.3,0
ZCMD.US,D,20200415,000000,23.998,24,22.898,24,2199.6,0
ZCMD.US,D,20200416,000000,24,24,22.901,23.4,1163.8,0
ZCMD.US,D,20200417,000000,23.9,23.998,22.9,23.6,2586.5,0
ZCMD.US,D,20200420,000000,23.66,23.8,23.006,23.8,884.2,0
ZCMD.US,D,20200421,000000,23.8,23.8,22.561,23,1079.1,0
ZCMD.US,D,20200422,000000,23.8,24,22.5,23,1172.7,0
ZCMD.US,D,20200423,000000,24,24,22.8,23.683,1243,0
ZCMD.US,D,20200424,000000,23.9,24.498,23,24.2,1509.1,0
ZCMD.US,D,20200427,000000,24.5,26,22.7,23,6311.7,0
ZCMD.US,D,20200428,000000,22.8,24.5,22.5,24,3638.1,0
ZCMD.US,D,20200429,000000,23.742,24,21.5,22.339,3176.8,0
ZCMD.US,D,20200430,000000,23.7,23.7,20.895,22.4,2447.7,0
ZCMD.US,D,20200501,000000,22.7,22.7,20.814,22.5,2595.8,0
ZCMD.US,D,20200504,000000,22.5,23,20.6,21.9,1314.4,0
ZCMD.US,D,20200505,000000,21,22.799,20.497,21,1860.6,0
ZCMD.US,D,20200506,000000,21.85,21.85,20.5,20.9,511.8,0
ZCMD.US,D,20200507,000000,20.3,21.7,20,20.55,1390.8,0
ZCMD.US,D,20200508,000000,20.544,22,19.7,20.6,4632.9,0
ZCMD.US,D,20200511,000000,21.498,21.5,19.9,20.8,1004,0
ZCMD.US,D,20200512,000000,20.498,21.1,18,20.25,1482.8,0
ZCMD.US,D,20200513,000000,20.1,22,19.926,20.75,2177,0
ZCMD.US,D,20200514,000000,21.05,21.05,18.3,20.7,4724.2,0
ZCMD.US,D,20200515,000000,20.598,20.598,19.9,20.1,3118.6,0
ZCMD.US,D,20200518,000000,19.2,19.8,18,18.5,1679.1,0
ZCMD.US,D,20200519,000000,18,21,16.3,20,2585.5,0
ZCMD.US,D,20200520,000000,20.152,21.5,18.7,19.1,5080.4,0
ZCMD.US,D,20200521,000000,20.8,20.8,18.5,18.7,883.5,0
ZCMD.US,D,20200522,000000,20.2,20.2,19,19.5,2435.6,0
ZCMD.US,D,20200526,000000,20.4,20.4,18.1,18.3,2636.6,0
ZCMD.US,D,20200527,000000,18.5,18.7,17.1,17.9,1792.1,0
ZCMD.US,D,20200528,000000,17.6,18.8,17.5,18.6,5200.3,0
ZCMD.US,D,20200529,000000,18.7,21,17.834,21,4113.8,0
ZCMD.US,D,20200601,000000,19,22,19,21.9,3939.2,0
ZCMD.US,D,20200602,000000,21.6,22,20.823,22,2915.2,0
ZCMD.US,D,20200603,000000,22,23.9,22,23.75,4290.1,0
ZCMD.US,D,20200604,000000,24,24,23.7,23.9,1591.6,0
ZCMD.US,D,20200605,000000,23.9,24.5,23.9,24.3,1263.4,0
ZCMD.US,D,20200608,000000,26.6,28.9,23.1,26.5,9674.4,0
ZCMD.US,D,20200609,000000,26.7,28.8,23,23.9,5075.7,0
ZCMD.US,D,20200610,000000,24.8,25.4,22.7,24.3,3487.3,0
ZCMD.US,D,20200611,000000,24.2,27.7,20.7,22,13768,0
ZCMD.US,D,20200612,000000,24,24.499,22.35,22.4,2359.7,0
ZCMD.US,D,20200615,000000,22.4,23.2,22.1,22.1,4102,0
ZCMD.US,D,20200616,000000,22.1,23.4,21.6,21.9,2878.6,0
ZCMD.US,D,20200617,000000,22.5,22.5,21.7,21.8,1361.5,0
ZCMD.US,D,20200618,000000,22.25,22.4,21.6,21.8,1036.8,0
ZCMD.US,D,20200619,000000,22.2,22.2,21.8,21.8,1111.5,0
ZCMD.US,D,20200622,000000,22.5,25,21.8,22.2,14530.1,0
ZCMD.US,D,20200623,000000,22.8,22.9,22.4,22.9,1167.1,0
ZCMD.US,D,20200624,000000,23.25,23.25,22,22,1645.2,0
ZCMD.US,D,20200625,000000,22.7,22.7,22,22.4,1441.2,0
ZCMD.US,D,20200626,000000,22.8,22.8,21.9,21.9,902.3,0
ZCMD.US,D,20200629,000000,22.4,22.8,20.2,21.6,2825.5,0
ZCMD.US,D,20200630,000000,21.9,22.3,21.1,21.8,1789.6,0
ZCMD.US,D,20200701,000000,21.8,24.196,21.4,21.9,709.1,0
ZCMD.US,D,20200702,000000,22.6,22.6,21.2,21.6,620.1,0
ZCMD.US,D,20200706,000000,22.9,24,21.81,22.8,1334.4,0
ZCMD.US,D,20200707,000000,23.4,23.799,22.7,22.8,812.7,0
ZCMD.US,D,20200708,000000,23.7,23.7,21.8,22.8,828.8,0
ZCMD.US,D,20200709,000000,22.7,23,22.4,22.7,2390,0
ZCMD.US,D,20200710,000000,23.5,23.9,22.2,23.4,1788.6,0
ZCMD.US,D,20200713,000000,23.9,27.6,23.2,24.25,13555.1,0
ZCMD.US,D,20200714,000000,24.3,25.2,23,24.6,5018,0
ZCMD.US,D,20200715,000000,25.7,25.9,24.7,25.1,13929,0
ZCMD.US,D,20200716,000000,25.999,25.999,25,25.2,3676.5,0
ZCMD.US,D,20200717,000000,26,26,24,25,5017.2,0
ZCMD.US,D,20200720,000000,24.9,25.7,24.9,25.5,3761.8,0
ZCMD.US,D,20200721,000000,25.998,26,24.3,25,4987,0
ZCMD.US,D,20200722,000000,25,25.9,25,25.4,2657.7,0
ZCMD.US,D,20200723,000000,25.5,26.9,25.5,25.5,4868,0
ZCMD.US,D,20200724,000000,25.5,25.75,25,25,1579.5,0
ZCMD.US,D,20200727,000000,25.7,25.7,24.8,24.8,3721.8,0
ZCMD.US,D,20200728,000000,24.7,25.25,22.9,23.4,1153.4,0
ZCMD.US,D,20200729,000000,24.1,25.2,22.6,23.32,1389.7,0
ZCMD.US,D,20200730,000000,24.2,24.85,23.2,23.2,594.2,0
ZCMD.US,D,20200731,000000,25.2,25.2,23.5,24.1,851.8,0
ZCMD.US,D,20200803,000000,24.798,24.798,23.5,24,1024.9,0
ZCMD.US,D,20200804,000000,29.8,52.5,26.2,28.5,1740030.3,0
ZCMD.US,D,20200805,000000,27.2,27.9,23.3,24.4,66328.9,0
ZCMD.US,D,20200806,000000,25,25.5,22.5,24.3,39801.2,0
ZCMD.US,D,20200807,000000,23.9,24.8,23,23.4,18167.1,0
ZCMD.US,D,20200810,000000,22.9,24.7,22.7,23.1,29169.3,0
ZCMD.US,D,20200811,000000,23.9,23.9,22.402,22.6,10541.7,0
ZCMD.US,D,20200812,000000,22.7,23.4,21,21.6,24002.6,0
ZCMD.US,D,20200813,000000,21.2,22.1,21,21.8,13468.3,0
ZCMD.US,D,20200814,000000,21.4,22.3,21.1,22.2,7872,0
ZCMD.US,D,20200817,000000,22.6,23,20.8,21.1,11601.2,0
ZCMD.US,D,20200818,000000,20.8,22.1,20.8,21.7,5832.1,0
ZCMD.US,D,20200819,000000,21.3,22.2,21.2,21.8,4415.1,0
ZCMD.US,D,20200820,000000,21,22.4,21,22.4,2710.4,0
ZCMD.US,D,20200821,000000,22.1,22.9,21.3,21.95,5540.5,0
ZCMD.US,D,20200824,000000,22.85,22.85,21,21.8,12195.8,0
ZCMD.US,D,20200825,000000,21.7,22.3,20.8,22.199,4302.1,0
ZCMD.US,D,20200826,000000,21.9,21.999,21.2,21.5,6830.6,0
ZCMD.US,D,20200827,000000,21.4,22,20.1,21.1,3972.1,0
ZCMD.US,D,20200828,000000,21.8,21.8,20.3,20.8,5473.6,0
ZCMD.US,D,20200831,000000,21.5,21.5,20,20.3,5333.5,0
ZCMD.US,D,20200901,000000,20,20.9,18.5,19.3,13989.2,0
ZCMD.US,D,20200902,000000,19,19.8,18.2,18.7,4047.4,0
ZCMD.US,D,20200903,000000,19.4,19.4,18,18.2,3618.5,0
ZCMD.US,D,20200904,000000,18.2,19.3,15.9,17.2,5932.3,0
ZCMD.US,D,20200908,000000,16.7,17.6,16.7,17.1,1438.5,0
ZCMD.US,D,20200909,000000,18.7,18.7,17.1,17.5,3869.4,0
ZCMD.US,D,20200910,000000,18.3,18.3,17,17.335,1295.5,0
ZCMD.US,D,20200911,000000,17.3,18.5,17.3,17.4,1821.4,0
ZCMD.US,D,20200914,000000,17.3,17.9,16.5,17.8,2640.6,0
ZCMD.US,D,20200915,000000,18.996,18.996,16.601,17.7,939.1,0
ZCMD.US,D,20200916,000000,18.1,18.2,17.4,18.199,395.7,0
ZCMD.US,D,20200917,000000,16.5,18,16.5,17.75,4950.6,0
ZCMD.US,D,20200918,000000,17.5,18.5,16.9,17.6,1214.4,0
ZCMD.US,D,20200921,000000,18.7,18.7,17.15,17.4,1264.2,0
ZCMD.US,D,20200922,000000,17.9,17.9,17.1,17.7,1329.3,0
ZCMD.US,D,20200923,000000,18.3,18.3,16.6,17.5,781.1,0
ZCMD.US,D,20200924,000000,17.5,17.7,16.1,17.7,1031.9,0
ZCMD.US,D,20200925,000000,17.8,17.8,17.2,17.5,775.4,0
ZCMD.US,D,20200928,000000,18.3,18.3,16.8,17.4,701,0
ZCMD.US,D,20200929,000000,17.4,17.4,16.9,17.4,244.3,0
ZCMD.US,D,20200930,000000,18.4,18.4,16.8,17.243,988.5,0
ZCMD.US,D,20201001,000000,18.4,18.4,16.8,17.15,1259.8,0
ZCMD.US,D,20201002,000000,17,17,16.7,17,1534.1,0
ZCMD.US,D,20201005,000000,16.6,17.4,16.6,17,494.7,0
ZCMD.US,D,20201006,000000,17.9,17.9,16.7,17.3,478.5,0
ZCMD.US,D,20201007,000000,17.3,17.4,16.8,17.2,201.2,0
ZCMD.US,D,20201008,000000,17.9,20.4,16.8,18.2,3543.4,0
ZCMD.US,D,20201009,000000,17.742,18,16.701,17.399,3197.9,0
ZCMD.US,D,20201012,000000,18,18.2,17.203,17.3,1765.5,0
ZCMD.US,D,20201013,000000,17.8,17.8,17.1,17.1,439.6,0
