<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZD.US,D,20050225,000000,13.5,13.75,13.5,13.651,1008121,0
ZD.US,D,20050228,000000,13.667,14.01,13.568,13.967,1525139,0
ZD.US,D,20050301,000000,13.995,14.301,13.931,14.281,1761914,0
ZD.US,D,20050302,000000,14.294,14.462,14.099,14.164,1290716,0
ZD.US,D,20050303,000000,14.274,14.614,14.214,14.551,2147658,0
ZD.US,D,20050304,000000,14.763,14.994,14.665,14.93,2109189,0
ZD.US,D,20050307,000000,14.93,15.367,14.909,15.169,2898351,0
ZD.US,D,20050308,000000,15.161,15.213,14.774,14.917,1706394,0
ZD.US,D,20050309,000000,14.864,15.002,14.331,14.411,2580671,0
ZD.US,D,20050310,000000,14.47,14.857,14.294,14.659,1704709,0
ZD.US,D,20050311,000000,14.689,15.091,14.689,14.943,1571930,0
ZD.US,D,20050314,000000,14.994,14.994,14.637,14.748,1687262,0
ZD.US,D,20050315,000000,14.726,14.893,14.42,14.462,1591854,0
ZD.US,D,20050316,000000,14.435,14.58,14.266,14.383,1354413,0
ZD.US,D,20050317,000000,14.447,14.629,14.345,14.587,621998,0
ZD.US,D,20050318,000000,14.614,14.704,14.317,14.411,1778051,0
ZD.US,D,20050321,000000,14.397,14.812,14.325,14.734,1882016,0
ZD.US,D,20050322,000000,14.763,14.943,14.659,14.748,1172849,0
ZD.US,D,20050323,000000,14.681,14.909,14.543,14.645,992227,0
ZD.US,D,20050324,000000,14.681,14.864,14.529,14.543,1077806,0
ZD.US,D,20050328,000000,14.506,14.857,14.483,14.665,1620046,0
ZD.US,D,20050329,000000,14.629,15.097,11.526,12.238,32478979,0
ZD.US,D,20050330,000000,12.756,13.07,11.876,12.497,14403467,0
ZD.US,D,20050331,000000,12.497,12.612,12.159,12.51,3476416,0
ZD.US,D,20050401,000000,12.588,12.826,12.443,12.53,2454213,0
ZD.US,D,20050404,000000,12.69,12.998,12.398,12.991,2214813,0
ZD.US,D,20050405,000000,13.21,13.34,12.858,13.172,3028823,0
ZD.US,D,20050406,000000,13.267,13.529,13.195,13.224,2767559,0
ZD.US,D,20050407,000000,13.281,13.568,13.114,13.435,2255111,0
ZD.US,D,20050408,000000,13.485,13.61,13.244,13.303,1374628,0
ZD.US,D,20050411,000000,13.267,13.485,13.025,13.172,1919893,0
ZD.US,D,20050412,000000,13.187,13.443,12.887,13.435,1646984,0
ZD.US,D,20050413,000000,13.435,13.537,13.239,13.251,1379474,0
ZD.US,D,20050414,000000,13.239,13.457,13.151,13.405,2020880,0
ZD.US,D,20050415,000000,13.355,13.435,13.267,13.383,1696963,0
ZD.US,D,20050418,000000,13.331,13.705,13.231,13.645,3333763,0
ZD.US,D,20050419,000000,13.258,13.5,12.319,13.123,10211978,0
ZD.US,D,20050420,000000,13.203,13.303,13.033,13.157,2127951,0
ZD.US,D,20050421,000000,13.18,13.631,13.18,13.631,1658638,0
ZD.US,D,20050422,000000,13.651,13.667,13.019,13.157,1413581,0
ZD.US,D,20050425,000000,13.281,13.485,13.203,13.412,1561176,0
ZD.US,D,20050426,000000,13.244,13.383,12.903,12.939,1497413,0
ZD.US,D,20050427,000000,12.955,13.011,12.643,12.947,1717657,0
ZD.US,D,20050428,000000,12.887,13.099,12.756,12.843,1373853,0
ZD.US,D,20050429,000000,12.864,13.057,12.69,13.019,1439511,0
ZD.US,D,20050502,000000,13.057,13.157,12.923,13.048,1273672,0
ZD.US,D,20050503,000000,12.97,13.224,12.963,13.084,1230954,0
ZD.US,D,20050504,000000,13.057,13.29,12.97,13.172,1609960,0
ZD.US,D,20050505,000000,13.123,13.355,12.991,13.106,1777909,0
ZD.US,D,20050506,000000,13.172,13.18,13.019,13.157,1008518,0
ZD.US,D,20050509,000000,13.172,13.203,12.939,13.123,1034484,0
ZD.US,D,20050510,000000,13.07,13.187,12.947,13.04,1081074,0
ZD.US,D,20050511,000000,13.123,13.123,12.955,13.025,994300,0
ZD.US,D,20050512,000000,13.048,13.123,12.81,12.864,783689,0
ZD.US,D,20050513,000000,12.894,13.019,12.643,12.81,661906,0
ZD.US,D,20050516,000000,12.83,13.005,12.719,12.97,1241109,0
ZD.US,D,20050517,000000,12.955,13.244,12.947,13.231,644955,0
ZD.US,D,20050518,000000,13.267,13.297,13.048,13.084,1085102,0
ZD.US,D,20050519,000000,13.143,13.195,13.077,13.164,986645,0
ZD.US,D,20050520,000000,13.157,13.324,13.099,13.164,747615,0
ZD.US,D,20050523,000000,13.172,13.399,13.123,13.267,944498,0
ZD.US,D,20050524,000000,13.217,13.405,13.187,13.405,711243,0
ZD.US,D,20050525,000000,13.318,13.318,12.703,12.955,1183396,0
ZD.US,D,20050526,000000,12.903,12.977,12.342,12.643,2550840,0
ZD.US,D,20050527,000000,12.719,12.939,12.628,12.826,1080742,0
ZD.US,D,20050531,000000,12.871,12.903,12.719,12.788,883133,0
ZD.US,D,20050601,000000,12.788,13.157,12.724,12.97,1906927,0
ZD.US,D,20050602,000000,12.871,13.705,12.864,13.675,3722510,0
ZD.US,D,20050603,000000,13.638,13.806,13.084,13.123,1908194,0
ZD.US,D,20050606,000000,13.123,13.187,12.837,12.91,1300384,0
ZD.US,D,20050607,000000,12.931,13.123,12.756,12.756,1162904,0
ZD.US,D,20050608,000000,12.837,12.939,12.557,12.588,1638494,0
ZD.US,D,20050609,000000,12.612,12.826,12.51,12.772,1312459,0
ZD.US,D,20050610,000000,12.756,12.803,12.69,12.772,882718,0
ZD.US,D,20050613,000000,12.756,13.123,12.703,13.019,1247747,0
ZD.US,D,20050614,000000,12.984,13.019,12.81,12.91,1327728,0
ZD.US,D,20050615,000000,12.91,13.151,12.887,13.005,1725314,0
ZD.US,D,20050616,000000,13.019,13.084,12.677,12.939,1903516,0
ZD.US,D,20050617,000000,12.97,13.04,12.719,12.719,1235227,0
ZD.US,D,20050620,000000,12.612,12.939,12.612,12.843,1114273,0
ZD.US,D,20050621,000000,12.837,12.923,12.581,12.621,1130156,0
ZD.US,D,20050622,000000,12.724,12.81,12.523,12.573,1163786,0
ZD.US,D,20050623,000000,12.557,12.643,12.05,12.11,1938120,0
ZD.US,D,20050624,000000,12.065,12.326,12.065,12.307,1972733,0
ZD.US,D,20050627,000000,12.326,12.326,11.792,11.969,1669616,0
ZD.US,D,20050628,000000,11.863,12.364,11.863,12.349,1651967,0
ZD.US,D,20050629,000000,12.349,12.557,12.349,12.482,1610845,0
ZD.US,D,20050630,000000,12.482,12.671,12.357,12.55,1433060,0
ZD.US,D,20050701,000000,12.543,12.573,12.429,12.55,1854496,0
ZD.US,D,20050705,000000,12.581,12.65,12.39,12.621,757696,0
ZD.US,D,20050706,000000,12.573,12.677,12.523,12.573,1077806,0
ZD.US,D,20050707,000000,12.573,12.756,12.468,12.671,631305,0
ZD.US,D,20050708,000000,12.683,12.826,12.523,12.796,777969,0
ZD.US,D,20050711,000000,12.826,12.955,12.772,12.826,908345,0
ZD.US,D,20050712,000000,12.83,12.864,12.671,12.69,1113315,0
ZD.US,D,20050713,000000,12.719,12.871,12.573,12.719,928852,0
ZD.US,D,20050714,000000,12.91,13.143,12.837,13.084,2885495,0
ZD.US,D,20050715,000000,13.011,13.033,12.748,12.843,864335,0
ZD.US,D,20050718,000000,12.803,13.04,12.772,12.984,940789,0
ZD.US,D,20050719,000000,12.998,13.114,12.955,13.084,1014412,0
ZD.US,D,20050720,000000,13.04,13.435,12.91,13.34,1793392,0
ZD.US,D,20050721,000000,13.428,13.645,13.157,13.224,2189478,0
ZD.US,D,20050722,000000,13.258,13.449,13.123,13.399,793094,0
ZD.US,D,20050725,000000,13.457,13.485,13.172,13.29,1728933,0
ZD.US,D,20050726,000000,14.704,15.03,14.252,14.492,15780911,0
ZD.US,D,20050727,000000,14.441,14.74,14.301,14.665,2137771,0
ZD.US,D,20050728,000000,14.665,14.857,14.596,14.681,1151712,0
ZD.US,D,20050729,000000,14.659,14.665,14.317,14.614,1745761,0
ZD.US,D,20050801,000000,14.629,14.681,14.564,14.58,1265344,0
ZD.US,D,20050802,000000,14.607,14.812,14.587,14.622,1594473,0
ZD.US,D,20050803,000000,14.622,14.857,14.558,14.596,1899061,0
ZD.US,D,20050804,000000,14.498,14.697,14.441,14.543,1540312,0
ZD.US,D,20050805,000000,14.58,14.58,13.792,13.931,2242386,0
ZD.US,D,20050808,000000,13.995,14.01,13.529,13.544,2021432,0
ZD.US,D,20050809,000000,13.631,13.651,13.303,13.355,1619026,0
ZD.US,D,20050810,000000,13.303,13.449,13.057,13.136,3146177,0
ZD.US,D,20050811,000000,13.195,13.786,13.195,13.675,1702492,0
ZD.US,D,20050812,000000,13.681,13.77,13.515,13.681,1214386,0
ZD.US,D,20050815,000000,13.735,13.735,13.537,13.56,834898,0
ZD.US,D,20050816,000000,13.574,13.651,13.449,13.47,544680,0
ZD.US,D,20050817,000000,13.449,13.659,13.449,13.485,490804,0
ZD.US,D,20050818,000000,13.449,13.667,13.312,13.651,1060663,0
ZD.US,D,20050819,000000,13.667,13.763,13.485,13.568,1325222,0
ZD.US,D,20050822,000000,13.631,13.651,13.477,13.588,924570,0
ZD.US,D,20050823,000000,13.638,13.779,13.551,13.588,1039999,0
ZD.US,D,20050824,000000,14.062,14.58,13.952,14.375,3198375,0
ZD.US,D,20050825,000000,14.353,14.428,14.186,14.252,1245365,0
ZD.US,D,20050826,000000,14.288,14.288,13.756,13.849,1833895,0
ZD.US,D,20050829,000000,13.938,13.938,13.492,13.75,1117552,0
ZD.US,D,20050830,000000,13.667,13.721,13.383,13.5,889190,0
ZD.US,D,20050831,000000,13.588,13.689,13.383,13.681,1312860,0
ZD.US,D,20050901,000000,13.728,13.819,13.485,13.515,1331916,0
ZD.US,D,20050902,000000,13.588,13.631,13.435,13.523,777114,0
ZD.US,D,20050906,000000,13.631,13.917,13.588,13.91,1018481,0
ZD.US,D,20050907,000000,13.864,14.07,13.763,14.04,847427,0
ZD.US,D,20050908,000000,14.033,14.288,13.938,14.214,848379,0
ZD.US,D,20050909,000000,14.237,14.288,14.07,14.214,780174,0
ZD.US,D,20050912,000000,14.245,14.36,14.186,14.23,1279115,0
ZD.US,D,20050913,000000,14.214,14.325,14.07,14.132,905433,0
ZD.US,D,20050914,000000,14.126,14.199,13.833,13.849,723679,0
ZD.US,D,20050915,000000,13.917,13.917,13.47,13.568,883209,0
ZD.US,D,20050916,000000,13.667,13.742,13.47,13.735,1549881,0
ZD.US,D,20050919,000000,13.721,13.811,13.435,13.537,779962,0
ZD.US,D,20050920,000000,13.537,13.705,13.47,13.537,1024833,0
ZD.US,D,20050921,000000,13.537,13.603,13.449,13.5,930132,0
ZD.US,D,20050922,000000,13.485,13.61,13.435,13.477,695123,0
ZD.US,D,20050923,000000,13.515,13.581,13.21,13.544,1022778,0
ZD.US,D,20050926,000000,13.588,14.084,13.568,14.002,999259,0
ZD.US,D,20050927,000000,13.967,14.734,13.952,14.498,1971030,0
ZD.US,D,20050928,000000,14.596,14.804,14.529,14.768,1636169,0
ZD.US,D,20050929,000000,14.797,14.93,14.47,14.827,1504287,0
ZD.US,D,20050930,000000,14.726,14.857,14.543,14.734,809859,0
ZD.US,D,20051003,000000,14.719,14.924,14.435,14.543,1266918,0
ZD.US,D,20051004,000000,14.607,14.645,14.132,14.132,1079814,0
ZD.US,D,20051005,000000,14.214,14.222,13.779,13.945,1048734,0
ZD.US,D,20051006,000000,14.07,14.07,13.689,13.873,1483026,0
ZD.US,D,20051007,000000,13.903,14.164,13.841,13.931,894102,0
ZD.US,D,20051010,000000,13.91,14.148,13.849,14.099,1002577,0
ZD.US,D,20051011,000000,14.214,14.477,14.062,14.07,1325506,0
ZD.US,D,20051012,000000,14.132,14.23,13.849,13.849,1328751,0
ZD.US,D,20051013,000000,13.849,14.543,13.742,14.397,1805406,0
ZD.US,D,20051014,000000,14.529,14.58,14.164,14.58,1296494,0
ZD.US,D,20051017,000000,14.596,14.726,14.148,14.447,1133966,0
ZD.US,D,20051018,000000,14.492,14.748,14.274,14.543,1225860,0
ZD.US,D,20051019,000000,14.477,15.492,14.477,15.422,2083725,0
ZD.US,D,20051020,000000,15.492,15.65,14.774,14.957,2177056,0
ZD.US,D,20051021,000000,15.03,15.359,14.994,15.177,1625256,0
ZD.US,D,20051024,000000,16.307,16.401,15.737,16.038,5986234,0
ZD.US,D,20051025,000000,16.053,16.321,15.757,16.228,2684473,0
ZD.US,D,20051026,000000,16.22,16.483,15.766,15.849,1776591,0
ZD.US,D,20051027,000000,15.914,16.009,15.331,15.556,1495974,0
ZD.US,D,20051028,000000,15.643,15.743,15.141,15.59,1664722,0
ZD.US,D,20051031,000000,15.71,16.285,15.521,16.09,1698096,0
ZD.US,D,20051101,000000,16.124,16.489,15.864,16.256,1431129,0
ZD.US,D,20051102,000000,16.293,16.657,16.038,16.598,1240663,0
ZD.US,D,20051103,000000,16.721,16.735,16.364,16.438,1420707,0
ZD.US,D,20051104,000000,16.417,16.68,16.073,16.446,845226,0
ZD.US,D,20051107,000000,16.525,16.598,16.124,16.19,1338060,0
ZD.US,D,20051108,000000,16.073,16.713,15.949,16.531,1591178,0
ZD.US,D,20051109,000000,16.553,16.949,16.518,16.729,1513666,0
ZD.US,D,20051110,000000,16.767,17.014,16.713,16.963,1193837,0
ZD.US,D,20051111,000000,17.023,17.05,16.817,16.949,809108,0
ZD.US,D,20051114,000000,16.438,16.855,16.234,16.547,1574772,0
ZD.US,D,20051115,000000,16.417,16.833,16.293,16.781,1125167,0
ZD.US,D,20051116,000000,16.855,17.085,16.583,16.803,1092681,0
ZD.US,D,20051117,000000,16.751,17.117,16.657,17.117,1325492,0
ZD.US,D,20051118,000000,17.203,17.269,16.817,16.941,942013,0
