<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZEO.US,D,20211222,000000,9.89,9.89,9.89,9.89,402,0
ZEO.US,D,20211223,000000,9.88,10.19,9.88,10.19,123399,0
ZEO.US,D,20211227,000000,9.9,9.9,9.9,9.9,300005,0
ZEO.US,D,20211231,000000,9.91,9.92,9.9,9.92,73456,0
ZEO.US,D,20220103,000000,9.9,9.94,9.89,9.91,79120,0
ZEO.US,D,20220104,000000,9.92,9.92,9.92,9.92,100,0
ZEO.US,D,20220105,000000,9.89,9.92,9.89,9.91,29332,0
ZEO.US,D,20220106,000000,9.92,9.94,9.89,9.93,82510,0
ZEO.US,D,20220107,000000,10.49,10.49,9.91,9.93,6744,0
ZEO.US,D,20220110,000000,9.94,9.94,9.92,9.92,2186,0
ZEO.US,D,20220112,000000,9.93,9.93,9.92,9.92,125256,0
ZEO.US,D,20220114,000000,9.91,9.925,9.91,9.92,447889,0
ZEO.US,D,20220119,000000,9.91,9.91,9.91,9.91,1850,0
ZEO.US,D,20220120,000000,9.9,9.9,9.9,9.9,400,0
ZEO.US,D,20220125,000000,9.91,9.91,9.9,9.9,52167,0
ZEO.US,D,20220126,000000,9.9098,9.91,9.9098,9.91,30307,0
ZEO.US,D,20220127,000000,9.91,9.91,9.88,9.88,597366,0
ZEO.US,D,20220128,000000,9.91,9.91,9.9,9.9,1473,0
ZEO.US,D,20220131,000000,9.94,9.94,9.9,9.905,6975,0
ZEO.US,D,20220201,000000,10.4,10.4,9.91,9.91,10298,0
ZEO.US,D,20220202,000000,10.38,10.38,10.38,10.38,175,0
ZEO.US,D,20220204,000000,10.01,10.01,9.96,9.96,9592,0
ZEO.US,D,20220207,000000,10.02,10.02,10.02,10.02,252,0
ZEO.US,D,20220208,000000,9.97,9.97,9.97,9.97,4900,0
ZEO.US,D,20220209,000000,9.96,9.96,9.91,9.96,359900,0
ZEO.US,D,20220210,000000,9.95,9.95,9.95,9.95,435,0
