<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZEUS.US,D,20050225,000000,23.8317,25.1674,23.8317,24.384,575806.28327011,0
ZEUS.US,D,20050228,000000,24.3384,24.5021,23.2288,23.4518,543196.48411109,0
ZEUS.US,D,20050301,000000,23.3448,23.793,22.604,22.7448,416624.52044478,0
ZEUS.US,D,20050302,000000,22.9848,22.9848,21.8047,22.2886,433900.51398773,0
ZEUS.US,D,20050303,000000,22.3065,23.0503,22.1379,22.2807,285776.91980542,0
ZEUS.US,D,20050304,000000,22.3155,23.0116,22.2709,22.6139,611769.02887613,0
ZEUS.US,D,20050307,000000,23.5085,23.5481,22.5842,22.8588,658642.71600299,0
ZEUS.US,D,20050308,000000,22.9848,23.0205,21.6818,21.7105,447502.8883107,0
ZEUS.US,D,20050309,000000,21.7948,21.9366,20.5176,20.581,519999.13672246,0
ZEUS.US,D,20050310,000000,20.5443,20.7953,19.6092,19.8461,688899.90642188,0
ZEUS.US,D,20050311,000000,20.4402,21.173,19.9215,20.2309,624324.67886466,0
ZEUS.US,D,20050314,000000,20.1566,20.6009,18.7613,19.2225,810265.47534956,0
ZEUS.US,D,20050315,000000,19.1382,20.0257,19.0439,19.627,629971.7465649,0
ZEUS.US,D,20050316,000000,20.4699,20.5741,18.9508,20.4501,1053560.31157,0
ZEUS.US,D,20050317,000000,20.4303,20.7406,20.0068,20.3163,400807.68885937,0
ZEUS.US,D,20050318,000000,20.6851,20.815,19.8264,20.109,275756.39985233,0
ZEUS.US,D,20050321,000000,20.1179,20.4303,19.034,19.4614,478048.48254428,0
ZEUS.US,D,20050322,000000,19.637,20.1001,19.2026,19.3077,410905.85599334,0
ZEUS.US,D,20050323,000000,19.1748,19.4614,18.1326,18.1603,409013.0799088,0
ZEUS.US,D,20050324,000000,18.1703,18.7038,17.9819,18.0761,277999.09245328,0
ZEUS.US,D,20050328,000000,18.0284,18.1603,17.0577,17.9422,577949.14378136,0
ZEUS.US,D,20050329,000000,17.7509,18.1236,17.0765,17.1697,658684.0606058,0
ZEUS.US,D,20050330,000000,17.0011,17.5168,16.305,16.5647,800275.20754486,0
ZEUS.US,D,20050331,000000,16.8207,17.1231,16.2851,16.4844,495204.4758986,0
ZEUS.US,D,20050401,000000,16.5826,17.0577,16.5113,16.546,388416.40887712,0
ZEUS.US,D,20050404,000000,16.4646,16.4746,15.9063,16.1036,320948.06752847,0
