<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZIMV.US,D,20220216,000000,25,28.2,25,28,2022,0
ZIMV.US,D,20220217,000000,41.66,50.395,41.66,45.75,5021,0
ZIMV.US,D,20220218,000000,46,46,43.95,44.2,1054,0
ZIMV.US,D,20220222,000000,44,44,37.96,39.01,2392,0
ZIMV.US,D,20220228,000000,38,41.98,37.85,38,8637,0
ZIMV.US,D,20220301,000000,31.55,33.44,25.005,25.53,6365478,0
ZIMV.US,D,20220302,000000,26.77,26.78,24.2,24.31,1950200,0
ZIMV.US,D,20220303,000000,24.25,24.69,22.64,24.49,1403257,0
ZIMV.US,D,20220304,000000,22.7,23.97,22.2,23.69,2232889,0
ZIMV.US,D,20220307,000000,22.74,23.26,21.8,22.47,1289601,0
ZIMV.US,D,20220308,000000,21.52,24.69,21.52,22.91,998275,0
ZIMV.US,D,20220309,000000,22.01,23.3,22.01,23.07,1218618,0
ZIMV.US,D,20220310,000000,23.07,25.2,22.8398,24.38,901830,0
ZIMV.US,D,20220311,000000,24.16,24.3955,22.17,23.58,683778,0
ZIMV.US,D,20220314,000000,23.58,24.7547,22.815,23.02,410075,0
ZIMV.US,D,20220315,000000,22.5,23.74,22.018,22.94,550553,0
ZIMV.US,D,20220316,000000,23,23.5,22.53,22.87,261386,0
ZIMV.US,D,20220317,000000,23.06,23.5677,22.67,23.07,465434,0
ZIMV.US,D,20220318,000000,22.7,24.73,22.595,24.43,930711,0
ZIMV.US,D,20220321,000000,24.01,24.96,23.395,24.32,252722,0
ZIMV.US,D,20220322,000000,24.17,24.9874,23.98,24.08,353867,0
ZIMV.US,D,20220323,000000,23.99,24.5,23.93,24.16,259460,0
ZIMV.US,D,20220324,000000,24.03,24.7499,23.52,23.69,357311,0
ZIMV.US,D,20220325,000000,23.48,24.1,22.5,23,530132,0
ZIMV.US,D,20220328,000000,22.95,23.37,22.34,22.69,202004,0
ZIMV.US,D,20220329,000000,22.69,23.75,22.69,23.4,357436,0
ZIMV.US,D,20220330,000000,23.11,23.705,22.52,22.81,199532,0
ZIMV.US,D,20220331,000000,22.61,23.45,22.35,22.84,216955,0
ZIMV.US,D,20220401,000000,23.06,24.08,22.8,23.98,745952,0
ZIMV.US,D,20220404,000000,24.13,24.13,23.5,23.6,328276,0
ZIMV.US,D,20220405,000000,23.6,23.74,23.1401,23.66,280390,0
ZIMV.US,D,20220406,000000,23.83,23.88,22.41,22.72,336999,0
ZIMV.US,D,20220407,000000,22.51,23.555,22.04,23.24,304989,0
ZIMV.US,D,20220408,000000,23.19,23.67,22.575,23.55,159235,0
ZIMV.US,D,20220411,000000,23.48,24.08,23.3,23.94,428038,0
ZIMV.US,D,20220412,000000,24.46,26.73,24.12,26.42,805789,0
ZIMV.US,D,20220413,000000,26.2,27.57,25.09,27.32,520337,0
ZIMV.US,D,20220414,000000,27.28,28.37,26.94,27.5,303118,0
ZIMV.US,D,20220418,000000,27.68,28.225,27.11,27.29,255498,0
ZIMV.US,D,20220419,000000,27.25,28.945,27.25,27.99,353244,0
ZIMV.US,D,20220420,000000,28,28.305,26.35,26.4,365702,0
ZIMV.US,D,20220421,000000,26.52,27.085,25.58,25.69,243844,0
ZIMV.US,D,20220422,000000,25.4,25.45,24.15,24.17,244865,0
ZIMV.US,D,20220425,000000,24.22,24.33,23.27,24.19,345623,0
ZIMV.US,D,20220426,000000,23.91,23.91,22.65,22.65,178007,0
ZIMV.US,D,20220427,000000,22.5,23.25,22.05,22.95,248432,0
ZIMV.US,D,20220428,000000,22.94,23.93,22.65,23.29,208938,0
ZIMV.US,D,20220429,000000,23.06,23.81,22.25,22.5,239099,0
ZIMV.US,D,20220502,000000,22.56,23.48,22.3909,23.27,174709,0
ZIMV.US,D,20220503,000000,23.04,25.3375,23.04,24.2,372902,0
ZIMV.US,D,20220504,000000,24.21,24.72,22.68,23.85,351089,0
ZIMV.US,D,20220505,000000,23.41,23.76,22.1,22.97,211823,0
ZIMV.US,D,20220506,000000,22.98,23.09,21.19,22.31,390838,0
ZIMV.US,D,20220509,000000,21.82,22.3,20,20.27,317535,0
ZIMV.US,D,20220510,000000,20.27,21.0627,18.83,19.46,390768,0
ZIMV.US,D,20220511,000000,19.95,22.395,19.68,20.81,260402,0
ZIMV.US,D,20220512,000000,20.54,22.27,20.01,22.22,534989,0
ZIMV.US,D,20220513,000000,22.54,23.17,22.1502,22.67,474870,0
ZIMV.US,D,20220516,000000,22.71,24.1,22.35,23.77,290137,0
ZIMV.US,D,20220517,000000,23.95,25.19,23.9,24.65,193184,0
ZIMV.US,D,20220518,000000,24.58,25.25,23.9,24.11,375471,0
ZIMV.US,D,20220519,000000,23.89,24.3,22.92,23.96,376075,0
ZIMV.US,D,20220520,000000,24.35,25.21,22.7,23.53,238916,0
ZIMV.US,D,20220523,000000,23.6,24.69,22.42,24.08,259173,0
ZIMV.US,D,20220524,000000,24.01,24.145,22.66,23.02,248646,0
ZIMV.US,D,20220525,000000,22.71,23.55,22.249,23.12,240197,0
ZIMV.US,D,20220526,000000,23.32,23.6,22.86,22.98,137517,0
ZIMV.US,D,20220527,000000,22.98,23.38,22.53,22.7,135397,0
ZIMV.US,D,20220531,000000,22.52,23.33,21.16,21.77,541520,0
ZIMV.US,D,20220601,000000,21.73,22.36,21.1,21.19,303588,0
ZIMV.US,D,20220602,000000,21.19,22.245,21.05,22.14,388757,0
ZIMV.US,D,20220603,000000,21.89,21.89,20.59,20.84,342152,0
ZIMV.US,D,20220606,000000,21.14,21.465,20.32,20.38,318465,0
ZIMV.US,D,20220607,000000,20.18,20.62,20.15,20.48,233917,0
ZIMV.US,D,20220608,000000,20.29,20.73,19.58,19.99,414484,0
ZIMV.US,D,20220609,000000,19.83,20.43,19.31,20,310123,0
ZIMV.US,D,20220610,000000,19.6,20.56,19.3,20.52,171120,0
ZIMV.US,D,20220613,000000,19.94,19.96,18.26,18.38,513798,0
ZIMV.US,D,20220614,000000,18.35,18.87,18.05,18.79,205840,0
ZIMV.US,D,20220615,000000,18.9,19.24,18.33,18.87,217326,0
ZIMV.US,D,20220616,000000,18.47,18.47,17.53,18.08,286358,0
ZIMV.US,D,20220617,000000,17.92,18.98,17.83,18.1,652490,0
ZIMV.US,D,20220621,000000,17.9,19.545,17.9,18.56,241944,0
ZIMV.US,D,20220622,000000,18.18,18.745,17.76,17.84,278982,0
ZIMV.US,D,20220623,000000,17.74,17.868,17.29,17.45,222356,0
ZIMV.US,D,20220624,000000,17.5,18.11,15.83,16.18,2993495,0
ZIMV.US,D,20220627,000000,16.28,17.79,16.28,17.06,377634,0
ZIMV.US,D,20220628,000000,17.23,17.93,16.65,16.97,382340,0
ZIMV.US,D,20220629,000000,16.9,16.93,16.14,16.24,429582,0
ZIMV.US,D,20220630,000000,15.9,16.54,15.76,16.01,356588,0
ZIMV.US,D,20220701,000000,15.8,16.84,15.47,15.88,222202,0
ZIMV.US,D,20220705,000000,15.47,16.53,14.935,16.44,319701,0
ZIMV.US,D,20220706,000000,16.39,16.8272,16.01,16.26,192767,0
ZIMV.US,D,20220707,000000,16.39,16.96,15.88,16.17,218485,0
ZIMV.US,D,20220708,000000,16.16,16.76,16.065,16.63,245711,0
ZIMV.US,D,20220711,000000,16.63,16.65,15.97,16.15,211747,0
ZIMV.US,D,20220712,000000,15.99,17.29,15.87,17.13,313608,0
ZIMV.US,D,20220713,000000,16.95,17.64,16.78,17.24,181616,0
ZIMV.US,D,20220714,000000,17.21,17.67,17.075,17.44,130023,0
ZIMV.US,D,20220715,000000,17.92,17.99,17.46,17.71,106190,0
ZIMV.US,D,20220718,000000,17.88,18.17,17.45,17.6,141278,0
ZIMV.US,D,20220719,000000,17.75,18.34,17.29,17.32,277374,0
ZIMV.US,D,20220720,000000,17.27,17.73,17.09,17.63,123686,0
ZIMV.US,D,20220721,000000,17.48,17.54,17.02,17.46,106743,0
ZIMV.US,D,20220722,000000,17.48,17.57,16.97,17.02,132642,0
ZIMV.US,D,20220725,000000,17.14,17.95,16.775,17.93,169699,0
ZIMV.US,D,20220726,000000,17.9,19.04,17.9,18.9,278110,0
ZIMV.US,D,20220727,000000,18.98,18.98,18.25,18.61,112779,0
ZIMV.US,D,20220728,000000,18.63,19.06,18.38,18.87,79691,0
ZIMV.US,D,20220729,000000,18.77,19.53,18.6227,19.42,185623,0
ZIMV.US,D,20220801,000000,19.3,19.58,18.27,19.5,120229,0
ZIMV.US,D,20220802,000000,19.5,20.33,19.3,19.46,122728,0
ZIMV.US,D,20220803,000000,19.7,19.91,19.48,19.64,74957,0
ZIMV.US,D,20220804,000000,19.68,19.95,19.31,19.78,376498,0
ZIMV.US,D,20220805,000000,19.63,20.165,19.63,19.88,116852,0
ZIMV.US,D,20220808,000000,20.21,20.32,19.37,19.82,140293,0
