<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZION.US,D,19900326,000000,2.20056,2.24233,2.20056,2.24233,25812.646512404,0
ZION.US,D,19900328,000000,2.24233,2.25887,2.20056,2.24233,55455.787538945,0
ZION.US,D,19900329,000000,2.25887,2.25887,2.24233,2.24233,31554.810293005,0
ZION.US,D,19900330,000000,2.20056,2.20056,2.20056,2.20056,951.74550111082,0
ZION.US,D,19900402,000000,2.25084,2.25084,2.24233,2.24233,86051.696349629,0
ZION.US,D,19900404,000000,2.30084,2.30084,2.2171,2.2171,78403.997000745,0
ZION.US,D,19900405,000000,2.25887,2.25887,2.2171,2.2171,117607.52892566,0
ZION.US,D,19900406,000000,2.2171,2.2171,2.18364,2.18364,341348.48204609,0
ZION.US,D,19900409,000000,2.18364,2.18364,2.18364,2.18364,12428.917081101,0
ZION.US,D,19900410,000000,2.2171,2.2171,2.18364,2.18364,7644.6324997924,0
ZION.US,D,19900411,000000,2.2171,2.24233,2.18364,2.24233,204620.17132368,0
ZION.US,D,19900412,000000,2.2171,2.25887,2.2171,2.2171,64067.499785301,0
ZION.US,D,19900416,000000,2.2171,2.25084,2.2171,2.24233,40158.344275119,0
ZION.US,D,19900417,000000,2.2171,2.24233,2.2171,2.2171,86051.696349629,0
ZION.US,D,19900418,000000,2.25887,2.26728,2.2171,2.25887,308840.90396894,0
ZION.US,D,19900419,000000,2.25887,2.25887,2.2171,2.25084,527798.59479109,0
ZION.US,D,19900420,000000,2.25887,2.25887,2.20056,2.2171,149159.27236958,0
ZION.US,D,19900423,000000,2.20056,2.24233,2.20056,2.24233,21991.352545538,0
ZION.US,D,19900424,000000,2.23392,2.23392,2.2171,2.2171,19123.848645843,0
ZION.US,D,19900425,000000,2.24233,2.24233,2.2171,2.23392,2300522.2186394,0
ZION.US,D,19900426,000000,2.34309,2.34309,2.34309,2.34309,1910.646983433,0
ZION.US,D,19900427,000000,2.24233,2.34309,2.24233,2.2843,23904.044095032,0
ZION.US,D,19900430,000000,2.34309,2.38437,2.34309,2.38437,23904.044095032,0
ZION.US,D,19900501,000000,2.2843,2.4014,2.2843,2.35952,157772.00689897,0
ZION.US,D,19900502,000000,2.4014,2.44286,2.38437,2.44286,104222.77721133,0
ZION.US,D,19900503,000000,2.38437,2.44286,2.34309,2.34309,191230.3081942,0
ZION.US,D,19900504,000000,2.42623,2.42623,2.34309,2.35121,87010.59783195,0
ZION.US,D,19900507,000000,2.34309,2.35121,2.34309,2.35121,8602.5116990843,0
ZION.US,D,19900508,000000,2.34309,2.34309,2.34309,2.34309,67885.726903078,0
ZION.US,D,19900509,000000,2.34309,2.35952,2.25887,2.32607,35379.171108961,0
ZION.US,D,19900510,000000,2.25887,2.29271,2.25887,2.29271,166372.47403199,0
ZION.US,D,19900511,000000,2.29271,2.30084,2.25887,2.29271,45898.46348966,0
ZION.US,D,19900514,000000,2.29271,2.35952,2.25887,2.35952,36330.916610073,0
ZION.US,D,19900515,000000,2.25887,2.35952,2.25887,2.2843,25812.646512404,0
ZION.US,D,19900516,000000,2.2843,2.30084,2.2843,2.30084,54498.930622684,0
ZION.US,D,19900517,000000,2.2843,2.30925,2.2843,2.30084,137688.23448777,0
ZION.US,D,19900518,000000,2.2843,2.33408,2.2843,2.2843,23904.044095032,0
ZION.US,D,19900521,000000,2.2843,2.30084,2.2843,2.2843,15302.554678978,0
ZION.US,D,19900522,000000,2.34309,2.34309,2.30084,2.30084,14340.586347564,0
ZION.US,D,19900523,000000,2.30084,2.30084,2.30084,2.30084,1910.646983433,0
ZION.US,D,19900524,000000,2.30084,2.30084,2.30084,2.30084,10521.336946759,0
ZION.US,D,19900525,000000,2.30084,2.30084,2.30084,2.30084,951.74550111082,0
ZION.US,D,19900529,000000,2.30084,2.30084,2.30084,2.30084,4783.2622982788,0
ZION.US,D,19900530,000000,2.30084,2.34309,2.30084,2.30925,66931.936835906,0
ZION.US,D,19900531,000000,2.35121,2.38437,2.33408,2.38437,25812.646512404,0
ZION.US,D,19900601,000000,2.30084,2.30084,2.30084,2.30084,19123.848645843,0
ZION.US,D,19900604,000000,2.30084,2.30084,2.30084,2.30084,13387.818563424,0
ZION.US,D,19900605,000000,2.30084,2.33408,2.30084,2.32607,30597.953376743,0
ZION.US,D,19900606,000000,2.32607,2.35952,2.32607,2.35952,80318.733116298,0
ZION.US,D,19900607,000000,2.34309,2.4014,2.34309,2.4014,3827.4276650471,0
ZION.US,D,19900608,000000,2.32607,2.33408,2.32607,2.32607,11477.171579991,0
ZION.US,D,19900611,000000,2.32607,2.34309,2.32607,2.34309,13387.818563424,0
ZION.US,D,19900612,000000,2.32607,2.32607,2.32607,2.32607,9558.346332316,0
ZION.US,D,19900613,000000,2.34309,2.35952,2.34309,2.34309,102307.01881275,0
ZION.US,D,19900614,000000,2.35121,2.35121,2.35121,2.35121,6692.8869986815,0
ZION.US,D,19900615,000000,2.34309,2.4014,2.34309,2.34309,19123.848645843,0
ZION.US,D,19900618,000000,2.34309,2.4014,2.34309,2.37605,87010.59783195,0
ZION.US,D,19900619,000000,2.34309,2.34309,2.32607,2.33408,94661.364029924,0
ZION.US,D,19900620,000000,2.32607,2.34309,2.30084,2.30084,116654.76114152,0
ZION.US,D,19900621,000000,2.2843,2.34309,2.2843,2.33408,9558.346332316,0
ZION.US,D,19900622,000000,2.33408,2.33408,2.2843,2.2843,44940.584290368,0
ZION.US,D,19900625,000000,2.2843,2.30925,2.2843,2.2843,95612.087248004,0
ZION.US,D,19900626,000000,2.2843,2.29271,2.2843,2.29271,135773.49837222,0
ZION.US,D,19900627,000000,2.34309,2.34309,2.2843,2.2843,16253.277897058,0
ZION.US,D,19900628,000000,2.2843,2.2843,2.2843,2.2843,1910.646983433,0
ZION.US,D,19900629,000000,2.2843,2.34309,2.2843,2.30925,19123.848645843,0
ZION.US,D,19900702,000000,2.30084,2.34309,2.2843,2.2843,34422.3141927,0
ZION.US,D,19900703,000000,2.34309,2.34309,2.34309,2.34309,10521.336946759,0
ZION.US,D,19900705,000000,2.25887,2.32607,2.25887,2.25887,3827.4276650471,0
ZION.US,D,19900706,000000,2.32607,2.34309,2.32607,2.34309,8602.5116990843,0
ZION.US,D,19900709,000000,2.32607,2.32607,2.2171,2.2171,71714.176851154,0
ZION.US,D,19900710,000000,2.2171,2.30084,2.2171,2.30084,22947.187178769,0
ZION.US,D,19900711,000000,2.30084,2.30084,2.24233,2.24233,114732.86904476,0
ZION.US,D,19900712,000000,2.24233,2.32607,2.24233,2.32607,153941.51238483,0
ZION.US,D,19900713,000000,2.32607,2.32607,2.25887,2.25887,27731.471760078,0
ZION.US,D,19900716,000000,2.25887,2.32607,2.25887,2.25887,37292.884941485,0
ZION.US,D,19900717,000000,2.25887,2.2843,2.25887,2.2843,21035.517912306,0
ZION.US,D,19900718,000000,2.25887,2.25887,2.25887,2.25887,951.74550111082,0
ZION.US,D,19900720,000000,2.32607,2.32607,2.25887,2.25887,6692.8869986815,0
ZION.US,D,19900723,000000,2.2843,2.30084,2.2843,2.30084,99441.559479112,0
ZION.US,D,19900724,000000,2.32607,2.32607,2.2843,2.2843,43025.848174814,0
ZION.US,D,19900725,000000,2.2843,2.30084,2.2843,2.2843,49715.668324405,0
ZION.US,D,19900726,000000,2.2843,2.29271,2.2843,2.29271,48762.900540264,0
ZION.US,D,19900727,000000,2.34309,2.34309,2.34309,2.34309,951.74550111082,0
ZION.US,D,19900730,000000,2.32607,2.35952,2.30084,2.35952,30597.953376743,0
ZION.US,D,19900731,000000,2.35952,2.44286,2.35952,2.40981,436965.68070925,0
ZION.US,D,19900801,000000,2.4592,2.4592,2.38437,2.40981,62150.719103688,0
ZION.US,D,19900802,000000,2.38437,2.44286,2.38437,2.44286,361425.09847608,0
ZION.US,D,19900803,000000,2.4014,2.4014,2.34309,2.4014,422622.02751259,0
ZION.US,D,19900806,000000,2.38437,2.38437,2.26728,2.30084,492422.49053123,0
ZION.US,D,19900807,000000,2.25887,2.34309,2.25887,2.25887,6692.8869986815,0
ZION.US,D,19900810,000000,2.24233,2.25887,2.2171,2.25887,44940.584290368,0
ZION.US,D,19900813,000000,2.2171,2.24233,2.2171,2.23392,201750.62285792,0
ZION.US,D,19900814,000000,2.25887,2.25887,2.20056,2.20056,7644.6324997924,0
ZION.US,D,19900815,000000,2.20056,2.2171,2.20056,2.2171,50680.703504909,0
ZION.US,D,19900816,000000,2.20056,2.20056,2.20056,2.20056,4783.2622982788,0
ZION.US,D,19900817,000000,2.20056,2.20878,2.18364,2.18364,40158.344275119,0
ZION.US,D,19900820,000000,2.20056,2.20056,2.20056,2.20056,2862.3924845438,0
ZION.US,D,19900821,000000,2.19225,2.24233,2.18364,2.18364,73621.756985497,0
ZION.US,D,19900822,000000,2.14148,2.14148,2.14148,2.14148,14340.586347564,0
ZION.US,D,19900823,000000,2.14148,2.14148,2.01636,2.01636,114732.86904476,0
ZION.US,D,19900824,000000,1.97431,2.0998,1.97431,2.0998,57370.523654499,0
ZION.US,D,19900827,000000,2.0998,2.0998,2.0417,2.0417,6692.8869986815,0
ZION.US,D,19900828,000000,2.0998,2.0998,2.01636,2.01636,96573.033296387,0
ZION.US,D,19900829,000000,2.05843,2.05843,2.0417,2.0417,12428.917081101,0
ZION.US,D,19900830,000000,2.0417,2.0417,2.0417,2.0417,5736.0300824198,0
ZION.US,D,19900831,000000,2.0417,2.0417,2.01636,2.01636,8602.5116990843,0
ZION.US,D,19900904,000000,2.01636,2.01636,2.01636,2.01636,1910.646983433,0
ZION.US,D,19900905,000000,2.05843,2.0998,2.01636,2.01636,34422.3141927,0
ZION.US,D,19900906,000000,2.0998,2.0998,2.01636,2.01636,22947.187178769,0
ZION.US,D,19900907,000000,2.0417,2.0417,2.0417,2.0417,14340.586347564,0
ZION.US,D,19900910,000000,2.0998,2.0998,2.03319,2.03319,12428.917081101,0
ZION.US,D,19900911,000000,2.01636,2.01636,2.01636,2.01636,951.74550111082,0
ZION.US,D,19900912,000000,2.01636,2.01636,2.01636,2.01636,4783.2622982788,0
ZION.US,D,19900914,000000,2.01636,2.01636,2.01636,2.01636,11477.171579991,0
ZION.US,D,19900917,000000,2.0998,2.0998,2.01636,2.01636,14340.586347564,0
ZION.US,D,19900918,000000,2.01636,2.0998,2.01636,2.01636,35379.171108961,0
ZION.US,D,19900920,000000,2.05843,2.05843,2.0417,2.0417,6692.8869986815,0
ZION.US,D,19900924,000000,2.01636,2.05843,2.01636,2.01636,783095.38048756,0
ZION.US,D,19900925,000000,2.04963,2.08318,2.02478,2.02478,41115.201191381,0
ZION.US,D,19900926,000000,2.10841,2.10841,2.06656,2.09149,65018.223003382,0
ZION.US,D,19900927,000000,2.09149,2.09149,2.02478,2.02478,198883.11895823,0
ZION.US,D,19900928,000000,2.02478,2.09149,2.00785,2.0417,57370.523654499,0
ZION.US,D,19901001,000000,2.02478,2.06656,2.02478,2.02478,155852.15936825,0
ZION.US,D,19901002,000000,2.06656,2.10841,2.06656,2.06656,18169.036295642,0
ZION.US,D,19901003,000000,2.04963,2.04963,2.04963,2.04963,951.74550111082,0
ZION.US,D,19901004,000000,2.04963,2.04963,2.04963,2.04963,10521.336946759,0
ZION.US,D,19901005,000000,2.04963,2.04963,2.04963,2.04963,5736.0300824198,0
ZION.US,D,19901008,000000,2.04963,2.04963,2.04963,2.04963,7644.6324997924,0
ZION.US,D,19901009,000000,2.04963,2.10841,2.04963,2.04963,79357.787067917,0
ZION.US,D,19901010,000000,2.06656,2.10841,2.04963,2.10841,152988.74460068,0
ZION.US,D,19901011,000000,2.04963,2.05843,2.04963,2.04963,104222.77721133,0
ZION.US,D,19901012,000000,2.04963,2.04963,2.00785,2.00785,8602.5116990843,0
ZION.US,D,19901015,000000,2.09149,2.09149,2.02478,2.02478,97529.890212649,0
ZION.US,D,19901016,000000,2.09149,2.09149,2.04963,2.04963,47809.110473092,0
ZION.US,D,19901018,000000,2.09149,2.0998,2.04963,2.09149,57370.523654499,0
ZION.US,D,19901019,000000,2.10841,2.10841,2.06656,2.06656,43025.848174814,0
ZION.US,D,19901022,000000,2.06656,2.06656,2.06656,2.06656,39205.576490978,0
ZION.US,D,19901023,000000,2.10841,2.10841,2.06656,2.09149,344215.98594579,0
ZION.US,D,19901024,000000,2.10841,2.10841,2.09149,2.10841,121438.0234398,0
ZION.US,D,19901025,000000,2.09149,2.13356,2.09149,2.10841,86051.696349629,0
ZION.US,D,19901026,000000,2.10841,2.19225,2.10841,2.13356,174021.1956639,0
ZION.US,D,19901029,000000,2.13356,2.17523,2.10841,2.14148,128124.7767403,0
ZION.US,D,19901030,000000,2.17523,2.17523,2.10841,2.10841,30597.953376743,0
ZION.US,D,19901031,000000,2.17523,2.17523,2.13356,2.13356,21035.517912306,0
ZION.US,D,19901101,000000,2.13356,2.20878,2.13356,2.15019,253382.04958091,0
ZION.US,D,19901102,000000,2.15019,2.20878,2.15019,2.20878,32511.667209267,0
ZION.US,D,19901106,000000,2.17523,2.19225,2.17523,2.19225,28682.194978159,0
ZION.US,D,19901107,000000,2.23392,2.25084,2.19225,2.19225,66931.936835906,0
ZION.US,D,19901108,000000,2.19225,2.2259,2.19225,2.2259,13387.818563424,0
ZION.US,D,19901109,000000,2.19225,2.27569,2.19225,2.27569,22947.187178769,0
ZION.US,D,19901112,000000,2.23392,2.31756,2.23392,2.25084,65018.223003382,0
ZION.US,D,19901113,000000,2.33408,2.43464,2.33408,2.41782,153941.51238483,0
ZION.US,D,19901114,000000,2.35952,2.39279,2.35952,2.39279,3827.4276650471,0
ZION.US,D,19901115,000000,2.36813,2.36813,2.33408,2.33408,47809.110473092,0
ZION.US,D,19901116,000000,2.33408,2.37605,2.33408,2.33408,18169.036295642,0
ZION.US,D,19901119,000000,2.37605,2.39279,2.37605,2.39279,2862.3924845438,0
