<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZJK.US,D,20240930,000000,5.5,6,5,5,1090400,0
ZJK.US,D,20241001,000000,4.75,5.5,4.61,5,196720,0
ZJK.US,D,20241002,000000,4.88,5.51,4.6,5.17,431977,0
ZJK.US,D,20241003,000000,5.18,5.2,4.81,4.96,51538,0
ZJK.US,D,20241004,000000,4.8071,5.1895,4.7736,5,30995,0
ZJK.US,D,20241007,000000,4.8,6.8,4.78,6.8,823883,0
ZJK.US,D,20241008,000000,4.7,5.25,4.53,4.92,368393,0
ZJK.US,D,20241009,000000,4.85,5.0399,4.64,4.75,243541,0
ZJK.US,D,20241010,000000,4.59,4.87,4.44,4.44,96995,0
ZJK.US,D,20241011,000000,4.5,4.7,4.31,4.46,44108,0
ZJK.US,D,20241014,000000,4.35,4.68,4.3201,4.65,95472,0
ZJK.US,D,20241015,000000,4.66,4.83,4.5201,4.58,131132,0
ZJK.US,D,20241016,000000,4.83,4.83,4.39,4.44,106397,0
ZJK.US,D,20241017,000000,4.401,4.47,4,4.03,113594,0
ZJK.US,D,20241018,000000,4.2047,4.74,4.07,4.66,78911,0
ZJK.US,D,20241021,000000,4.51,4.75,4.4,4.591,33360,0
ZJK.US,D,20241022,000000,4.74,5.4,4.43,5.25,80298,0
ZJK.US,D,20241023,000000,5.09,5.5,4.965,5.2001,35783,0
ZJK.US,D,20241024,000000,5.2,5.3,4.82,4.99,72117,0
ZJK.US,D,20241025,000000,4.9,5.04,4.8,4.93,7750,0
ZJK.US,D,20241028,000000,4.81,4.8201,4.49,4.49,35275,0
ZJK.US,D,20241029,000000,4.68,5.05,4.68,5.03,23719,0
ZJK.US,D,20241030,000000,5.16,5.16,4.62,4.64,27183,0
ZJK.US,D,20241031,000000,4.9,4.95,4.52,4.65,16629,0
ZJK.US,D,20241101,000000,4.85,4.85,4.5662,4.6,26252,0
ZJK.US,D,20241104,000000,4.575,4.85,4.5,4.63,25651,0
ZJK.US,D,20241105,000000,4.8,5.15,4.5328,4.86,52330,0
ZJK.US,D,20241106,000000,4.8545,5.0002,4.81,4.83,21177,0
ZJK.US,D,20241107,000000,4.965,5.1,4.2831,5,136670,0
ZJK.US,D,20241108,000000,4.7957,5.01,4.43,4.43,68768,0
ZJK.US,D,20241111,000000,4.8377,4.99,4.8001,4.8001,17136,0
ZJK.US,D,20241112,000000,4.88,5.25,4.8,5.23,27575,0
ZJK.US,D,20241113,000000,5.09,5.39,4.9854,5.2,13830,0
ZJK.US,D,20241114,000000,5,5.09,4.97,4.98,36069,0
ZJK.US,D,20241115,000000,4.9,4.96,4.5,4.54,69559,0
ZJK.US,D,20241118,000000,4.92,5.02,4.8,4.88,20900,0
ZJK.US,D,20241119,000000,4.75,4.99,4.68,4.81,39717,0
ZJK.US,D,20241120,000000,4.7,5.34,4.6698,5.3,17342,0
ZJK.US,D,20241121,000000,5.37,5.39,5.17,5.39,12853,0
ZJK.US,D,20241122,000000,5.39,5.44,5.1001,5.22,11556,0
ZJK.US,D,20241125,000000,5.27,6.6,5.27,6.46,41746,0
ZJK.US,D,20241126,000000,6.67,6.67,6,6.06,19000,0
ZJK.US,D,20241127,000000,6.5,6.8,6.25,6.7833,8603,0
ZJK.US,D,20241129,000000,6.86,7.43,6.552,6.58,9301,0
ZJK.US,D,20241202,000000,6.9201,6.96,6.34,6.34,14897,0
ZJK.US,D,20241203,000000,18.2,30.4999,11.52,17.26,28212346,0
ZJK.US,D,20241204,000000,15,15.9899,13.2,13.65,2282027,0
ZJK.US,D,20241205,000000,11.61,11.9299,10.01,10.09,1248401,0
ZJK.US,D,20241206,000000,10.7,19.33,10.51,14.09,10019241,0
ZJK.US,D,20241209,000000,14.1,15.59,12.2,14.22,858241,0
ZJK.US,D,20241210,000000,13.45,14.4,12,12.45,425060,0
ZJK.US,D,20241211,000000,12.51,13.88,11.11,11.6,449608,0
ZJK.US,D,20241212,000000,12.7,12.9699,11.63,12.4,344011,0
ZJK.US,D,20241213,000000,12.63,12.63,11.05,11.44,272000,0
ZJK.US,D,20241216,000000,11.5,11.98,11,11.03,237460,0
ZJK.US,D,20241217,000000,11,11.5399,10,10,321343,0
ZJK.US,D,20241218,000000,9.51,9.96,8.03,8.56,381725,0
ZJK.US,D,20241219,000000,8.15,8.4758,7.14,7.48,384617,0
ZJK.US,D,20241220,000000,7.48,8,7.2,7.46,217662,0
ZJK.US,D,20241223,000000,7.2,8.6699,7.0026,8.5,308212,0
ZJK.US,D,20241224,000000,8.11,8.5,7.95,8.21,104843,0
ZJK.US,D,20241226,000000,8.42,10.15,8.231,10.12,250245,0
ZJK.US,D,20241227,000000,10.35,10.35,8.84,8.885,160708,0
