<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZJYL.US,D,20230328,000000,8,10.29,7.55,7.95,320400,0
ZJYL.US,D,20230329,000000,7.8,7.934,7.4,7.934,82345,0
ZJYL.US,D,20230330,000000,7.85,7.9823,7.444,7.65,9714,0
ZJYL.US,D,20230331,000000,7.42,7.74,7.38,7.45,18981,0
ZJYL.US,D,20230403,000000,7.46,7.77,7.38,7.5,82232,0
ZJYL.US,D,20230404,000000,7.4143,7.95,6.21,7.29,72328,0
ZJYL.US,D,20230405,000000,7.17,7.48,6.825,7.48,43789,0
ZJYL.US,D,20230406,000000,7.26,7.66,7,7.35,39515,0
ZJYL.US,D,20230410,000000,7.5,7.5,6.915,7.33,21921,0
ZJYL.US,D,20230411,000000,7.17,7.48,6.86,7.38,144122,0
ZJYL.US,D,20230412,000000,7.04,7.31,6.77,7,35495,0
ZJYL.US,D,20230413,000000,7,7,7,7,246,0
ZJYL.US,D,20230414,000000,6.7715,6.99,6.7715,6.99,1765,0
ZJYL.US,D,20230417,000000,7.14,7.75,7.14,7.75,51796,0
ZJYL.US,D,20230418,000000,7.75,7.8,7,7.6,19333,0
ZJYL.US,D,20230419,000000,7.31,7.7,7.04,7.44,4058,0
ZJYL.US,D,20230420,000000,6.65,8.19,6.65,7.6,14192,0
ZJYL.US,D,20230421,000000,7.56,7.56,7.31,7.32,1022,0
ZJYL.US,D,20230424,000000,7.63,7.63,7.38,7.48,1333,0
ZJYL.US,D,20230425,000000,7.19,7.65,7.17,7.42,1988,0
ZJYL.US,D,20230426,000000,7.3,7.59,7.1,7.38,18251,0
ZJYL.US,D,20230427,000000,7.15,7.23,6.69,7.15,6168,0
ZJYL.US,D,20230428,000000,7.1,7.68,7.05,7.63,4435,0
ZJYL.US,D,20230501,000000,8,9.75,7.6,9.6,446727,0
ZJYL.US,D,20230502,000000,9.41,9.42,5.4,5.88,202698,0
ZJYL.US,D,20230503,000000,5.41,5.95,5.15,5.5,44383,0
ZJYL.US,D,20230504,000000,5.1,5.7802,5.05,5.6,27468,0
ZJYL.US,D,20230505,000000,5.6,6.35,5.3,5.7,70142,0
ZJYL.US,D,20230508,000000,5.9,5.9,5.06,5.5999,63553,0
ZJYL.US,D,20230509,000000,5.35,5.8259,5.25,5.6979,41829,0
ZJYL.US,D,20230510,000000,5.68,5.75,5.45,5.59,28013,0
ZJYL.US,D,20230511,000000,5.62,6.2,5.5401,5.5401,53259,0
ZJYL.US,D,20230512,000000,5.55,5.695,5.3501,5.5679,14309,0
ZJYL.US,D,20230515,000000,5.41,5.7899,5.2,5.58,30931,0
ZJYL.US,D,20230516,000000,5.55,5.68,5.3,5.58,9523,0
ZJYL.US,D,20230517,000000,5.4,5.61,5.2823,5.5572,5934,0
ZJYL.US,D,20230518,000000,5.28,5.6,5.26,5.4,15438,0
ZJYL.US,D,20230519,000000,5.5,5.5,4.84,5.4,14062,0
ZJYL.US,D,20230522,000000,5.3,5.39,5.01,5.37,15128,0
ZJYL.US,D,20230523,000000,5.189,5.4499,5.1001,5.4499,9589,0
ZJYL.US,D,20230524,000000,5.43,7.04,5.4,5.97,77293,0
ZJYL.US,D,20230525,000000,5.4,5.8494,5.35,5.5,18138,0
ZJYL.US,D,20230526,000000,5.6,5.9343,5.31,5.7,24425,0
ZJYL.US,D,20230530,000000,5.88,6.47,5.62,5.6752,12617,0
ZJYL.US,D,20230531,000000,6.09,6.362,5.47,5.7217,18173,0
ZJYL.US,D,20230601,000000,5.95,6.5,5.95,6.45,16286,0
ZJYL.US,D,20230602,000000,6.05,6.55,6.002,6.55,12023,0
ZJYL.US,D,20230605,000000,6.55,6.74,6.14,6.72,5759,0
ZJYL.US,D,20230606,000000,6.72,7.9965,6.55,7.65,36859,0
ZJYL.US,D,20230607,000000,7.28,8.97,7.198,8.019,95367,0
ZJYL.US,D,20230608,000000,7.7,8.47,7.7,8.24,23054,0
ZJYL.US,D,20230609,000000,8.01,8.8,7.96,8.53,50250,0
ZJYL.US,D,20230612,000000,8.53,20.8,8.52,13.2,5690432,0
ZJYL.US,D,20230613,000000,10.56,11.2099,8.75,9.11,342697,0
ZJYL.US,D,20230614,000000,8.57,9.13,8.15,8.87,89190,0
