<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZKIN.US,D,20170901,000000,53.27,60.76,52.5,59.15,42906.28572715761,0
ZKIN.US,D,20170905,000000,64.12,67.55,61.6,66.395,21348.000006404403,0
ZKIN.US,D,20170906,000000,69.58,73.5,66.5,71.89,24502.857150208,0
ZKIN.US,D,20170907,000000,73.15,73.5,59.5,62.02,25257.14286472,0
ZKIN.US,D,20170908,000000,62.16,62.16,57.1907,58.24,9379.5714313853,0
ZKIN.US,D,20170911,000000,58.8,62.58,54.46,55.44,6772.0000020316,0
ZKIN.US,D,20170912,000000,54.95,56.77,54.95,55.37,4237.714286985601,0
ZKIN.US,D,20170913,000000,56,57.68,56,56,5243.7142872874,0
ZKIN.US,D,20170914,000000,56.0707,57.4,55.44,55.44,4794.1428585811,0
ZKIN.US,D,20170915,000000,57.19,57.19,55.3,57.05,6724.857144874601,0
ZKIN.US,D,20170918,000000,57.12,57.19,55.65,56.7,3428.4285724571005,0
ZKIN.US,D,20170919,000000,56.49,57.82,55.65,57.82,3505.0000010515005,0
ZKIN.US,D,20170920,000000,58.59,62.79,58.38,59.43,7313.7142879084,0
ZKIN.US,D,20170921,000000,59.78,59.78,58.8,59.36,1294.4285718169,0
ZKIN.US,D,20170922,000000,59.78,60.2,58.226,58.45,3655.5714296681003,0
ZKIN.US,D,20170925,000000,59.43,60.34,57.82,58.94,4652.5714299672,0
ZKIN.US,D,20170926,000000,59.22,59.22,57.82,58.59,943.4285717116001,0
ZKIN.US,D,20170927,000000,58.03,61.278,57.89,59.99,6094.8571446856,0
ZKIN.US,D,20170928,000000,60.9,60.9,59.71,60.34,861.7142859728001,0
ZKIN.US,D,20170929,000000,60.2007,60.76,60.2,60.305,730.1428573619,0
ZKIN.US,D,20171002,000000,61.32,61.46,60.34,60.55,1520.4285718847002,0
ZKIN.US,D,20171003,000000,60.557,61.25,58.8,59.5,2684.0000008052,0
ZKIN.US,D,20171004,000000,59.57,60.13,58.87,59.08,2199.1428578026002,0
ZKIN.US,D,20171005,000000,58.8,60.053,58.8,59.5,1132.4285717683001,0
ZKIN.US,D,20171006,000000,60.13,61.39,59.5,60.83,3703.2857153967,0
ZKIN.US,D,20171009,000000,61.46,62.79,60.2,61.11,10214.285717350002,0
ZKIN.US,D,20171010,000000,61.11,65.94,60.9,64.75,28064.000008419203,0
ZKIN.US,D,20171011,000000,66.01,66.01,62.16,65.31,21937.7142922956,0
ZKIN.US,D,20171012,000000,66.08,66.08,63.98,65.87,6766.428573458501,0
ZKIN.US,D,20171013,000000,66.3334,71.4,65.59,69.09,42541.142869905205,0
ZKIN.US,D,20171016,000000,71.61,71.61,61.8835,62.1362,8422.857145384001,0
ZKIN.US,D,20171017,000000,65.1,66.43,54.88,56.77,16664.285719285002,0
ZKIN.US,D,20171018,000000,58.59,60.333,52.5,56,16345.857147760902,0
ZKIN.US,D,20171019,000000,56.63,58.45,53.2,57.12,4304.8571441486,0
ZKIN.US,D,20171020,000000,57.61,59.36,57.05,57.61,2979.0000008937004,0
ZKIN.US,D,20171023,000000,59.92,60.69,53.62,55.16,5936.285716066601,0
ZKIN.US,D,20171024,000000,54.95,55.93,53.9,54.32,3797.1428582820004,0
ZKIN.US,D,20171025,000000,53.83,54.285,47.04,47.67,6155.714287561001,0
ZKIN.US,D,20171026,000000,47.25,50.2936,47.18,48.16,4579.5714299453,0
ZKIN.US,D,20171027,000000,47.74,48.293,46.9,47.88,3057.8571437745004,0
ZKIN.US,D,20171030,000000,48.664,48.664,47.6,48.3,1189.1428574996,0
