<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZLAB.US,D,20170920,000000,24.25,30,23.8,27.93,5029142,0
ZLAB.US,D,20170921,000000,28.18,32.64,28,31.11,1322409,0
ZLAB.US,D,20170922,000000,31.19,31.19,27.1,27.73,759244,0
ZLAB.US,D,20170925,000000,27.61,27.8549,26.62,27.01,364965,0
ZLAB.US,D,20170926,000000,27.21,28.8,26.73,27.55,394482,0
ZLAB.US,D,20170927,000000,28.09,28.98,27.41,27.62,351787,0
ZLAB.US,D,20170928,000000,26.75,27.2,26.75,27.03,229998,0
ZLAB.US,D,20170929,000000,27.15,27.1501,26.1,27,374039,0
ZLAB.US,D,20171002,000000,26.93,26.93,26.2,26.41,149397,0
ZLAB.US,D,20171003,000000,27.05,27.85,26.22,26.97,156145,0
ZLAB.US,D,20171004,000000,27.09,27.4,26.875,27.1,157704,0
ZLAB.US,D,20171005,000000,27.16,27.2,26.37,26.89,112341,0
ZLAB.US,D,20171006,000000,26.63,28.95,26.63,28.45,138746,0
ZLAB.US,D,20171009,000000,28.39,30.85,28.21,30.77,249149,0
ZLAB.US,D,20171010,000000,30.86,32.85,30.45,32.62,350326,0
ZLAB.US,D,20171011,000000,33.7,34.83,32.539,34.09,320978,0
ZLAB.US,D,20171012,000000,35.5,35.74,31.5601,32.63,312132,0
ZLAB.US,D,20171013,000000,33.5875,33.5875,30.85,32.19,119666,0
ZLAB.US,D,20171016,000000,31.57,32.4584,30.49,31.99,177833,0
ZLAB.US,D,20171017,000000,31.85,32.4191,30.611,30.84,141484,0
ZLAB.US,D,20171018,000000,30.62,31.12,28.6,28.64,271140,0
ZLAB.US,D,20171019,000000,28.56,28.56,27,27.59,275115,0
ZLAB.US,D,20171020,000000,27.7,28.47,27.7,28.24,203382,0
ZLAB.US,D,20171023,000000,28.42,28.719,26.11,26.46,193160,0
ZLAB.US,D,20171024,000000,26.43,27.34,26.43,26.98,295601,0
ZLAB.US,D,20171025,000000,27.02,27.2,26.33,27.07,157440,0
ZLAB.US,D,20171026,000000,27.13,27.13,26.6242,27.09,119379,0
ZLAB.US,D,20171027,000000,26.87,27.275,26.511,26.87,240190,0
ZLAB.US,D,20171030,000000,26.84,27.3699,26.78,27.09,249998,0
ZLAB.US,D,20171031,000000,27.28,27.48,26.82,27.01,92027,0
ZLAB.US,D,20171101,000000,27.13,28.52,27.11,27.99,77354,0
ZLAB.US,D,20171102,000000,27.78,30.16,27.0884,29.07,150019,0
ZLAB.US,D,20171103,000000,29.18,29.42,27.6,28,120058,0
ZLAB.US,D,20171106,000000,27.99,28.0451,27.84,27.91,43172,0
ZLAB.US,D,20171107,000000,28.41,28.41,26.77,27,73265,0
ZLAB.US,D,20171108,000000,27.28,27.72,26.81,27.03,108314,0
ZLAB.US,D,20171109,000000,27.52,27.52,27,27.03,82507,0
ZLAB.US,D,20171110,000000,26.96,28.43,26.96,27.78,20502,0
ZLAB.US,D,20171113,000000,28.02,28.02,27.15,27.39,39234,0
ZLAB.US,D,20171114,000000,27.31,28,26.5,26.85,80650,0
ZLAB.US,D,20171115,000000,26.65,27.615,26.16,26.2,183797,0
ZLAB.US,D,20171116,000000,26.4,27.13,24.39,24.62,140337,0
ZLAB.US,D,20171117,000000,24.65,26,24.65,25,76523,0
ZLAB.US,D,20171120,000000,25.07,25.9999,24.4,24.66,37208,0
ZLAB.US,D,20171121,000000,24.81,27.825,24.5852,25.68,162460,0
ZLAB.US,D,20171122,000000,25.7,27.2399,25.7,26.84,85160,0
ZLAB.US,D,20171124,000000,27.01,27.0286,26.5,26.8,17744,0
ZLAB.US,D,20171127,000000,27,27.1899,25.8,26.72,87024,0
ZLAB.US,D,20171128,000000,26.49,26.6699,25.1,25.8815,76200,0
ZLAB.US,D,20171129,000000,25.53,26.5,25.001,25.4,77194,0
ZLAB.US,D,20171130,000000,25.41,26.29,25.2,26.11,42251,0
ZLAB.US,D,20171201,000000,26.04,26.48,25,25.92,53040,0
ZLAB.US,D,20171204,000000,25.95,27.11,25.75,27.11,44075,0
ZLAB.US,D,20171205,000000,27.2,27.2,25.33,25.73,60063,0
ZLAB.US,D,20171206,000000,25.54,26.43,25.54,25.74,42949,0
ZLAB.US,D,20171207,000000,25.83,26.34,25.4,25.55,73205,0
ZLAB.US,D,20171208,000000,25.37,26.38,25.12,25.49,94895,0
ZLAB.US,D,20171211,000000,25.05,26.1,25.05,25.285,55616,0
ZLAB.US,D,20171212,000000,25.25,26,25.02,25.63,41661,0
ZLAB.US,D,20171213,000000,26,26,25.26,25.45,39254,0
ZLAB.US,D,20171214,000000,25.5,25.684,25.06,25.21,23083,0
ZLAB.US,D,20171215,000000,25.17,26,24.75,24.95,92997,0
ZLAB.US,D,20171218,000000,25.08,25.7488,23.51,23.89,152752,0
