<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZM.US,D,20190418,000000,65,66,60.321,62,25764659,0
ZM.US,D,20190422,000000,61,68.9,59.94,65.7,9949738,0
ZM.US,D,20190423,000000,66.87,74.169,65.55,69,6786513,0
ZM.US,D,20190424,000000,71.4,71.5,63.16,63.2,4973529,0
ZM.US,D,20190425,000000,64.74,66.85,62.6,65.02,3863275,0
ZM.US,D,20190426,000000,66.12,66.99,63.6,66.22,1527450,0
ZM.US,D,20190429,000000,66.53,68.5,64.75,68.17,1822349,0
ZM.US,D,20190430,000000,68.4,72.52,66.67,72.47,4113123,0
ZM.US,D,20190501,000000,72.72,76.95,70.8159,72.76,3301900,0
ZM.US,D,20190502,000000,72.75,75.89,69.6912,75.5,2525285,0
ZM.US,D,20190503,000000,75,80.25,75,79.18,2590281,0
ZM.US,D,20190506,000000,75.01,80.79,74.5,78.24,2051824,0
ZM.US,D,20190507,000000,77.85,78.05,73.25,73.33,1975220,0
ZM.US,D,20190508,000000,74.61,78.5,74.03,77.68,2265503,0
ZM.US,D,20190509,000000,76.85,76.99,74,75.21,1348243,0
ZM.US,D,20190510,000000,75.79,79.74,74.77,79.63,1555091,0
ZM.US,D,20190513,000000,77.39,77.39,70.6,72.54,2873222,0
ZM.US,D,20190514,000000,74.12,76.8851,73.11,73.14,1950421,0
ZM.US,D,20190515,000000,73.4,80,72.21,79.76,2426504,0
ZM.US,D,20190516,000000,80.12,87.55,79.25,83.4,4580684,0
ZM.US,D,20190517,000000,82.25,90.28,81.88,89.98,3442549,0
ZM.US,D,20190520,000000,90.1,91.46,83.27,84.67,3666775,0
ZM.US,D,20190521,000000,86.63,89.7,84.5,85.44,2576024,0
ZM.US,D,20190522,000000,84.63,85.7,82,82.43,1596424,0
ZM.US,D,20190523,000000,81.25,81.5,77.26,78.76,2855970,0
ZM.US,D,20190524,000000,80.48,81.2499,74.2,76.25,2946767,0
ZM.US,D,20190528,000000,76.8,79.39,76.8,77.77,1641491,0
ZM.US,D,20190529,000000,77,77.93,73.5831,75.77,1512129,0
ZM.US,D,20190530,000000,76.68,80.97,76.6,80.42,1996030,0
ZM.US,D,20190531,000000,78.77,83.17,77.78,79.73,1594298,0
ZM.US,D,20190603,000000,80,81.94,75.65,75.9,1570466,0
ZM.US,D,20190604,000000,78.2,78.88,76.62,78.74,1134900,0
ZM.US,D,20190605,000000,80.14,80.6,76.24,78.04,1295760,0
ZM.US,D,20190606,000000,77.4,79.75,77.03,79.43,3024047,0
ZM.US,D,20190607,000000,93.66,98.8896,92.5,94.05,9487775,0
ZM.US,D,20190610,000000,98.51,105.985,96,102,4852773,0
ZM.US,D,20190611,000000,101,101.2,91.57,94.87,4372431,0
ZM.US,D,20190612,000000,94.6,104.185,94,102.77,3156886,0
ZM.US,D,20190613,000000,105.1,105.172,98.55,100.95,3189094,0
ZM.US,D,20190614,000000,100.47,104.57,99.25,100.29,1889325,0
ZM.US,D,20190617,000000,101,102.447,97,98.11,2128508,0
ZM.US,D,20190618,000000,100.39,102,97.51,99.64,2272387,0
ZM.US,D,20190619,000000,100.49,104.445,98.63,102.39,2592675,0
ZM.US,D,20190620,000000,105.01,107.34,101.621,102.3,2460733,0
ZM.US,D,20190621,000000,101.42,101.532,97.82,100.47,2972517,0
ZM.US,D,20190624,000000,100.85,101.5,88.88,89.41,6011186,0
ZM.US,D,20190625,000000,89.43,91.5,84.63,85.03,3748955,0
ZM.US,D,20190626,000000,87.92,89.08,84.605,86.33,2680016,0
ZM.US,D,20190627,000000,89.7,92.33,87.8,90.27,3019517,0
ZM.US,D,20190628,000000,91.76,92.2,87.25,88.79,3228290,0
ZM.US,D,20190701,000000,85.13,87.79,83.1,86.86,5326805,0
ZM.US,D,20190702,000000,86.27,86.85,84,85.13,1868892,0
ZM.US,D,20190703,000000,85.45,90.6,84.51,90.45,2706066,0
ZM.US,D,20190705,000000,90.14,91.97,88,91.88,2582697,0
ZM.US,D,20190708,000000,91.44,92.79,89.89,90.76,1793297,0
ZM.US,D,20190709,000000,90.27,91.27,89.1,90.93,1557350,0
ZM.US,D,20190710,000000,91.76,93.45,91.55,92.72,2059621,0
ZM.US,D,20190711,000000,92.9,93.2,90.452,91.4,1784559,0
ZM.US,D,20190712,000000,93.01,94.93,91.37,93.3,2689652,0
ZM.US,D,20190715,000000,94,100.65,93.78,99.8,3835592,0
ZM.US,D,20190716,000000,100.14,100.5,96.5,97.1,2120142,0
ZM.US,D,20190717,000000,97.62,101.987,97.5401,99.73,2314102,0
ZM.US,D,20190718,000000,99.24,99.5,95.0164,95.19,2035569,0
ZM.US,D,20190719,000000,97.15,97.79,92.88,93.38,1747704,0
ZM.US,D,20190722,000000,94.19,97.465,93.505,96.67,1483400,0
ZM.US,D,20190723,000000,97.5,98.15,93.52,97.39,2241650,0
ZM.US,D,20190724,000000,97.12,97.88,94.685,95.94,1283718,0
ZM.US,D,20190725,000000,95.84,99.6,95.75,97.11,1870276,0
ZM.US,D,20190726,000000,97.95,104.49,97.83,102.2,3040689,0
ZM.US,D,20190729,000000,102.6,102.998,92.1,96.47,4230283,0
ZM.US,D,20190730,000000,95.19,99.35,94.03,95.49,1635487,0
ZM.US,D,20190731,000000,96.43,97.5,93.5,95.51,1514734,0
ZM.US,D,20190801,000000,95.75,98.66,93.8,95.1,1530366,0
ZM.US,D,20190802,000000,94.92,96,92.5658,93.66,1117100,0
ZM.US,D,20190805,000000,90.7,91.19,87.29,89.69,1774360,0
ZM.US,D,20190806,000000,91.5,92.2899,88.1,90.43,1028654,0
ZM.US,D,20190807,000000,89.02,93.16,88.0201,92.45,996134,0
ZM.US,D,20190808,000000,93.57,95.84,93.0201,95.77,925610,0
ZM.US,D,20190809,000000,94.79,95.49,93.31,94.2,802311,0
ZM.US,D,20190812,000000,92.9,94.18,91.11,92.16,779341,0
ZM.US,D,20190813,000000,92.06,96.2228,92.06,95.45,1172874,0
ZM.US,D,20190814,000000,93.2,94.5215,89.89,92.65,1265666,0
ZM.US,D,20190815,000000,92.77,93.44,89.69,90.64,1085845,0
ZM.US,D,20190816,000000,92.12,95,92.0801,92.53,1267686,0
ZM.US,D,20190819,000000,94.18,96.2,92.89,93.17,1226647,0
ZM.US,D,20190820,000000,93,93.57,91.14,91.41,746950,0
ZM.US,D,20190821,000000,92.86,94.1805,92.3539,93.01,760434,0
ZM.US,D,20190822,000000,93.48,95.5,91.57,93.87,883145,0
ZM.US,D,20190823,000000,93.14,94.1296,90.41,91.63,1373215,0
ZM.US,D,20190826,000000,92.33,93.5,91.45,91.76,698857,0
ZM.US,D,20190827,000000,92.6,93.69,90.44,91.73,890671,0
ZM.US,D,20190828,000000,91.16,91.38,88.7111,90.16,1148489,0
ZM.US,D,20190829,000000,91.5,92.68,90.7,90.87,851973,0
ZM.US,D,20190830,000000,91.82,92.42,89.02,91.67,1186951,0
ZM.US,D,20190903,000000,91.5,94.24,90.75,92.46,1540324,0
ZM.US,D,20190904,000000,93.95,96,93.1801,93.53,2418109,0
ZM.US,D,20190905,000000,94.24,94.38,88.51,92.69,5055702,0
ZM.US,D,20190906,000000,92,96.5,84.86,85.41,7289700,0
ZM.US,D,20190909,000000,85.7,85.94,77.2,78.65,6713802,0
ZM.US,D,20190910,000000,77,81.2206,76.81,80.35,2813163,0
ZM.US,D,20190911,000000,80,81.86,78.5,80.71,2013599,0
ZM.US,D,20190912,000000,81.45,82.65,79.9,81.53,1955107,0
ZM.US,D,20190913,000000,81.57,82.4755,78.27,78.85,1416802,0
