<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZMUN.US,D,20251001,000000,50.09,50.09,50.06,50.07,24781,0
ZMUN.US,D,20251002,000000,50.081,50.105,50.0582,50.06,22490,0
ZMUN.US,D,20251003,000000,50.05,50.0893,50.05,50.075,10742,0
ZMUN.US,D,20251006,000000,50.05,50.05,50.0335,50.05,605,0
ZMUN.US,D,20251007,000000,50.04,50.055,50.035,50.05,60608,0
ZMUN.US,D,20251008,000000,50.05,50.05,50.05,50.05,1400,0
ZMUN.US,D,20251009,000000,50.04,50.06,50.04,50.05,301,0
ZMUN.US,D,20251010,000000,50.07,50.08,50.07,50.075,773,0
ZMUN.US,D,20251013,000000,50.1,50.1,50.065,50.065,1018,0
ZMUN.US,D,20251014,000000,50.03,50.065,50.03,50.05,24069,0
ZMUN.US,D,20251015,000000,50.12,50.12,50.12,50.12,3706,0
