<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZNB.US,D,20080616,000000,3000000,3120000,3000000,3000000,0.00062,0
ZNB.US,D,20080911,000000,3120000,3120000,3120000,3120000,0.00017,0
ZNB.US,D,20081002,000000,3120000,3120000,3120000,3120000,0.00017,0
ZNB.US,D,20081003,000000,3120000,3120000,3120000,3120000,0.0000899999,0
ZNB.US,D,20081009,000000,2772000,2772000,2772000,2772000,0.0000899999,0
ZNB.US,D,20081023,000000,2760000,3240000,2760000,3240000,0.00033,0
ZNB.US,D,20081110,000000,3300000,3300000,3300000,3300000,0.00017,0
ZNB.US,D,20081223,000000,3300000,3300000,3300000,3300000,0.00037,0
ZNB.US,D,20090129,000000,2760000,2760000,1212000,1212000,0.0025,0
ZNB.US,D,20090130,000000,1320000,1320000,1320000,1320000,0.00083,0
ZNB.US,D,20090204,000000,2160000,2160000,2160000,2160000,0.00183,0
ZNB.US,D,20090205,000000,2160000,2160000,2160000,2160000,0.00067,0
ZNB.US,D,20090206,000000,2160000,2160000,2160000,2160000,0.00042,0
ZNB.US,D,20090210,000000,2340000,2340000,2340000,2340000,0.00083,0
ZNB.US,D,20090212,000000,1740000,1740000,1740000,1740000,0.00042,0
ZNB.US,D,20090213,000000,1740000,1740000,1740000,1740000,0.00083,0
ZNB.US,D,20090310,000000,1740000,1740000,1740000,1740000,0.00125,0
ZNB.US,D,20090311,000000,1740000,1740000,1740000,1740000,0.001,0
ZNB.US,D,20090318,000000,1740000,1740000,1740000,1740000,0.00017,0
ZNB.US,D,20090319,000000,1740000,1740000,1740000,1740000,0.00008,0
ZNB.US,D,20090323,000000,1740000,1740000,1740000,1740000,0.00008,0
ZNB.US,D,20090324,000000,1740000,1740000,1740000,1740000,0.00008,0
ZNB.US,D,20090325,000000,1740000,1740000,1740000,1740000,0.00008,0
ZNB.US,D,20090326,000000,1740000,1740000,1740000,1740000,0.00008,0
ZNB.US,D,20090327,000000,1740000,1740000,1740000,1740000,0.00008,0
ZNB.US,D,20090330,000000,1740000,1920000,1740000,1920000,0.0025,0
ZNB.US,D,20090331,000000,1920000,2160000,1824000,2160000,0.00967,0
ZNB.US,D,20090401,000000,2160000,2160000,2160000,2160000,0.00008,0
ZNB.US,D,20090402,000000,2160000,2160000,2160000,2160000,0.00008,0
ZNB.US,D,20090403,000000,2160000,2160000,2160000,2160000,0.00042,0
ZNB.US,D,20090406,000000,2160000,2160000,2160000,2160000,0.00167,0
ZNB.US,D,20090407,000000,2160000,2160000,2052000,2052000,0.00375,0
ZNB.US,D,20090409,000000,2400000,2400000,2400000,2400000,0.00042,0
ZNB.US,D,20090413,000000,2400000,2400000,2400000,2400000,0.00167,0
ZNB.US,D,20090414,000000,2700000,2700000,2472000,2472000,0.00833,0
ZNB.US,D,20090416,000000,2640000,2640000,2508000,2508000,0.00333,0
ZNB.US,D,20090421,000000,2640000,2640000,2640000,2640000,0.00133,0
ZNB.US,D,20090422,000000,2700000,2700000,2640000,2640000,0.00167,0
ZNB.US,D,20090424,000000,3000000,3000000,2856000,2856000,0.00349999,0
ZNB.US,D,20090427,000000,3000000,3000000,2760000,2760000,0.00187,0
ZNB.US,D,20090428,000000,2760000,2760000,2760000,2760000,0.00025,0
ZNB.US,D,20090430,000000,3000000,3000000,2796000,2940000,0.005,0
ZNB.US,D,20090501,000000,3300000,3300000,3300000,3300000,0.00042,0
ZNB.US,D,20090504,000000,3324000,3324000,3132000,3132000,0.00258,0
ZNB.US,D,20090505,000000,3240000,3420000,3240000,3240000,0.00217,0
ZNB.US,D,20090506,000000,3240000,3240000,3180000,3180000,0.00117,0
ZNB.US,D,20090508,000000,3180000,3180000,3180000,3180000,0.0005,0
ZNB.US,D,20090512,000000,1212000,3240000,1212000,2940000,0.00308,0
ZNB.US,D,20090514,000000,3000000,3000000,3000000,3000000,0.00008,0
ZNB.US,D,20090515,000000,3000000,3360000,3000000,3360000,0.00233,0
ZNB.US,D,20090518,000000,3360000,3360000,3000000,3360000,0.00767,0
ZNB.US,D,20090519,000000,3360000,3360000,3360000,3360000,0.00375,0
ZNB.US,D,20090520,000000,3000000,3360000,2940000,3360000,0.00667,0
ZNB.US,D,20090521,000000,3360000,3540000,3360000,3540000,0.00233,0
ZNB.US,D,20090522,000000,3540000,3540000,3540000,3540000,0.00008,0
ZNB.US,D,20090526,000000,2640000,3000000,2388000,3000000,0.00342,0
ZNB.US,D,20090527,000000,2736000,3204000,2736000,3204000,0.00292,0
ZNB.US,D,20090528,000000,3192000,3192000,3192000,3192000,0.00083,0
ZNB.US,D,20090529,000000,3180000,3420000,2640000,2640000,0.00325,0
ZNB.US,D,20090601,000000,2664000,2664000,2640000,2640000,0.00233,0
ZNB.US,D,20090602,000000,3360000,3480000,3360000,3360000,0.00117,0
ZNB.US,D,20090603,000000,3000000,4200000,2640000,4200000,0.00409999,0
ZNB.US,D,20090604,000000,4680000,4680000,4200000,4200000,0.0005,0
ZNB.US,D,20090605,000000,4140000,4260000,3120000,3600000,0.00925,0
ZNB.US,D,20090608,000000,3900000,3900000,3900000,3900000,0.0025,0
ZNB.US,D,20090609,000000,3828000,3828000,3828000,3828000,0.0005,0
ZNB.US,D,20090610,000000,3828000,3828000,3828000,3828000,0.00042,0
ZNB.US,D,20090611,000000,3828000,3828000,3828000,3828000,0.00048,0
ZNB.US,D,20090612,000000,3420000,3828000,3420000,3828000,0.00129,0
ZNB.US,D,20090615,000000,3828000,3828000,3828000,3828000,0.00017,0
ZNB.US,D,20090616,000000,3828000,3828000,3828000,3828000,0.0005,0
ZNB.US,D,20090617,000000,3660000,3660000,3660000,3660000,0.00542,0
ZNB.US,D,20090618,000000,3660000,3660000,3660000,3660000,0.00008,0
ZNB.US,D,20090619,000000,3660000,3660000,3660000,3660000,0.00008,0
ZNB.US,D,20090622,000000,3660000,3660000,3660000,3660000,0.00008,0
ZNB.US,D,20090623,000000,3300000,3300000,3300000,3300000,0.00174999,0
ZNB.US,D,20090624,000000,3360000,3360000,3360000,3360000,0.001,0
ZNB.US,D,20090625,000000,3360000,3360000,3360000,3360000,0.00008,0
ZNB.US,D,20090626,000000,3300000,3900000,3240000,3900000,0.01676,0
