<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZOOZ.US,D,20240408,000000,3.58,4,3.58,3.64,288046,0
ZOOZ.US,D,20240409,000000,3.43,3.62,2.82,3.29,261279,0
ZOOZ.US,D,20240410,000000,3.09,3.51,2.82,2.89,156619,0
ZOOZ.US,D,20240411,000000,3.01,3.34,2.88,3.26,1832057,0
ZOOZ.US,D,20240412,000000,3.13,3.2356,3.0233,3.15,97877,0
ZOOZ.US,D,20240415,000000,3,3.25,2.98,3.04,131596,0
ZOOZ.US,D,20240416,000000,2.96,3.14,2.96,2.98,81853,0
ZOOZ.US,D,20240417,000000,2.98,3.2199,2.97,3.05,93249,0
ZOOZ.US,D,20240418,000000,2.98,3.08,2.9,2.9,96497,0
ZOOZ.US,D,20240419,000000,3,3.025,2.96,2.96,33801,0
ZOOZ.US,D,20240422,000000,2.99,3,2.9,2.975,63783,0
ZOOZ.US,D,20240423,000000,2.8311,3.04,2.8311,2.99,41465,0
ZOOZ.US,D,20240424,000000,3,3,2.9,2.97,44178,0
ZOOZ.US,D,20240425,000000,2.92,2.96,2.64,2.82,22718,0
ZOOZ.US,D,20240426,000000,2.8212,3.0001,2.8212,2.86,39203,0
ZOOZ.US,D,20240429,000000,2.86,2.86,2.67,2.7723,16343,0
ZOOZ.US,D,20240430,000000,2.77,2.97,2.77,2.93,15055,0
ZOOZ.US,D,20240501,000000,2.91,3.0288,2.83,2.88,30531,0
ZOOZ.US,D,20240502,000000,3,3.34,2.965,3.07,76887,0
ZOOZ.US,D,20240503,000000,3.1,3.26,3.05,3.25,57234,0
ZOOZ.US,D,20240506,000000,3.3994,3.4203,3.22,3.3423,56954,0
ZOOZ.US,D,20240507,000000,3.29,3.29,3,3.13,28282,0
ZOOZ.US,D,20240508,000000,3.1,3.1,2.81,2.92,29897,0
ZOOZ.US,D,20240509,000000,2.91,3,2.8875,2.91,8734,0
ZOOZ.US,D,20240510,000000,2.86,2.87,2.65,2.71,47414,0
ZOOZ.US,D,20240513,000000,2.72,2.848,2.62,2.7,45333,0
ZOOZ.US,D,20240514,000000,2.77,2.8693,2.675,2.73,23240,0
ZOOZ.US,D,20240515,000000,2.72,2.72,2.49,2.6,23738,0
ZOOZ.US,D,20240516,000000,2.49,2.72,2.15,2.27,119476,0
ZOOZ.US,D,20240517,000000,2.5004,2.64,2.365,2.44,50997,0
ZOOZ.US,D,20240520,000000,2.5339,2.58,2.3,2.32,45430,0
ZOOZ.US,D,20240521,000000,2.3,2.4616,2.19,2.23,45470,0
ZOOZ.US,D,20240522,000000,2.22,2.6699,2.13,2.41,100777,0
ZOOZ.US,D,20240523,000000,2.32,2.49,2.1701,2.44,124168,0
ZOOZ.US,D,20240524,000000,2.53,2.53,2.02,2.26,33226,0
ZOOZ.US,D,20240528,000000,2.17,2.48,2.15,2.34,54417,0
ZOOZ.US,D,20240529,000000,2.4,3.06,2.39,2.85,107282,0
ZOOZ.US,D,20240530,000000,2.74,2.74,2.5501,2.61,59513,0
ZOOZ.US,D,20240531,000000,2.775,2.833,2.6,2.61,21695,0
ZOOZ.US,D,20240603,000000,2.72,2.8,2.65,2.68,29788,0
ZOOZ.US,D,20240604,000000,2.7,2.7,2.46,2.46,43030,0
ZOOZ.US,D,20240605,000000,2.44,2.65,2.2,2.21,22877,0
ZOOZ.US,D,20240606,000000,2.17,2.3155,2.09,2.2,12973,0
ZOOZ.US,D,20240607,000000,2.14,2.26,2.1,2.26,16552,0
ZOOZ.US,D,20240610,000000,2.29,2.29,2.1517,2.25,10234,0
ZOOZ.US,D,20240611,000000,2.15,2.37,2.03,2.2,65033,0
ZOOZ.US,D,20240612,000000,2.16,2.781,2.16,2.28,111918,0
ZOOZ.US,D,20240613,000000,2.18,2.3,2.1,2.12,26209,0
ZOOZ.US,D,20240614,000000,2.11,2.25,2.11,2.12,11525,0
ZOOZ.US,D,20240617,000000,2.155,2.155,1.81,1.97,27426,0
ZOOZ.US,D,20240618,000000,1.94,2.3,1.785,2.11,51852,0
ZOOZ.US,D,20240620,000000,2.14,2.35,1.9,2.1,37124,0
ZOOZ.US,D,20240621,000000,2,2.3,1.9926,2.12,11526,0
ZOOZ.US,D,20240624,000000,2.05,2.3,2,2.08,38113,0
ZOOZ.US,D,20240625,000000,2.02,2.05,2.02,2.03,659,0
ZOOZ.US,D,20240626,000000,2.105,2.222,2.1,2.19,38948,0
ZOOZ.US,D,20240627,000000,2.19,2.3639,2.11,2.11,860,0
ZOOZ.US,D,20240628,000000,2.1886,2.4,2.1,2.22,35770,0
ZOOZ.US,D,20240701,000000,2.32,2.4219,2.2,2.4,9685,0
ZOOZ.US,D,20240702,000000,2.36,2.5361,2.36,2.52,4500,0
ZOOZ.US,D,20240703,000000,2.4225,2.65,2.41,2.55,65662,0
ZOOZ.US,D,20240705,000000,2.56,2.79,2.56,2.59,53427,0
ZOOZ.US,D,20240708,000000,2.59,2.59,2.4,2.41,5938,0
ZOOZ.US,D,20240709,000000,2.38,2.4,2.18,2.19,20563,0
ZOOZ.US,D,20240710,000000,2.3,2.3,2.09,2.15,27139,0
ZOOZ.US,D,20240711,000000,2.2,2.2,2.0262,2.1,21626,0
ZOOZ.US,D,20240712,000000,2.1999,2.2,2.1,2.1,15883,0
ZOOZ.US,D,20240715,000000,2.19,2.2,2.11,2.12,8982,0
ZOOZ.US,D,20240716,000000,2.11,2.11,2.0088,2.04,5694,0
