<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZSPC.US,D,20241205,000000,5.8,32.69,5.25,22,2651300,0
ZSPC.US,D,20241206,000000,18.6,18.8479,12.07,16.1524,492303,0
ZSPC.US,D,20241209,000000,15.97,22.55,15.97,17.3,250765,0
ZSPC.US,D,20241210,000000,17,17.89,15.18,15.7,115407,0
ZSPC.US,D,20241211,000000,15.5,15.8287,12.24,13.42,130664,0
ZSPC.US,D,20241212,000000,13.48,13.82,11.81,13.0001,66472,0
ZSPC.US,D,20241213,000000,13.38,13.38,11,11.33,61335,0
ZSPC.US,D,20241216,000000,11.7,12.1345,10.85,11.2,62094,0
ZSPC.US,D,20241217,000000,11.16,11.25,9.32,10.22,171485,0
ZSPC.US,D,20241218,000000,10,10.5,8.65,8.76,80371,0
ZSPC.US,D,20241219,000000,8.76,9.7,8.13,8.35,134738,0
ZSPC.US,D,20241220,000000,8.03,8.8,7.03,8.6,165980,0
ZSPC.US,D,20241223,000000,9,9,7.12,7.25,79908,0
ZSPC.US,D,20241224,000000,7.01,8.25,7.01,8.1,83795,0
ZSPC.US,D,20241226,000000,8.3,14.87,8.11,13.9,502712,0
ZSPC.US,D,20241227,000000,14.27,14.5,11.42,13.2,222084,0
ZSPC.US,D,20241230,000000,12,15.9897,11.47,15,118275,0
ZSPC.US,D,20241231,000000,14.97,18.3971,14.855,15.89,172027,0
ZSPC.US,D,20250102,000000,15.79,15.95,11.718,12.25,176846,0
ZSPC.US,D,20250103,000000,13.19,13.4899,10.87,11.67,107446,0
ZSPC.US,D,20250106,000000,11.77,11.8,9.58,10.15,110101,0
ZSPC.US,D,20250107,000000,10.07,12,9.8,11.69,136221,0
ZSPC.US,D,20250108,000000,11.41,11.6582,10.11,11.34,266400,0
ZSPC.US,D,20250110,000000,11.38,11.38,9.83,10.14,103016,0
ZSPC.US,D,20250113,000000,9.6,9.992,8.36,8.7,118616,0
ZSPC.US,D,20250114,000000,9.18,10.95,8.92,10.23,163668,0
ZSPC.US,D,20250115,000000,10.38,12.48,10.01,11.93,74375,0
ZSPC.US,D,20250116,000000,12.5,15.1499,11.56,14.58,136926,0
ZSPC.US,D,20250117,000000,14.9,15.1641,12.2,13.61,124539,0
ZSPC.US,D,20250121,000000,13.6,14.1,12.69,13.21,68403,0
ZSPC.US,D,20250122,000000,13.17,14,12.25,12.89,41176,0
ZSPC.US,D,20250123,000000,11.78,14.64,11.78,13.62,100631,0
ZSPC.US,D,20250124,000000,13.7,14.98,12.85,14.9,88079,0
ZSPC.US,D,20250127,000000,14.79,15.98,13.9903,14.87,127150,0
ZSPC.US,D,20250128,000000,15.15,15.8,14.32,15.07,33715,0
ZSPC.US,D,20250129,000000,14.86,15.7999,14.5,15.06,41036,0
ZSPC.US,D,20250130,000000,15.31,17.45,15.145,17.05,170235,0
ZSPC.US,D,20250131,000000,17.82,18.22,16.4,17.65,86757,0
ZSPC.US,D,20250203,000000,17.15,23.62,16.795,22.1,238566,0
ZSPC.US,D,20250204,000000,22.3,23,19.51,20.16,104061,0
ZSPC.US,D,20250205,000000,19.21,20.9999,17.8,18.17,78519,0
ZSPC.US,D,20250206,000000,17.97,21.4323,17.86,20.37,81302,0
ZSPC.US,D,20250207,000000,20.49,21.77,18.04,18.55,73949,0
ZSPC.US,D,20250210,000000,18.53,20.47,18.295,19.74,52425,0
ZSPC.US,D,20250211,000000,19.2,20.9104,18.8,19.01,62028,0
ZSPC.US,D,20250212,000000,18.31,21.84,18.31,20.81,87778,0
ZSPC.US,D,20250213,000000,20.42,21.16,17.6,17.84,77328,0
ZSPC.US,D,20250214,000000,18.2,20,17.99,18.68,35872,0
ZSPC.US,D,20250218,000000,19.2,19.58,17.1248,19.3,61462,0
ZSPC.US,D,20250219,000000,19.47,21.5,18.7317,21.2,56530,0
ZSPC.US,D,20250220,000000,21.45,26.79,21.45,23.96,241720,0
ZSPC.US,D,20250221,000000,22.67,23.926,19.5,19.56,76445,0
ZSPC.US,D,20250224,000000,19.84,19.84,14.66,14.92,73882,0
ZSPC.US,D,20250225,000000,15.1,15.89,12.275,12.69,64413,0
ZSPC.US,D,20250226,000000,12.72,14.4999,11.82,12.37,60980,0
ZSPC.US,D,20250227,000000,12.5,16.9972,12.5,13.28,118939,0
ZSPC.US,D,20250228,000000,13.28,14.81,12.1931,12.88,49168,0
ZSPC.US,D,20250303,000000,13.26,13.4899,11.05,11.05,60691,0
ZSPC.US,D,20250304,000000,11.06,12.4,9.552,11.11,85031,0
ZSPC.US,D,20250305,000000,10.84,12.1197,10.1701,10.51,24448,0
ZSPC.US,D,20250306,000000,10.2,10.8988,9.66,9.72,34327,0
ZSPC.US,D,20250307,000000,9.62,10.88,9.04,10.57,69878,0
ZSPC.US,D,20250310,000000,10.37,10.4,8.76,9.09,69402,0
ZSPC.US,D,20250311,000000,9.1,9.7807,8.9706,9.73,16428,0
ZSPC.US,D,20250312,000000,9.9,10.155,9.0976,9.86,21564,0
ZSPC.US,D,20250313,000000,10.15,12.48,9.51,11.19,81177,0
ZSPC.US,D,20250314,000000,11.11,11.5963,9.37,9.68,61214,0
ZSPC.US,D,20250317,000000,9.99,11,9.9503,10.41,30640,0
ZSPC.US,D,20250318,000000,10.41,11.02,9.93,10.24,45340,0
ZSPC.US,D,20250319,000000,10.6252,10.65,9.5,9.72,62756,0
ZSPC.US,D,20250320,000000,9.97,10.4,9.63,10.1,22004,0
ZSPC.US,D,20250321,000000,9.8,11.86,9.8,11.38,479624,0
ZSPC.US,D,20250324,000000,10.99,11.5749,10.61,10.77,63107,0
ZSPC.US,D,20250325,000000,10.82,10.82,10.21,10.59,24843,0
ZSPC.US,D,20250326,000000,10.59,10.59,9.61,9.79,34874,0
ZSPC.US,D,20250327,000000,9.79,10.5899,9.79,10.19,24829,0
ZSPC.US,D,20250328,000000,10.69,10.69,7.607,8.19,119206,0
ZSPC.US,D,20250331,000000,8.35,8.6835,7.4,7.41,69911,0
ZSPC.US,D,20250401,000000,7.3,7.68,6.815,7.46,42815,0
ZSPC.US,D,20250402,000000,7.54,9.01,7.255,8.78,86703,0
ZSPC.US,D,20250403,000000,8.38,8.63,7.5601,8.04,35131,0
ZSPC.US,D,20250404,000000,8.04,9.69,7.62,8.79,83677,0
ZSPC.US,D,20250407,000000,8.12,9.22,7.11,8.69,29993,0
ZSPC.US,D,20250408,000000,9.22,9.71,7.97,8.55,15676,0
ZSPC.US,D,20250409,000000,8.7,10.55,8.516,10.2,36194,0
ZSPC.US,D,20250410,000000,10.1,10.28,9.59,9.91,17181,0
ZSPC.US,D,20250411,000000,9.5,9.5,8.7,9.11,13507,0
ZSPC.US,D,20250414,000000,9.96,10.66,8.82,10.66,18047,0
ZSPC.US,D,20250415,000000,10.34,10.345,9.43,9.96,16694,0
ZSPC.US,D,20250416,000000,9.96,9.96,8.99,8.99,11295,0
ZSPC.US,D,20250417,000000,8.99,9.35,8,8.7,17474,0
ZSPC.US,D,20250421,000000,9.11,9.11,7.6701,8.18,26132,0
ZSPC.US,D,20250422,000000,8.24,9,8.24,9,11977,0
ZSPC.US,D,20250423,000000,9.48,9.6825,8.54,9.18,28703,0
ZSPC.US,D,20250424,000000,9.35,9.91,8.715,9.91,20063,0
ZSPC.US,D,20250425,000000,9.53,9.6,8.96,9.39,20447,0
ZSPC.US,D,20250428,000000,9,9.9,8.57,9,24268,0
ZSPC.US,D,20250429,000000,9.23,9.23,8.69,8.75,60702,0
ZSPC.US,D,20250430,000000,8.51,9.1824,8.0401,8.36,32042,0
ZSPC.US,D,20250501,000000,8.14,8.66,7.8612,8.3,18029,0
ZSPC.US,D,20250502,000000,8.24,8.565,7.92,8.11,28215,0
ZSPC.US,D,20250505,000000,8.07,8.07,7.5,7.56,26924,0
ZSPC.US,D,20250506,000000,7.66,8.01,6.75,7.53,44460,0
ZSPC.US,D,20250507,000000,8.21,8.2359,7.029,7.22,23971,0
ZSPC.US,D,20250508,000000,7.56,8.0882,7.05,7.66,28554,0
ZSPC.US,D,20250509,000000,7.45,7.7076,7.05,7.32,41251,0
ZSPC.US,D,20250512,000000,7.7,8.07,7.57,7.825,26227,0
ZSPC.US,D,20250513,000000,7.9,7.9,7.2101,7.59,51132,0
ZSPC.US,D,20250514,000000,7.37,7.46,7,7.06,41819,0
ZSPC.US,D,20250515,000000,7,7.7,6.3406,6.35,66693,0
ZSPC.US,D,20250516,000000,6.67,6.67,6.1,6.23,28674,0
ZSPC.US,D,20250519,000000,6.07,6.6654,5.95,6.47,33823,0
