<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZUMZ.US,D,20050505,000000,9,9,9,9,0,0
ZUMZ.US,D,20050506,000000,10.28,12.57,10.25,12.44,6796624,0
ZUMZ.US,D,20050509,000000,12.55,12.85,11.7,12.26,805032,0
ZUMZ.US,D,20050510,000000,12.25,12.3,11.88,12.05,358766,0
ZUMZ.US,D,20050511,000000,12.1,12.3,11.93,12.12,282498,0
ZUMZ.US,D,20050512,000000,11.83,12,11.75,11.75,252256,0
ZUMZ.US,D,20050513,000000,11.71,11.97,11.55,11.56,154172,0
ZUMZ.US,D,20050516,000000,11.55,11.6,11.38,11.58,102162,0
ZUMZ.US,D,20050517,000000,11.38,12.41,11.38,12.41,80208,0
ZUMZ.US,D,20050518,000000,12.42,12.95,12.18,12.56,341784,0
ZUMZ.US,D,20050519,000000,12.97,12.97,12.5,12.85,93574,0
ZUMZ.US,D,20050520,000000,13,13.22,12.56,12.75,230708,0
ZUMZ.US,D,20050523,000000,13.19,13.19,12.65,12.89,113834,0
ZUMZ.US,D,20050524,000000,12.94,12.94,12.49,12.88,60570,0
ZUMZ.US,D,20050525,000000,12.62,12.85,12.5,12.54,226600,0
ZUMZ.US,D,20050526,000000,12.54,13,12.5,12.65,319404,0
ZUMZ.US,D,20050527,000000,12.68,13,12.68,12.7,289858,0
ZUMZ.US,D,20050531,000000,12.88,12.88,12.63,12.81,211968,0
ZUMZ.US,D,20050601,000000,12.8,13.67,12.75,13,662872,0
ZUMZ.US,D,20050602,000000,13.21,14,13.16,13.55,435334,0
ZUMZ.US,D,20050603,000000,13.63,13.89,13.43,13.81,49982,0
ZUMZ.US,D,20050606,000000,13.82,14.22,13.82,14.09,99430,0
ZUMZ.US,D,20050607,000000,14.2,14.64,13.97,14.38,84664,0
ZUMZ.US,D,20050608,000000,14.48,14.48,13.59,14,129274,0
ZUMZ.US,D,20050609,000000,14.19,14.19,13.63,13.66,80514,0
ZUMZ.US,D,20050610,000000,13.78,13.81,13.55,13.7,17286,0
ZUMZ.US,D,20050613,000000,13.77,13.9,13,13.65,215076,0
ZUMZ.US,D,20050614,000000,13.8,13.85,13.53,13.58,17636,0
ZUMZ.US,D,20050615,000000,14.65,15.03,14.21,14.92,729516,0
ZUMZ.US,D,20050616,000000,15,15.91,14.69,15.15,583300,0
ZUMZ.US,D,20050617,000000,15.51,15.51,15.05,15.12,128160,0
ZUMZ.US,D,20050620,000000,14.99,15.13,14.5,14.59,202294,0
ZUMZ.US,D,20050621,000000,14.7,15,14.55,14.97,62476,0
ZUMZ.US,D,20050622,000000,15.23,15.37,14.72,14.98,112372,0
ZUMZ.US,D,20050623,000000,15.41,15.77,14.55,15.22,206968,0
ZUMZ.US,D,20050624,000000,15.45,15.49,15.02,15.04,492360,0
ZUMZ.US,D,20050627,000000,15.05,15.15,14.89,15.03,106094,0
ZUMZ.US,D,20050628,000000,15.09,15.25,15.01,15.13,54552,0
