<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZURA.US,D,20230322,000000,7.16,36.9999,7,30,4237373,0
ZURA.US,D,20230323,000000,27.8,37.4,20.06,33.21,1814845,0
ZURA.US,D,20230324,000000,32.2,37.55,25.2501,29.42,528505,0
ZURA.US,D,20230327,000000,31.53,33.49,16.84,16.84,545942,0
ZURA.US,D,20230328,000000,18.33,18.33,14.5001,16.28,238698,0
ZURA.US,D,20230329,000000,16.5,18.93,16.5,16.53,143044,0
ZURA.US,D,20230330,000000,16.11,16.8697,15,15.82,54999,0
ZURA.US,D,20230331,000000,14.79,15.5996,13.5501,14.92,69295,0
ZURA.US,D,20230403,000000,14.566,15.86,13.1,14.2,84246,0
ZURA.US,D,20230404,000000,13.59,14.17,12.5701,12.8,61406,0
ZURA.US,D,20230405,000000,12.5538,12.62,11.42,11.42,44449,0
ZURA.US,D,20230406,000000,11.22,11.9899,11.2,11.95,24919,0
ZURA.US,D,20230410,000000,11.4,11.99,10.977,11.99,17530,0
ZURA.US,D,20230411,000000,11.98,13.7873,11.53,12.94,74880,0
ZURA.US,D,20230412,000000,12.7597,13.45,12.22,13.29,39768,0
ZURA.US,D,20230413,000000,13.41,13.85,11.2,11.25,45661,0
ZURA.US,D,20230414,000000,11.41,13,10.3504,11,60666,0
ZURA.US,D,20230417,000000,10.9,10.9,9.49,9.7,59545,0
ZURA.US,D,20230418,000000,9.855,10.25,9.6501,9.89,34978,0
ZURA.US,D,20230419,000000,9.82,10.4084,9.82,9.93,31449,0
ZURA.US,D,20230420,000000,10,10.2353,9.93,9.93,9082,0
ZURA.US,D,20230421,000000,10.09,10.245,8.5,8.5,50210,0
ZURA.US,D,20230424,000000,8.83,9.06,8.1,8.12,28160,0
ZURA.US,D,20230425,000000,8.27,8.35,7.71,7.73,91279,0
ZURA.US,D,20230426,000000,7.77,8.17,7.77,7.84,24684,0
ZURA.US,D,20230427,000000,8.02,8.34,7.77,8,159899,0
ZURA.US,D,20230428,000000,8,8.21,6.63,6.81,97617,0
ZURA.US,D,20230501,000000,6.97,7.17,5.51,5.87,59188,0
ZURA.US,D,20230502,000000,5.87,6.085,5.12,5.38,66734,0
ZURA.US,D,20230503,000000,5.55,5.8,4.87,5,61251,0
ZURA.US,D,20230504,000000,5.16,5.3,4.89,4.89,60697,0
ZURA.US,D,20230505,000000,4.9,6.56,4.9,5.16,234819,0
ZURA.US,D,20230508,000000,5.16,5.45,4.91,5.09,49869,0
ZURA.US,D,20230509,000000,5.12,5.12,4.97,5,19379,0
ZURA.US,D,20230510,000000,5.02,6.96,5.01,6.29,237310,0
ZURA.US,D,20230511,000000,6.32,14,6.0284,7.43,8453339,0
ZURA.US,D,20230512,000000,7.2,7.285,5.78,6.04,583148,0
ZURA.US,D,20230515,000000,6.04,6.228,5.12,5.5,274360,0
ZURA.US,D,20230516,000000,5.49,6.75,5.2,5.3,374352,0
ZURA.US,D,20230517,000000,5.25,5.45,5.0978,5.31,110257,0
ZURA.US,D,20230518,000000,5.31,5.4499,5.15,5.24,88837,0
ZURA.US,D,20230519,000000,5.3,5.3949,5.14,5.17,157984,0
ZURA.US,D,20230522,000000,5.52,5.85,5.22,5.3,295494,0
ZURA.US,D,20230523,000000,5.24,5.7,5.24,5.35,103227,0
ZURA.US,D,20230524,000000,6.57,9.25,6.2,6.7,14214732,0
ZURA.US,D,20230525,000000,6.09,6.26,5.48,5.57,501859,0
ZURA.US,D,20230526,000000,5.55,5.79,5.25,5.69,344856,0
ZURA.US,D,20230530,000000,5.46,5.74,5.1,5.43,303647,0
ZURA.US,D,20230531,000000,5.25,6,5.25,5.64,239204,0
