<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZVRA.US,D,20210111,000000,6,6.2299,5.71,6.05,4244921,0
ZVRA.US,D,20210112,000000,6,6.1,5.75,6,1282186,0
ZVRA.US,D,20210113,000000,5.98,6.27,5.91,6.15,3085765,0
ZVRA.US,D,20210114,000000,6.16,6.23,5.95,6.12,886299,0
ZVRA.US,D,20210115,000000,6.07,6.09,5.81,5.96,628512,0
ZVRA.US,D,20210119,000000,6.02,6.2,5.92,6.09,768714,0
ZVRA.US,D,20210120,000000,6.08,6.22,5.85,6.08,1098836,0
ZVRA.US,D,20210121,000000,6,6.115,5.88,6.04,688196,0
ZVRA.US,D,20210122,000000,5.95,6.165,5.93,6.02,525398,0
ZVRA.US,D,20210125,000000,6.64,7.75,6.32,7.53,7982041,0
ZVRA.US,D,20210126,000000,6.79,7,6.05,6.46,13237966,0
ZVRA.US,D,20210127,000000,6.95,7,6.25,6.33,5607387,0
ZVRA.US,D,20210128,000000,6.35,6.56,6.05,6.4,2181437,0
ZVRA.US,D,20210129,000000,6.45,6.5,5.92,6.03,2204668,0
ZVRA.US,D,20210201,000000,6.1,6.29,5.86,6.22,1467443,0
ZVRA.US,D,20210202,000000,6.35,6.5,6.04,6.5,1398308,0
ZVRA.US,D,20210203,000000,6.59,6.85,6.52,6.6,3451487,0
ZVRA.US,D,20210204,000000,7.02,7.75,6.98,7.2,5336535,0
ZVRA.US,D,20210205,000000,7.3929,7.75,7.02,7.34,2647093,0
ZVRA.US,D,20210208,000000,7.9972,9.8799,7.961,9.44,6236229,0
ZVRA.US,D,20210209,000000,9.3535,9.74,8.81,9.1,2744558,0
ZVRA.US,D,20210210,000000,9.22,10.34,9.14,9.95,3439124,0
ZVRA.US,D,20210211,000000,10.04,10.25,9.03,9.52,2532164,0
ZVRA.US,D,20210212,000000,9.35,9.91,9.1337,9.32,2210786,0
ZVRA.US,D,20210216,000000,10.3,11.75,10.25,10.89,4195962,0
ZVRA.US,D,20210217,000000,10.91,11.2389,10.38,10.54,2475363,0
ZVRA.US,D,20210218,000000,10.4,10.8899,9.7,9.78,2183547,0
ZVRA.US,D,20210219,000000,10.07,10.67,9.71,10.54,2116800,0
ZVRA.US,D,20210222,000000,11.38,11.75,10.26,10.45,2934152,0
ZVRA.US,D,20210223,000000,9.95,10.2099,8.48,9.91,2394000,0
ZVRA.US,D,20210224,000000,9.91,10.2,9.4,9.52,1847350,0
ZVRA.US,D,20210225,000000,9.52,9.52,8.55,8.71,2576958,0
ZVRA.US,D,20210226,000000,8.9,10.17,8.4,9.48,3057695,0
ZVRA.US,D,20210301,000000,10.64,10.72,9.44,9.8,6229162,0
ZVRA.US,D,20210302,000000,10.25,10.4762,8.14,9.43,8791855,0
ZVRA.US,D,20210303,000000,15.77,18.15,12.6,13.47,59212045,0
ZVRA.US,D,20210304,000000,11.33,12.2,9.05,9.63,10114028,0
ZVRA.US,D,20210305,000000,10.4267,10.45,8.21,10.05,5230232,0
ZVRA.US,D,20210308,000000,9.9547,9.99,9.18,9.33,3774969,0
ZVRA.US,D,20210309,000000,9.3,9.5095,8.81,9.01,3225184,0
ZVRA.US,D,20210310,000000,9.17,10.88,9,10.3,6210388,0
