<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZVSA.US,D,20220214,000000,3444,3447.5,3430,3444,186.6457170854,0
ZVSA.US,D,20220215,000000,3451,3454.5,3444,3454.5,104.7028587134,0
ZVSA.US,D,20220216,000000,3445.75,3454.5,3444,3454.5,20.0971431586,0
ZVSA.US,D,20220218,000000,3451,3454.5,3451,3454.5,15.3657145162,0
ZVSA.US,D,20220303,000000,3451,3451,3451,3451,2428.571465,0
ZVSA.US,D,20220308,000000,3454.5,3458,3454.5,3458,46.1028578344,0
ZVSA.US,D,20220318,000000,3465,3465,3465,3465,22.2171431904,0
ZVSA.US,D,20220321,000000,3458,3465,3458,3465,0.8571428700000001,0
ZVSA.US,D,20220322,000000,3465,3465,3461.5,3465,152.9000022935,0
ZVSA.US,D,20220324,000000,3472,3482.5,3472,3482.5,35.322857672699996,0
ZVSA.US,D,20220330,000000,3482.5,3482.5,3482.5,3482.5,0.7342857253,0
ZVSA.US,D,20220422,000000,3605,3605,3475.5,3475.5,13.028571624000001,0
ZVSA.US,D,20220425,000000,3486,3486,3486,3486,2.8571429,0
ZVSA.US,D,20220428,000000,3479,3486,3479,3479,10.00000015,0
ZVSA.US,D,20220502,000000,3482.5,3486,3479,3479,3.7857143425,0
ZVSA.US,D,20220506,000000,3482.5,3482.5,3482.5,3482.5,0.7057142963,0
ZVSA.US,D,20220509,000000,3472,3472,3472,3472,17.2257145441,0
ZVSA.US,D,20220511,000000,3475.5,3475.5,3472,3474.97,7.714285830000001,0
ZVSA.US,D,20220513,000000,3468.5,3468.5,3468.5,3468.5,129.3485733688,0
ZVSA.US,D,20220516,000000,3468.5,3475.5,3468.5,3468.5,21.0457146014,0
ZVSA.US,D,20220518,000000,3482.5,3482.5,3458,3461.5,414.0828633541,0
ZVSA.US,D,20220520,000000,3468.5,3486,3468.5,3486,16.57142882,0
ZVSA.US,D,20220526,000000,3482.5,3482.5,3475.5,3475.5,1.257142876,0
ZVSA.US,D,20220602,000000,3486,3486,3486,3486,0.628571438,0
ZVSA.US,D,20220606,000000,3486,3486,3486,3486,0.42857143500000006,0
ZVSA.US,D,20220615,000000,3486,3486,3472,3472,19.6400002946,0
ZVSA.US,D,20220617,000000,3472,3472,3465,3468.5,337.285719345,0
ZVSA.US,D,20220621,000000,3475.5,3475.5,3475.5,3475.5,14.285714500000001,0
ZVSA.US,D,20220622,000000,3475.5,3475.5,3475.46,3475.5,63.857143815,0
ZVSA.US,D,20220624,000000,3486,3486,3486,3486,2.0000000300000003,0
ZVSA.US,D,20220627,000000,3475.5,3475.5,3475.5,3475.5,28.574286142900004,0
ZVSA.US,D,20220629,000000,3475.5,3475.5,3472,3475.5,194.28571720000002,0
ZVSA.US,D,20220630,000000,3475.5,3475.5,3468.5,3475.5,164.85714533,0
ZVSA.US,D,20220701,000000,3472,3472,3468.5,3468.5,14.285714500000001,0
ZVSA.US,D,20220705,000000,3472,3472,3472,3472,6.0057143758,0
ZVSA.US,D,20220707,000000,3479,3479,3479,3479,0.28571429,0
ZVSA.US,D,20220708,000000,3479,3479,3479,3479,0.28571429,0
ZVSA.US,D,20220715,000000,3500,3500,3486,3486,0.9114285851,0
ZVSA.US,D,20220718,000000,3482.5,3489.5,3482.5,3489.5,12.28571447,0
ZVSA.US,D,20220721,000000,3489.5,3489.5,3486,3486,41.3314291914,0
ZVSA.US,D,20220803,000000,3493,3493,3493,3493,0.9485714428,0
ZVSA.US,D,20220808,000000,3500,3500,3500,3500,0.5742857229,0
ZVSA.US,D,20220817,000000,3500,3500,3500,3500,2.8885714719,0
ZVSA.US,D,20220818,000000,3500,3510.5,3500,3510.5,60.0000009,0
ZVSA.US,D,20220819,000000,3493,3496.5,3493,3496.5,17.5971431211,0
ZVSA.US,D,20220829,000000,3493,3493,3493,3493,0.3171428619,0
ZVSA.US,D,20220909,000000,3503.5,3503.5,3500,3500,0.5828571516,0
ZVSA.US,D,20220913,000000,3493,3493,3493,3493,0.4342857208,0
ZVSA.US,D,20220914,000000,3493,3493,3475.5,3482.5,141.1314306884,0
ZVSA.US,D,20220915,000000,3482.5,3482.5,3482.5,3482.5,0.3257142906,0
ZVSA.US,D,20220916,000000,3482.5,3489.5,3482.5,3489.5,7.7628572593000005,0
ZVSA.US,D,20220919,000000,3489.5,3489.5,3489.5,3489.5,0.3000000045,0
ZVSA.US,D,20220920,000000,3489.5,3503.5,3489.5,3503.5,4.57142864,0
ZVSA.US,D,20220921,000000,3505.25,3505.25,3503.5,3503.5,12.428571615000001,0
ZVSA.US,D,20220927,000000,3507,3507,3493,3496.5,47.068572134600004,0
ZVSA.US,D,20220928,000000,3496.5,3496.5,3496.5,3496.5,0.28571429,0
ZVSA.US,D,20221004,000000,3507,3507,3507,3507,236.1628606853,0
ZVSA.US,D,20221007,000000,3500,3500,3500,3500,0.5200000078,0
ZVSA.US,D,20221010,000000,3503.5,3507,3503.5,3507,18.214285987500002,0
ZVSA.US,D,20221012,000000,3510.5,3510.5,3510.5,3510.5,14.320000214799999,0
ZVSA.US,D,20221013,000000,3510.5,3510.5,3510.5,3510.5,29.1742861519,0
ZVSA.US,D,20221017,000000,3528,3528,3528,3528,0.42857143500000006,0
ZVSA.US,D,20221024,000000,3510.5,3510.5,3510.5,3510.5,13.154285911599999,0
ZVSA.US,D,20221025,000000,3510.5,3510.5,3510.5,3510.5,253.9085752372,0
ZVSA.US,D,20221104,000000,3521,3521,3521,3521,0.28571429,0
ZVSA.US,D,20221107,000000,3521,3521,3521,3521,0.28571429,0
ZVSA.US,D,20221108,000000,3521,3521,3521,3521,0.2885714329,0
ZVSA.US,D,20221109,000000,3521,3524.5,3521,3524.5,2.0000000300000003,0
ZVSA.US,D,20221110,000000,3531.5,3531.5,3531.5,3531.5,1.42857145,0
ZVSA.US,D,20221115,000000,3528,3545.5,3527.96,3545.5,40.0000006,0
ZVSA.US,D,20221116,000000,3531.5,3535,3531.5,3535,0.8600000129,0
ZVSA.US,D,20221117,000000,3538.5,3538.5,3538.5,3538.5,5.14285722,0
ZVSA.US,D,20221118,000000,3545.5,3549,3538.5,3547.25,68.6657153157,0
ZVSA.US,D,20221121,000000,3556,3559.5,3556,3559.5,19.0714288575,0
ZVSA.US,D,20221122,000000,3549,3633,3549,3577,56.7914294233,0
ZVSA.US,D,20221123,000000,3570,3577,3562.54,3563,177.2885740879,0
ZVSA.US,D,20221125,000000,3563,3566.5,3563,3566.5,2.771428613,0
ZVSA.US,D,20221128,000000,3566.5,3566.5,3566.5,3566.5,7.654285829100001,0
ZVSA.US,D,20221129,000000,3552.6,3554.25,3549,3554.25,242.92857507250002,0
ZVSA.US,D,20221130,000000,3559.5,3559.5,3556,3556,9.4914287138,0
ZVSA.US,D,20221201,000000,3556,3563,3556,3563,131.3628591133,0
ZVSA.US,D,20221202,000000,3549,3570,3517.5,3570,132.7400019911,0
ZVSA.US,D,20221205,000000,3507,3902.5,3482.5,3573.5,57.1742865719,0
ZVSA.US,D,20221206,000000,3479,3479,3479,3479,0.9400000141,0
ZVSA.US,D,20221207,000000,3426.5,3426.5,3426.5,3426.5,1.7228571687,0
ZVSA.US,D,20221208,000000,3752,3759,3752,3759,0.9571428715,0
ZVSA.US,D,20221209,000000,3437,3437,3237.5,3391.5,17.5885716924,0
ZVSA.US,D,20221212,000000,3500,8750,3500,7875,348.70286237339997,0
ZVSA.US,D,20221213,000000,4900,5232.5,2523.5,2625,958.28572866,0
ZVSA.US,D,20221214,000000,2187.5,2268.21,1414,1578.5,577.4285800900001,0
ZVSA.US,D,20221215,000000,1456,1648.5,1225,1225,389.42857727,0
ZVSA.US,D,20221216,000000,1162,1225,857.5,1127,834.2857268,0
ZVSA.US,D,20221219,000000,924,1001.91,808.5,955.5,273.5742898179,0
ZVSA.US,D,20221220,000000,910,1050,822.5,910,219.02571757110002,0
ZVSA.US,D,20221221,000000,910,1028.86,836.22,906.5,123.9400018591,0
ZVSA.US,D,20221222,000000,882,882,826,850.5,54.4885722459,0
ZVSA.US,D,20221223,000000,850.5,854,738.5,752.5,133.66857343360002,0
ZVSA.US,D,20221227,000000,749,749,665.035,673.75,62.5285723665,0
