<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZYN.US,D,20250904,000000,19.25,20.17,19.17,19.4766,8739,0
ZYN.US,D,20250905,000000,19.5,19.689,19.3576,19.5894,3899,0
ZYN.US,D,20250908,000000,19.4,19.8221,19.1,19.8221,4725,0
ZYN.US,D,20250909,000000,19.82,20.3621,19.79,20.3621,4450,0
ZYN.US,D,20250910,000000,20.56,20.56,20.3794,20.5126,2202,0
ZYN.US,D,20250911,000000,21.2,21.55,21.1133,21.1911,5670,0
ZYN.US,D,20250912,000000,20.82,20.82,20.445,20.6825,3076,0
ZYN.US,D,20250915,000000,20.45,20.45,19.5957,19.5957,4595,0
ZYN.US,D,20250916,000000,19.76,20.1,19.76,19.9363,1299,0
ZYN.US,D,20250917,000000,20.5,20.6645,20.5,20.6397,2064,0
ZYN.US,D,20250918,000000,20.66,20.66,19.35,19.4821,8741,0
ZYN.US,D,20250919,000000,19.65,19.9,19.48,19.7144,19698,0
ZYN.US,D,20250922,000000,19.71,19.711,19.52,19.6046,7292,0
ZYN.US,D,20250923,000000,19.55,19.9711,19.55,19.9711,566,0
ZYN.US,D,20250924,000000,20,20,19.74,19.7653,547,0
ZYN.US,D,20250925,000000,19.93,20.0355,19.93,20.0355,1192,0
ZYN.US,D,20250926,000000,19.91,20.1442,19.91,20.1442,604,0
ZYN.US,D,20250929,000000,19.62,19.647,19.62,19.647,448,0
ZYN.US,D,20250930,000000,19.719,19.719,19.5169,19.5169,210,0
ZYN.US,D,20251001,000000,19.69,19.69,19.06,19.1601,752,0
ZYN.US,D,20251002,000000,18.93,18.93,18.4123,18.4123,3897,0
ZYN.US,D,20251003,000000,18.11,18.11,17.38,17.6247,3070,0
ZYN.US,D,20251006,000000,17.4496,17.6857,17.419,17.6857,2298,0
ZYN.US,D,20251007,000000,17.57,18,17.57,17.96,2635,0
ZYN.US,D,20251008,000000,17.56,18.12,17.52,18.12,2250,0
ZYN.US,D,20251009,000000,18.12,18.4516,17.96,18.4516,3890,0
ZYN.US,D,20251010,000000,18.83,19.46,18.11,19.3765,1764,0
ZYN.US,D,20251013,000000,18.69,19.0875,18.69,19.0875,2001,0
ZYN.US,D,20251014,000000,19,19.0624,19,19.0624,308,0
ZYN.US,D,20251015,000000,19.03,19.03,18.72,18.72,667,0
