<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZYXI.US,D,20190212,000000,4.7256,4.7256,3.9786,4.3068,56746,0
ZYXI.US,D,20190213,000000,4.3656,4.466,4.3656,4.3771,33303,0
ZYXI.US,D,20190214,000000,4.4016,4.4916,4.2215,4.4556,23093,0
ZYXI.US,D,20190215,000000,4.4916,4.4916,4.4466,4.4556,53500,0
ZYXI.US,D,20190219,000000,4.4916,4.6309,4.4646,4.5816,41208,0
ZYXI.US,D,20190220,000000,4.6356,4.7256,4.5906,4.6987,38192,0
ZYXI.US,D,20190221,000000,4.7256,4.9506,4.6806,4.8606,98025,0
ZYXI.US,D,20190222,000000,4.9146,4.9506,4.7526,4.884,83472,0
ZYXI.US,D,20190225,000000,5.1757,5.3107,4.8877,5.0136,98797,0
ZYXI.US,D,20190226,000000,5.0407,5.0407,4.8156,4.8606,53249,0
ZYXI.US,D,20190227,000000,4.7706,4.9597,3.8728,4.4556,173708,0
ZYXI.US,D,20190228,000000,4.4646,4.5906,4.1405,4.4646,66323,0
ZYXI.US,D,20190301,000000,4.5195,4.5231,4.2756,4.4195,46844,0
ZYXI.US,D,20190304,000000,4.5276,4.5682,4.3205,4.4984,29513,0
ZYXI.US,D,20190305,000000,4.5006,4.5186,4.3115,4.3656,45004,0
ZYXI.US,D,20190306,000000,4.3026,4.3026,3.9695,3.9875,84773,0
ZYXI.US,D,20190307,000000,4.1405,4.2756,4.0235,4.2215,58301,0
ZYXI.US,D,20190308,000000,4.2756,4.4556,4.1135,4.3746,95960,0
ZYXI.US,D,20190311,000000,4.4105,4.4105,4.1856,4.1856,31904,0
ZYXI.US,D,20190312,000000,4.2756,4.3205,4.2395,4.2846,18206,0
ZYXI.US,D,20190313,000000,4.2694,4.3205,4.1946,4.3205,19873,0
ZYXI.US,D,20190314,000000,4.2756,4.28,3.8255,4.1035,59779,0
ZYXI.US,D,20190315,000000,4.0956,4.2121,3.9335,3.9515,53042,0
ZYXI.US,D,20190318,000000,3.9515,4.1298,3.8705,3.9155,50758,0
ZYXI.US,D,20190319,000000,3.9155,4.0325,3.9155,3.9605,73489,0
ZYXI.US,D,20190320,000000,3.9605,4.0505,3.9335,4.0125,28861,0
ZYXI.US,D,20190321,000000,4.0595,4.0956,4.0056,4.0056,14854,0
ZYXI.US,D,20190322,000000,4.0146,4.0505,4.0065,4.0505,13247,0
ZYXI.US,D,20190325,000000,4.0505,4.0505,3.9605,3.9695,23516,0
ZYXI.US,D,20190326,000000,4.0182,4.0415,3.8255,3.9785,16053,0
ZYXI.US,D,20190327,000000,3.9335,4.0145,3.8435,4.0145,8769,0
ZYXI.US,D,20190328,000000,4.0415,4.0415,4.0056,4.0056,14746,0
ZYXI.US,D,20190329,000000,4.0326,4.0505,3.9605,4.0505,26716,0
ZYXI.US,D,20190401,000000,4.0956,4.1856,4.0505,4.1856,53375,0
ZYXI.US,D,20190402,000000,4.2305,4.2756,4.0484,4.2576,22258,0
ZYXI.US,D,20190403,000000,4.1946,4.2936,4.145,4.2714,47469,0
ZYXI.US,D,20190404,000000,4.2756,4.2756,4.1946,4.2756,13319,0
ZYXI.US,D,20190405,000000,4.2756,4.3026,4.1405,4.2036,22909,0
ZYXI.US,D,20190408,000000,4.2756,4.3656,4.2755,4.3205,140093,0
ZYXI.US,D,20190409,000000,4.3656,4.7166,4.3527,4.7157,137452,0
ZYXI.US,D,20190410,000000,4.5906,4.6716,4.3295,4.5186,129143,0
ZYXI.US,D,20190411,000000,4.5006,4.6716,4.4841,4.6716,31389,0
ZYXI.US,D,20190412,000000,4.5906,4.7256,4.5816,4.7256,57998,0
ZYXI.US,D,20190415,000000,4.6806,4.7526,4.5006,4.7526,62444,0
ZYXI.US,D,20190416,000000,4.7526,4.7797,4.5916,4.7797,59110,0
ZYXI.US,D,20190417,000000,4.7797,4.7797,4.7369,4.7706,49523,0
ZYXI.US,D,20190418,000000,4.7797,4.7797,4.5961,4.7797,29608,0
ZYXI.US,D,20190422,000000,4.7706,4.7706,4.6446,4.7526,79907,0
ZYXI.US,D,20190423,000000,4.7436,4.8516,4.7256,4.7977,62750,0
ZYXI.US,D,20190424,000000,4.7977,4.9032,4.7887,4.8787,73555,0
ZYXI.US,D,20190425,000000,4.8968,4.9056,4.8336,4.8516,43085,0
ZYXI.US,D,20190426,000000,4.8967,4.9416,4.8426,4.9416,53879,0
ZYXI.US,D,20190429,000000,4.9506,5.0136,4.8967,4.9957,99454,0
ZYXI.US,D,20190430,000000,4.9957,5.3107,4.9056,5.0136,45424,0
ZYXI.US,D,20190501,000000,5.1757,5.4908,5.0749,5.3918,388414,0
ZYXI.US,D,20190502,000000,5.6077,6.0758,5.6077,6.0128,354051,0
ZYXI.US,D,20190503,000000,6.0308,6.2198,6.0128,6.2108,536962,0
